Sample.Name,Pop,Pop_Type,Variety
TMA-ZAIN-G-141,MBC,Garden,Garden
TMA-ZAIN-G-142,MBC,Garden,Garden
TMA-ZAIN-G-143,MBC,Garden,Garden
TMA-ZAIN-G-144,MBC,Garden,Garden
TMA-ZAIN-G-145,MBC,Garden,Garden
TMA-ZAIN-G-146,MBC,Garden,Garden
TMA-ZAIN-G-147,MBC,Garden,Garden
TMA-ZAIN-G-148,MBC,Garden,Garden
TMA-ZAIN-G-149,MBC,Garden,Garden
TMA-ZAIN-G-150,MBC,Garden,Garden
TMA-ZAIN-G-151,MBC,Garden,Garden
TMA-ZAIN-G-152,MBC,Garden,Garden
TMA-ZAIN-G-153,MBC,Garden,Garden
TMA-ZAIN-G-154,MBC,Garden,Garden
TMA-ZAIN-G-155,MBC,Garden,Garden
TMA-ZAIN-G-156,MBC,Garden,Garden
TMA-ZAIN-G-157,MBC,Garden,Garden
TMA-ZAIN-G-158,MBC,Garden,Garden
TMA-ZAIN-G-159,MBC,Garden,Garden
TMA-ZAIN-G-160,MBC,Garden,Garden
TMA-ZAIN-G-161,MBC,Garden,Garden
TMA-ZAIN-G-162,MBC,Garden,Garden
TMA-ZAIN-G-163,MBC,Garden,Garden
TMA-ZAIN-G-164,MBC,Garden,Garden
TMA-ZAIN-G-165,MBC,Garden,Garden
TMA-ZAIN-G-166,MBC,Garden,Garden
TMA-ZAIN-G-167,MBC,Garden,Garden
TMA-ZAIN-G-168,MBC,Garden,Garden
TMA-ZAIN-G-169,MBC,Garden,Garden
TMA-ZAIN-G-170,MBC,Garden,Garden
TMA-ZAIN-G-171,MBC,Garden,Garden
TMA-ZAIN-G-172,MBC,Garden,Garden
TMA-ZAIN-G-173,MBC,Garden,Garden
TMA-ZAIN-G-174,MBC,Garden,Garden
TMA-ZAIN-G-175,MBC,Garden,Garden
TMA-ZAIN-G-176,MBC,Garden,Garden
TMA-ZAIN-G-177,MBC,Garden,Garden
TMA-ZAIN-G-178,MBC,Garden,Garden
TMA-ZAIN-G-179,MBC,Garden,Garden
TMA-ZAIN-G-180,MBC,Garden,Garden
TMA-ZAIN-G-181,MBC,Garden,Garden
TMA-ZAIN-G-182,MBC,Garden,Garden
TMA-ZAIN-G-183,MBC,Garden,Garden
TMA-ZAIN-G-184,MBC,Garden,Garden
TMA-ZAIN-G-185,MBC,Garden,Garden
TMA-ZAIN-G-186,MBC,Garden,Garden
TMA-ZAIN-G-187,MBC,Garden,Garden
TMA-ZAIN-G-188,MBC,Garden,Garden
TMA-ZAIN-G-189,MBC,Garden,Garden
TMA-ZAIN-G-190,MBC,Garden,Garden
TMA-ZAIN-G-191,MBC,Garden,Garden
TMA-ZAIN-G-192,MBC,Garden,Garden
TMA-ZAIN-G-193,MBC,Garden,Garden
TMA-ZAIN-G-194,MBC,Garden,Garden
TMA-ZAIN-G-195,MBC,Garden,Garden
TMA-ZAIN-G-196,MBC,Garden,Garden
TMA-ZAIN-G-197,MBC,Garden,Garden
TMA-ZAIN-G-198,MBC,Garden,Garden
TMA-ZAIN-G-199,MBC,Garden,Garden
TMA-ZAIN-G-200,MBC,Garden,Garden
TMA-ZAIN-G-201,MBC,Garden,Garden
TMA-ZAIN-G-202,MBC,Garden,Garden
TMA-ZAIN-G-203,MBC,Garden,Garden
TMA-ZAIN-G-204,MBC,Garden,Garden
TMA-ZAIN-G-205,MBC,Garden,Garden
TMA-ZAIN-G-206,MBC,Garden,Garden
TMA-ZAIN-G-207,MBC,Garden,Garden
TMA-ZAIN-G-208,MBC,Garden,Garden
TMA-ZAIN-G-209,MBC,Garden,Garden
TMA-ZAIN-G-210,MBC,Garden,Garden
TMA-ZAIN-G-211,MBC,Garden,Garden
TMA-ZAIN-G-212,MBC,Garden,Garden
TMA-ZAIN-G-213,MBC,Garden,Garden
TMA-ZAIN-G-214,MBC,Garden,Garden
TMA-ZAIN-G-215,MBC,Garden,Garden
TMA-ZAIN-G-216,MBC,Garden,Garden
TMA-ZAIN-G-217,MBC,Garden,Garden
TMA-ZAIN-G-218,MBC,Garden,Garden
TMA-ZAIN-G-219,MBC,Garden,Garden
TMA-ZAIN-G-220,MBC,Garden,Garden
TMA-ZAIN-G-221,MBC,Garden,Garden
TMA-ZAIN-G-222,MBC,Garden,Garden
TMA-ZAIN-G-223,MBC,Garden,Garden
TMA-ZAIN-G-224,MBC,Garden,Garden
TMA-ZAIN-G-225,MBC,Garden,Garden
TMA-ZAIN-G-226,MBC,Garden,Garden
TMA-ZAIN-G-227,MBC,Garden,Garden
TMA-ZAIN-G-228,MBC,Garden,Garden
TMA-ZAIN-G-229,MBC,Garden,Garden
TMA-ZAIN-G-230,MBC,Garden,Garden
TMA-ZAIN-G-231,MBC,Garden,Garden
TMA-ZAIN-G-232,MBC,Garden,Garden
TMA-ZAIN-G-233,MBC,Garden,Garden
TMA-ZAIN-G-234,MBC,Garden,Garden
TMA-ZAIN-G-235,MBC,Garden,Garden
TMA-ZAIN-G-236,MBC,Garden,Garden
TMA-ZAIN-G-237,MBC,Garden,Garden
TMA-ZAIN-G-238,MBC,Garden,Garden
TMA-ZAIN-G-239,MBC,Garden,Garden
TMA-ZAIN-G-240,MBC,Garden,Garden
TMA-ZAIN-G-241,MBC,Garden,Garden
TMA-ZAIN-G-242,MBC,Garden,Garden
TMA-ZAIN-G-243,MBC,Garden,Garden
TMA-ZAIN-G-244,MBC,Garden,Garden
TMA-ZAIN-G-245,MBC,Garden,Garden
TMA-ZAIN-G-246,MBC,Garden,Garden
TMA-ZAIN-G-248,MBC,Garden,Garden
