Sample.Name,Pop,Cluster,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25
TMA-ZAIN-G-40,MBC,,0.014,0.009,0.003,0.077,0.002,0.005,0.008,0.004,0.021,0.032,0.015,0.005,0.003,0.395,0.065,0.005,0.004,0.01,0.004,0.003,0.003,0.226,0.05,0.035,0.003
TMA-ZAIN-G-41,MBC,,0.003,0.003,0.002,0.057,0.002,0.003,0.019,0.004,0.012,0.005,0.004,0.006,0.018,0.197,0.529,0.006,0.005,0.005,0.003,0.003,0.003,0.084,0.01,0.012,0.003
TMA-ZAIN-G-42,MBC,,0.005,0.002,0.002,0.014,0.003,0.004,0.098,0.003,0.006,0.005,0.006,0.02,0.126,0.046,0.342,0.01,0.016,0.005,0.003,0.005,0.004,0.25,0.015,0.009,0.003
TMA-ZAIN-G-43,MBC,,0.004,0.002,0.002,0.004,0.003,0.004,0.022,0.003,0.007,0.004,0.005,0.003,0.87,0.004,0.014,0.014,0.005,0.003,0.003,0.002,0.004,0.006,0.004,0.003,0.002
TMA-ZAIN-G-44,MBC,,0.006,0.724,0.005,0.026,0.005,0.009,0.01,0.003,0.041,0.064,0.004,0.003,0.004,0.012,0.006,0.006,0.003,0.022,0.005,0.004,0.004,0.009,0.013,0.007,0.007
TMA-ZAIN-G-45,MBC,,0.012,0.009,0.004,0.01,0.004,0.006,0.016,0.009,0.111,0.122,0.023,0.01,0.016,0.018,0.123,0.005,0.008,0.277,0.008,0.009,0.011,0.071,0.059,0.056,0.005
TMA-ZAIN-G-46,MBC,,0.006,0.922,0.006,0.003,0.004,0.004,0.002,0.003,0.003,0.003,0.002,0.004,0.003,0.002,0.002,0.002,0.004,0.003,0.003,0.003,0.004,0.003,0.002,0.002,0.004
TMA-ZAIN-G-47,MBC,,0.012,0.005,0.003,0.003,0.009,0.004,0.005,0.005,0.003,0.003,0.018,0.432,0.003,0.004,0.003,0.005,0.445,0.008,0.003,0.004,0.003,0.004,0.004,0.009,0.003
TMA-ZAIN-G-48,MBC,,0.112,0.011,0.018,0.008,0.006,0.011,0.075,0.043,0.039,0.077,0.008,0.071,0.038,0.015,0.062,0.014,0.129,0.057,0.005,0.008,0.008,0.052,0.117,0.009,0.005
TMA-ZAIN-G-49,MBC,,0.032,0.003,0.011,0.004,0.024,0.645,0.007,0.014,0.007,0.009,0.037,0.006,0.004,0.006,0.007,0.027,0.008,0.042,0.012,0.015,0.033,0.006,0.009,0.028,0.005
TMA-ZAIN-G-50,MBC,,0.005,0.006,0.004,0.023,0.004,0.703,0.01,0.021,0.005,0.006,0.004,0.003,0.006,0.008,0.041,0.003,0.002,0.005,0.004,0.009,0.023,0.064,0.011,0.008,0.02
TMA-ZAIN-G-51,MBC,,0.015,0.01,0.006,0.007,0.009,0.626,0.008,0.025,0.012,0.011,0.006,0.024,0.055,0.007,0.016,0.006,0.008,0.009,0.023,0.009,0.065,0.024,0.007,0.003,0.008
TMA-ZAIN-G-52,MBC,,0.125,0.006,0.008,0.005,0.007,0.666,0.007,0.024,0.009,0.007,0.006,0.025,0.011,0.005,0.005,0.003,0.016,0.007,0.009,0.004,0.019,0.008,0.009,0.008,0.005
