Sample.Name,Pop,Cluster,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25
ZFCNS41,ZFCNS,C12,0.005,0.006,0.011,0.004,0.008,0.162,0.014,0.018,0.016,0.012,0.015,0.375,0.006,0.193,0.006,0.011,0.013,0.009,0.005,0.012,0.027,0.05,0.006,0.003,
ZFCNS42,ZFCNS,C12,0.002,0.002,0.004,0.003,0.003,0.005,0.003,0.005,0.004,0.003,0.003,0.907,0.004,0.006,0.003,0.003,0.004,0.003,0.003,0.003,0.01,0.006,0.005,0.002,
ZFCNS43,ZFCNS,C12,0.002,0.002,0.003,0.003,0.003,0.005,0.003,0.003,0.003,0.003,0.004,0.925,0.003,0.004,0.003,0.005,0.003,0.003,0.002,0.003,0.004,0.004,0.003,0.002,
ZFCNS44,ZFCNS,C12,0.005,0.002,0.004,0.003,0.003,0.012,0.003,0.013,0.01,0.004,0.005,0.843,0.006,0.014,0.003,0.004,0.009,0.003,0.002,0.003,0.021,0.012,0.008,0.003,
ZFCNS46,ZFCNS,C12,0.002,0.003,0.005,0.005,0.004,0.008,0.006,0.013,0.008,0.007,0.007,0.842,0.007,0.011,0.004,0.005,0.008,0.005,0.004,0.004,0.016,0.008,0.007,0.003,
ZFCNS47,ZFCNS,C12,0.002,0.002,0.003,0.003,0.003,0.005,0.003,0.003,0.003,0.003,0.004,0.921,0.003,0.004,0.003,0.004,0.003,0.003,0.002,0.003,0.006,0.004,0.003,0.002,
ZFCNS48,ZFCNS,C12,0.004,0.002,0.007,0.004,0.003,0.012,0.005,0.025,0.018,0.009,0.007,0.749,0.01,0.034,0.005,0.005,0.013,0.004,0.003,0.004,0.047,0.01,0.012,0.004,
ZFCNS49,ZFCNS,C12,0.004,0.002,0.006,0.004,0.003,0.009,0.003,0.01,0.009,0.004,0.004,0.539,0.008,0.041,0.004,0.003,0.007,0.005,0.003,0.004,0.291,0.015,0.017,0.004,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZFCR01,ZFCR,C19,0.006,0.025,0.014,0.027,0.021,0.003,0.004,0.008,0.007,0.017,0.008,0.003,0.003,0.004,0.009,0.009,0.032,0.008,0.703,0.062,0.004,0.004,0.011,0.007,
ZFCR02,ZFCR,C19,0.009,0.005,0.017,0.004,0.005,0.004,0.004,0.03,0.015,0.004,0.009,0.005,0.004,0.003,0.007,0.016,0.011,0.005,0.767,0.009,0.004,0.008,0.003,0.04,
ZFCR03,ZFCR,C19,0.027,0.03,0.015,0.014,0.012,0.005,0.013,0.009,0.009,0.053,0.008,0.003,0.012,0.004,0.008,0.016,0.042,0.028,0.579,0.007,0.004,0.016,0.017,0.014,
ZFCR04,ZFCR,C19,0.021,0.014,0.009,0.046,0.012,0.008,0.008,0.005,0.014,0.004,0.006,0.008,0.009,0.021,0.011,0.011,0.007,0.1,0.587,0.021,0.027,0.011,0.015,0.022,
ZFCR05,ZFCR,C19,0.005,0.008,0.003,0.011,0.008,0.003,0.01,0.004,0.004,0.003,0.016,0.003,0.003,0.003,0.003,0.006,0.003,0.007,0.846,0.022,0.004,0.003,0.003,0.013,
ZFCR06,ZFCR,C19,0.003,0.006,0.044,0.01,0.009,0.005,0.005,0.016,0.007,0.01,0.026,0.057,0.005,0.026,0.01,0.01,0.017,0.026,0.614,0.016,0.027,0.016,0.019,0.011,
ZFCR07,ZFCR,C19,0.009,0.019,0.004,0.01,0.02,0.021,0.074,0.014,0.01,0.006,0.01,0.039,0.011,0.045,0.004,0.01,0.018,0.136,0.256,0.172,0.037,0.013,0.01,0.005,
ZFCR08,ZFCR,C19,0.032,0.025,0.005,0.084,0.116,0.009,0.007,0.028,0.029,0.006,0.049,0.004,0.007,0.01,0.06,0.026,0.027,0.009,0.232,0.108,0.011,0.01,0.015,0.052,
ZFCR09,ZFCR,C19,0.06,0.206,0.074,0.009,0.025,0.01,0.014,0.019,0.03,0.055,0.031,0.013,0.016,0.017,0.012,0.014,0.025,0.148,0.106,0.015,0.025,0.033,0.014,0.014,
ZFCR11,ZFCR,C19,0.005,0.011,0.013,0.013,0.01,0.005,0.012,0.004,0.003,0.004,0.012,0.009,0.005,0.03,0.003,0.005,0.005,0.015,0.732,0.032,0.045,0.005,0.006,0.014,
ZFCR12,ZFCR,C19,0.004,0.003,0.008,0.004,0.005,0.015,0.011,0.005,0.01,0.004,0.007,0.073,0.011,0.027,0.013,0.008,0.005,0.009,0.65,0.005,0.092,0.007,0.012,0.004,
ZFCR13,ZFCR,C19,0.003,0.003,0.017,0.006,0.147,0.007,0.276,0.013,0.007,0.007,0.005,0.005,0.185,0.006,0.004,0.008,0.008,0.082,0.114,0.059,0.008,0.008,0.011,0.005,
ZFCR14,ZFCR,C19,0.004,0.004,0.004,0.008,0.008,0.016,0.016,0.006,0.01,0.005,0.007,0.005,0.011,0.004,0.01,0.007,0.005,0.006,0.801,0.007,0.009,0.007,0.009,0.024,
ZFCR15,ZFCR,C19,0.007,0.005,0.007,0.012,0.022,0.015,0.012,0.015,0.034,0.008,0.006,0.004,0.026,0.006,0.011,0.008,0.012,0.021,0.688,0.022,0.012,0.013,0.012,0.014,
ZFCR16,ZFCR,C19,0.003,0.004,0.015,0.006,0.014,0.004,0.008,0.021,0.022,0.012,0.01,0.003,0.011,0.005,0.016,0.006,0.033,0.006,0.741,0.009,0.007,0.006,0.007,0.03,
ZFCR18,ZFCR,C19,0.003,0.006,0.011,0.008,0.007,0.007,0.006,0.023,0.015,0.005,0.009,0.005,0.005,0.004,0.005,0.006,0.004,0.026,0.406,0.036,0.006,0.006,0.003,0.367,
ZFCR19,ZFCR,C19,0.004,0.073,0.012,0.005,0.006,0.01,0.007,0.012,0.017,0.018,0.012,0.005,0.032,0.004,0.045,0.007,0.008,0.011,0.596,0.005,0.014,0.013,0.021,0.056,
ZFCR20,ZFCR,C19,0.004,0.076,0.009,0.043,0.028,0.007,0.063,0.015,0.012,0.062,0.006,0.004,0.008,0.008,0.007,0.008,0.1,0.016,0.276,0.069,0.007,0.016,0.052,0.076,
ZFCR21,ZFCR,C19,0.003,0.004,0.004,0.004,0.008,0.008,0.02,0.003,0.008,0.011,0.01,0.004,0.007,0.006,0.01,0.01,0.005,0.007,0.833,0.007,0.006,0.006,0.005,0.004,
ZFCR22,ZFCR,C19,0.003,0.006,0.006,0.002,0.008,0.005,0.042,0.005,0.008,0.009,0.005,0.003,0.012,0.007,0.016,0.005,0.012,0.004,0.798,0.005,0.007,0.008,0.006,0.01,
ZFCR23,ZFCR,C19,0.028,0.014,0.01,0.004,0.117,0.006,0.04,0.029,0.033,0.012,0.004,0.004,0.009,0.044,0.004,0.002,0.04,0.008,0.432,0.011,0.019,0.07,0.031,0.024,
ZFCR24,ZFCR,C19,0.005,0.019,0.016,0.057,0.091,0.008,0.073,0.025,0.019,0.047,0.005,0.004,0.29,0.006,0.007,0.009,0.07,0.052,0.049,0.014,0.008,0.013,0.066,0.039,
ZFCR25,ZFCR,C19,0.002,0.006,0.003,0.008,0.007,0.006,0.01,0.004,0.004,0.004,0.006,0.003,0.004,0.006,0.004,0.005,0.005,0.009,0.875,0.007,0.005,0.004,0.004,0.004,
ZFCR26,ZFCR,C19,0.003,0.087,0.014,0.009,0.01,0.014,0.168,0.01,0.011,0.011,0.017,0.004,0.007,0.008,0.012,0.011,0.01,0.004,0.54,0.016,0.007,0.008,0.009,0.005,
ZFCR27,ZFCR,C19,0.003,0.052,0.003,0.014,0.161,0.003,0.045,0.003,0.003,0.004,0.005,0.003,0.003,0.003,0.003,0.004,0.004,0.018,0.626,0.019,0.003,0.003,0.004,0.007,
ZFCR28,ZFCR,C19,0.008,0.005,0.022,0.007,0.128,0.006,0.006,0.031,0.017,0.035,0.006,0.025,0.01,0.009,0.036,0.011,0.088,0.006,0.469,0.01,0.022,0.015,0.016,0.003,
ZFCR29,ZFCR,C19,0.004,0.011,0.005,0.005,0.005,0.005,0.014,0.004,0.006,0.012,0.005,0.002,0.005,0.005,0.005,0.003,0.006,0.013,0.85,0.007,0.003,0.006,0.006,0.009,
ZFCR30,ZFCR,C19,0.005,0.011,0.005,0.007,0.007,0.016,0.033,0.007,0.009,0.01,0.005,0.008,0.007,0.009,0.01,0.005,0.006,0.009,0.781,0.009,0.013,0.007,0.007,0.004,
ZFCR31,ZFCR,C19,0.01,0.049,0.018,0.012,0.012,0.012,0.018,0.078,0.049,0.016,0.011,0.024,0.014,0.015,0.014,0.008,0.029,0.112,0.216,0.012,0.078,0.023,0.011,0.138,
ZFCR33,ZFCR,C19,0.033,0.032,0.005,0.071,0.143,0.012,0.037,0.009,0.014,0.014,0.039,0.01,0.007,0.029,0.02,0.043,0.012,0.016,0.081,0.331,0.011,0.009,0.009,0.006,
ZFCR34,ZFCR,C19,0.012,0.011,0.006,0.005,0.038,0.008,0.143,0.011,0.013,0.017,0.014,0.008,0.016,0.018,0.008,0.01,0.027,0.084,0.449,0.017,0.04,0.011,0.018,0.011,
ZFCR35,ZFCR,C19,0.011,0.009,0.004,0.008,0.006,0.006,0.004,0.006,0.007,0.009,0.008,0.003,0.006,0.006,0.003,0.007,0.006,0.062,0.775,0.01,0.005,0.005,0.008,0.023,
ZFCR36,ZFCR,C19,0.014,0.011,0.005,0.006,0.008,0.004,0.015,0.009,0.006,0.007,0.006,0.02,0.006,0.01,0.005,0.006,0.013,0.012,0.715,0.011,0.014,0.007,0.007,0.077,
ZFCR37,ZFCR,C19,0.014,0.077,0.003,0.031,0.027,0.005,0.51,0.003,0.004,0.006,0.048,0.004,0.005,0.004,0.004,0.022,0.005,0.028,0.048,0.068,0.004,0.004,0.004,0.055,
ZFCR38,ZFCR,C19,0.01,0.069,0.005,0.052,0.114,0.01,0.039,0.009,0.014,0.006,0.023,0.008,0.009,0.007,0.015,0.037,0.009,0.015,0.433,0.074,0.011,0.007,0.005,0.005,
ZFCR39,ZFCR,C19,0.1,0.28,0.025,0.008,0.011,0.006,0.007,0.033,0.033,0.012,0.048,0.003,0.01,0.011,0.01,0.05,0.067,0.008,0.085,0.098,0.008,0.026,0.009,0.025,
ZFCR40,ZFCR,C19,0.024,0.012,0.004,0.01,0.016,0.009,0.009,0.008,0.009,0.006,0.015,0.004,0.007,0.016,0.003,0.011,0.011,0.006,0.752,0.023,0.01,0.008,0.011,0.01,
ZFCR41,ZFCR,C19,0.002,0.003,0.004,0.006,0.005,0.084,0.011,0.007,0.006,0.006,0.028,0.014,0.008,0.042,0.012,0.015,0.006,0.008,0.666,0.012,0.035,0.005,0.005,0.004,
ZFCR42,ZFCR,C19,0.019,0.016,0.01,0.009,0.021,0.023,0.051,0.014,0.015,0.032,0.03,0.013,0.017,0.015,0.015,0.019,0.028,0.006,0.523,0.037,0.027,0.017,0.015,0.009,
ZFCR43,ZFCR,C19,0.004,0.005,0.029,0.009,0.006,0.01,0.007,0.01,0.004,0.012,0.005,0.005,0.093,0.004,0.003,0.003,0.004,0.006,0.703,0.011,0.005,0.007,0.014,0.036,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZFENP25,ZFENP,,0.006,0.005,0.003,0.016,0.051,0.008,0.013,0.003,0.004,0.014,0.008,0.003,0.003,0.005,0.008,0.018,0.013,0.004,0.021,0.765,0.004,0.004,0.011,0.005,
ZFENP26,ZFENP,,0.008,0.005,0.002,0.006,0.03,0.006,0.005,0.002,0.003,0.003,0.006,0.003,0.003,0.006,0.004,0.004,0.003,0.006,0.01,0.865,0.004,0.003,0.003,0.005,
ZFENP27,ZFENP,,0.015,0.018,0.004,0.015,0.041,0.028,0.004,0.009,0.01,0.013,0.051,0.04,0.006,0.016,0.008,0.092,0.028,0.008,0.067,0.418,0.012,0.022,0.021,0.017,
ZFENP28,ZFENP,,0.008,0.023,0.006,0.029,0.133,0.006,0.011,0.007,0.006,0.004,0.015,0.014,0.004,0.004,0.006,0.014,0.004,0.015,0.045,0.623,0.005,0.004,0.003,0.008,
ZFENP29,ZFENP,,0.005,0.005,0.003,0.005,0.487,0.005,0.008,0.003,0.004,0.004,0.011,0.005,0.004,0.005,0.004,0.01,0.005,0.004,0.133,0.265,0.004,0.004,0.005,0.005,
ZFENP30,ZFENP,,0.015,0.01,0.005,0.009,0.461,0.006,0.016,0.006,0.009,0.006,0.017,0.007,0.006,0.003,0.009,0.042,0.005,0.012,0.019,0.157,0.005,0.004,0.003,0.007,
ZFENP31,ZFENP,,0.175,0.055,0.009,0.024,0.105,0.005,0.01,0.011,0.008,0.004,0.01,0.005,0.005,0.003,0.003,0.009,0.004,0.027,0.018,0.177,0.004,0.005,0.003,0.018,
ZFENP32,ZFENP,,0.087,0.02,0.013,0.008,0.03,0.01,0.007,0.015,0.027,0.016,0.008,0.011,0.008,0.007,0.006,0.007,0.008,0.299,0.016,0.3,0.008,0.009,0.004,0.01,
ZFENP33,ZFENP,,0.004,0.007,0.004,0.011,0.011,0.006,0.011,0.007,0.005,0.005,0.004,0.004,0.004,0.006,0.003,0.003,0.006,0.012,0.006,0.846,0.004,0.006,0.005,0.004,
ZFENP34,ZFENP,,0.005,0.03,0.005,0.317,0.024,0.005,0.006,0.01,0.007,0.003,0.019,0.006,0.004,0.004,0.003,0.009,0.004,0.058,0.027,0.362,0.005,0.004,0.003,0.019,
ZFENP35,ZFENP,,0.069,0.008,0.003,0.008,0.417,0.011,0.014,0.007,0.01,0.006,0.004,0.014,0.01,0.019,0.005,0.004,0.007,0.01,0.006,0.312,0.014,0.01,0.009,0.016,
ZFENP36,ZFENP,,0.01,0.009,0.002,0.005,0.113,0.002,0.01,0.003,0.003,0.002,0.003,0.007,0.002,0.003,0.002,0.003,0.003,0.009,0.006,0.784,0.004,0.003,0.002,0.005,
ZFENP37,ZFENP,,0.039,0.009,0.004,0.225,0.037,0.012,0.023,0.006,0.01,0.007,0.007,0.009,0.008,0.005,0.004,0.008,0.007,0.029,0.007,0.502,0.008,0.01,0.005,0.009,
ZFENP38,ZFENP,,0.018,0.024,0.004,0.026,0.147,0.008,0.399,0.005,0.006,0.005,0.011,0.015,0.005,0.007,0.004,0.018,0.007,0.012,0.012,0.222,0.008,0.006,0.005,0.008,
ZFENP39,ZFENP,,0.01,0.009,0.003,0.012,0.011,0.005,0.007,0.003,0.003,0.004,0.014,0.004,0.003,0.004,0.002,0.007,0.004,0.008,0.061,0.8,0.004,0.003,0.005,0.007,
ZFENP40,ZFENP,,0.015,0.007,0.005,0.009,0.007,0.003,0.005,0.009,0.006,0.006,0.007,0.004,0.005,0.004,0.003,0.004,0.008,0.007,0.019,0.831,0.005,0.006,0.006,0.01,
ZFENP41,ZFENP,,0.02,0.027,0.005,0.013,0.028,0.014,0.006,0.005,0.009,0.006,0.029,0.01,0.013,0.005,0.007,0.035,0.005,0.011,0.031,0.642,0.008,0.007,0.008,0.025,
ZFENP42,ZFENP,,0.341,0.009,0.002,0.005,0.335,0.006,0.09,0.003,0.004,0.004,0.008,0.004,0.005,0.006,0.005,0.006,0.004,0.005,0.078,0.045,0.007,0.004,0.004,0.004,
ZFENP43,ZFENP,,0.011,0.041,0.006,0.034,0.084,0.026,0.054,0.008,0.008,0.007,0.043,0.043,0.005,0.023,0.005,0.019,0.007,0.008,0.017,0.497,0.019,0.017,0.006,0.006,
ZFENP44,ZFENP,,0.089,0.012,0.003,0.019,0.026,0.011,0.02,0.008,0.007,0.004,0.016,0.009,0.005,0.012,0.003,0.009,0.01,0.006,0.01,0.671,0.01,0.008,0.006,0.005,
ZFENP45,ZFENP,,0.06,0.011,0.039,0.01,0.095,0.007,0.044,0.066,0.013,0.045,0.019,0.006,0.025,0.009,0.115,0.013,0.019,0.005,0.012,0.314,0.014,0.026,0.012,0.006,
ZFENP46,ZFENP,,0.011,0.014,0.005,0.022,0.073,0.028,0.019,0.01,0.01,0.006,0.003,0.007,0.008,0.013,0.003,0.002,0.009,0.012,0.009,0.675,0.011,0.021,0.015,0.007,
ZFENP47,ZFENP,,0.204,0.022,0.011,0.007,0.045,0.006,0.004,0.009,0.006,0.021,0.077,0.003,0.005,0.003,0.136,0.019,0.008,0.015,0.068,0.194,0.004,0.005,0.009,0.097,
ZFENP48,ZFENP,,0.008,0.032,0.011,0.368,0.037,0.006,0.012,0.013,0.016,0.013,0.009,0.006,0.006,0.005,0.01,0.021,0.01,0.018,0.025,0.169,0.005,0.006,0.005,0.013,
ZFENP49,ZFENP,,0.004,0.012,0.013,0.003,0.027,0.008,0.006,0.008,0.007,0.021,0.009,0.004,0.01,0.006,0.01,0.006,0.01,0.01,0.099,0.591,0.006,0.008,0.019,0.018,
ZFENP50,ZFENP,,0.072,0.067,0.014,0.009,0.387,0.004,0.127,0.036,0.016,0.007,0.005,0.004,0.006,0.014,0.005,0.004,0.053,0.006,0.029,0.059,0.009,0.041,0.009,0.011,
ZFENP51,ZFENP,,0.028,0.437,0.003,0.009,0.055,0.005,0.007,0.015,0.003,0.004,0.009,0.005,0.004,0.004,0.021,0.006,0.003,0.009,0.016,0.306,0.004,0.004,0.003,0.012,
ZFENP52,ZFENP,,0.007,0.005,0.005,0.004,0.722,0.009,0.013,0.004,0.005,0.004,0.009,0.007,0.004,0.012,0.005,0.005,0.005,0.003,0.006,0.137,0.008,0.01,0.004,0.003,
ZFENP53,ZFENP,,0.022,0.011,0.024,0.011,0.397,0.01,0.026,0.033,0.03,0.022,0.009,0.007,0.013,0.009,0.02,0.007,0.022,0.008,0.013,0.249,0.018,0.02,0.009,0.005,
ZFENP54,ZFENP,,0.01,0.009,0.023,0.01,0.113,0.008,0.014,0.032,0.017,0.006,0.013,0.005,0.005,0.012,0.005,0.016,0.042,0.005,0.536,0.027,0.006,0.023,0.009,0.026,
ZFENP55,ZFENP,,0.007,0.039,0.007,0.014,0.044,0.005,0.22,0.007,0.006,0.008,0.003,0.004,0.005,0.005,0.005,0.003,0.007,0.011,0.041,0.48,0.004,0.006,0.004,0.056,
ZFENP56,ZFENP,,0.008,0.052,0.003,0.01,0.212,0.019,0.112,0.004,0.004,0.006,0.009,0.011,0.004,0.008,0.006,0.007,0.003,0.016,0.014,0.456,0.005,0.004,0.003,0.012,
ZFENP57,ZFENP,,0.119,0.02,0.002,0.031,0.059,0.005,0.014,0.005,0.004,0.003,0.005,0.008,0.004,0.007,0.002,0.004,0.005,0.022,0.021,0.616,0.008,0.005,0.004,0.008,
ZFENP58,ZFENP,,0.005,0.013,0.005,0.005,0.056,0.007,0.019,0.006,0.022,0.008,0.012,0.009,0.167,0.006,0.033,0.031,0.009,0.049,0.027,0.261,0.016,0.006,0.003,0.008,
ZFENP59,ZFENP,,0.038,0.007,0.007,0.006,0.071,0.006,0.007,0.005,0.005,0.005,0.052,0.005,0.004,0.004,0.004,0.045,0.004,0.013,0.02,0.632,0.005,0.004,0.004,0.011,
ZFENP60,ZFENP,,0.018,0.019,0.006,0.035,0.221,0.007,0.016,0.006,0.011,0.012,0.011,0.005,0.017,0.004,0.018,0.01,0.009,0.026,0.153,0.317,0.01,0.01,0.008,0.043,
ZFENP61,ZFENP,,0.005,0.007,0.003,0.009,0.008,0.004,0.006,0.003,0.002,0.004,0.013,0.004,0.003,0.003,0.003,0.008,0.003,0.008,0.025,0.856,0.003,0.003,0.004,0.008,
ZFFDSP01,ZFFDSP,,0.003,0.002,0.005,0.005,0.003,0.014,0.007,0.016,0.076,0.277,0.003,0.014,0.111,0.015,0.013,0.004,0.146,0.012,0.003,0.003,0.148,0.03,0.083,0.004,
ZFFDSP02,ZFFDSP,,0.002,0.002,0.003,0.003,0.002,0.007,0.003,0.006,0.006,0.012,0.004,0.003,0.006,0.004,0.004,0.003,0.012,0.002,0.003,0.002,0.005,0.005,0.894,0.002,
ZFFDSP04,ZFFDSP,,0.003,0.002,0.006,0.004,0.002,0.013,0.005,0.008,0.063,0.575,0.003,0.003,0.033,0.008,0.009,0.004,0.04,0.005,0.003,0.002,0.014,0.036,0.151,0.004,
ZFFDSP05,ZFFDSP,,0.004,0.004,0.02,0.003,0.004,0.014,0.013,0.018,0.051,0.038,0.006,0.005,0.021,0.103,0.012,0.004,0.067,0.005,0.005,0.005,0.058,0.195,0.339,0.003,
ZFFDSP06,ZFFDSP,,0.002,0.002,0.059,0.013,0.003,0.085,0.004,0.021,0.157,0.231,0.009,0.003,0.027,0.009,0.017,0.01,0.108,0.003,0.004,0.002,0.016,0.014,0.195,0.003,
ZFFDSP07,ZFFDSP,,0.007,0.004,0.01,0.004,0.004,0.009,0.01,0.012,0.141,0.058,0.006,0.005,0.019,0.006,0.04,0.03,0.123,0.003,0.006,0.004,0.009,0.019,0.412,0.003,
ZFFDSP08,ZFFDSP,,0.004,0.003,0.025,0.003,0.003,0.018,0.01,0.112,0.409,0.015,0.005,0.008,0.022,0.011,0.107,0.008,0.052,0.003,0.004,0.004,0.037,0.06,0.051,0.003,
ZFFDSP10,ZFFDSP,,0.005,0.004,0.008,0.004,0.004,0.019,0.009,0.013,0.052,0.01,0.004,0.004,0.021,0.01,0.012,0.006,0.064,0.003,0.005,0.004,0.019,0.267,0.437,0.004,
ZFFDSP11,ZFFDSP,,0.004,0.004,0.023,0.004,0.003,0.011,0.009,0.042,0.068,0.089,0.004,0.003,0.024,0.012,0.009,0.004,0.249,0.006,0.004,0.004,0.009,0.328,0.079,0.004,
ZFFDSP12,ZFFDSP,,0.003,0.002,0.054,0.003,0.003,0.007,0.004,0.475,0.14,0.007,0.004,0.003,0.006,0.008,0.033,0.003,0.077,0.002,0.003,0.003,0.012,0.097,0.046,0.002,
ZFFDSP13,ZFFDSP,,0.004,0.004,0.012,0.004,0.005,0.055,0.011,0.064,0.072,0.013,0.018,0.016,0.013,0.266,0.005,0.006,0.032,0.004,0.004,0.006,0.11,0.244,0.018,0.003,
ZFFDSP14,ZFFDSP,,0.006,0.005,0.006,0.005,0.004,0.006,0.012,0.007,0.028,0.084,0.004,0.004,0.014,0.006,0.021,0.011,0.086,0.003,0.005,0.004,0.007,0.011,0.643,0.003,
ZFFDSP16,ZFFDSP,,0.003,0.003,0.018,0.007,0.005,0.006,0.006,0.035,0.014,0.066,0.008,0.011,0.006,0.008,0.004,0.006,0.722,0.007,0.007,0.007,0.01,0.01,0.024,0.004,
ZFFDSP17,ZFFDSP,,0.002,0.003,0.01,0.007,0.004,0.02,0.009,0.027,0.022,0.105,0.006,0.005,0.017,0.008,0.009,0.005,0.475,0.005,0.004,0.004,0.018,0.115,0.111,0.004,
ZFFDSP18,ZFFDSP,,0.002,0.002,0.01,0.005,0.002,0.009,0.004,0.008,0.01,0.208,0.004,0.004,0.009,0.004,0.011,0.005,0.011,0.006,0.004,0.003,0.005,0.014,0.655,0.004,
ZFFDSP19,ZFFDSP,,0.003,0.003,0.019,0.006,0.003,0.011,0.004,0.025,0.012,0.179,0.012,0.086,0.007,0.016,0.022,0.013,0.198,0.006,0.004,0.003,0.034,0.072,0.257,0.003,
ZFFDSP21,ZFFDSP,,0.003,0.002,0.007,0.004,0.003,0.02,0.004,0.062,0.024,0.027,0.023,0.049,0.008,0.048,0.006,0.013,0.41,0.003,0.004,0.003,0.14,0.038,0.091,0.002,
ZFFDSP22,ZFFDSP,,0.002,0.002,0.038,0.004,0.003,0.011,0.005,0.049,0.098,0.077,0.007,0.004,0.011,0.008,0.181,0.006,0.247,0.002,0.004,0.003,0.016,0.024,0.191,0.002,
ZFFDSP23,ZFFDSP,,0.002,0.002,0.01,0.003,0.002,0.01,0.006,0.006,0.015,0.035,0.004,0.007,0.013,0.033,0.063,0.005,0.028,0.002,0.003,0.002,0.108,0.015,0.619,0.002,
ZFFDSP24,ZFFDSP,,0.003,0.003,0.006,0.004,0.003,0.035,0.005,0.036,0.027,0.033,0.005,0.009,0.047,0.01,0.006,0.004,0.028,0.005,0.003,0.003,0.022,0.042,0.653,0.004,
ZFFDSP26,ZFFDSP,,0.003,0.003,0.025,0.004,0.003,0.014,0.005,0.022,0.065,0.069,0.005,0.006,0.013,0.053,0.015,0.005,0.055,0.004,0.004,0.003,0.048,0.058,0.508,0.003,
ZFFDSP27,ZFFDSP,,0.002,0.003,0.01,0.004,0.003,0.009,0.004,0.012,0.017,0.047,0.004,0.007,0.007,0.014,0.007,0.003,0.014,0.005,0.003,0.003,0.014,0.025,0.779,0.003,
ZFFDSP28,ZFFDSP,,0.004,0.011,0.006,0.014,0.005,0.011,0.008,0.012,0.04,0.009,0.006,0.004,0.014,0.013,0.005,0.005,0.013,0.017,0.007,0.003,0.018,0.441,0.306,0.013,
ZFFDSP30,ZFFDSP,,0.006,0.003,0.005,0.005,0.003,0.009,0.006,0.016,0.262,0.035,0.003,0.029,0.16,0.012,0.005,0.005,0.047,0.108,0.004,0.004,0.189,0.057,0.014,0.007,
ZFFDSP31,ZFFDSP,,0.002,0.002,0.156,0.037,0.004,0.169,0.005,0.012,0.031,0.019,0.007,0.006,0.014,0.007,0.009,0.007,0.012,0.003,0.004,0.004,0.016,0.033,0.43,0.003,
ZFFDSP32,ZFFDSP,,0.003,0.002,0.005,0.004,0.003,0.007,0.005,0.033,0.015,0.029,0.003,0.005,0.008,0.012,0.006,0.003,0.642,0.003,0.003,0.003,0.011,0.016,0.173,0.002,
ZFFDSP33,ZFFDSP,,0.003,0.002,0.024,0.005,0.003,0.008,0.004,0.068,0.052,0.011,0.003,0.006,0.009,0.033,0.01,0.002,0.444,0.003,0.003,0.003,0.041,0.061,0.197,0.003,
ZFFDSP34,ZFFDSP,,0.002,0.002,0.173,0.012,0.003,0.092,0.005,0.051,0.037,0.042,0.009,0.004,0.358,0.007,0.013,0.011,0.024,0.003,0.004,0.003,0.02,0.013,0.104,0.004,
ZFFDSP35,ZFFDSP,,0.003,0.003,0.006,0.004,0.002,0.036,0.006,0.015,0.036,0.058,0.004,0.005,0.035,0.01,0.007,0.004,0.03,0.006,0.004,0.003,0.029,0.111,0.577,0.004,
ZFFDSP37,ZFFDSP,,0.002,0.002,0.006,0.004,0.003,0.009,0.004,0.046,0.01,0.013,0.003,0.004,0.008,0.008,0.004,0.003,0.164,0.004,0.003,0.003,0.011,0.033,0.645,0.003,
ZFFDSP38,ZFFDSP,,0.002,0.003,0.023,0.004,0.003,0.009,0.004,0.047,0.009,0.036,0.004,0.005,0.191,0.005,0.005,0.003,0.018,0.005,0.003,0.003,0.007,0.022,0.578,0.005,
ZFFDSP39,ZFFDSP,,0.003,0.002,0.009,0.003,0.003,0.011,0.004,0.007,0.019,0.01,0.003,0.006,0.01,0.071,0.007,0.003,0.009,0.004,0.003,0.003,0.087,0.064,0.654,0.003,
ZFFDSP40,ZFFDSP,,0.003,0.002,0.007,0.003,0.003,0.009,0.003,0.01,0.012,0.009,0.003,0.006,0.008,0.017,0.004,0.002,0.011,0.004,0.003,0.003,0.024,0.049,0.797,0.004,
ZFFDSP42,ZFFDSP,,0.002,0.002,0.007,0.003,0.002,0.011,0.005,0.006,0.008,0.011,0.004,0.005,0.011,0.007,0.016,0.004,0.006,0.003,0.003,0.002,0.013,0.015,0.848,0.003,
ZFFDSP43,ZFFDSP,,0.002,0.002,0.01,0.003,0.002,0.006,0.003,0.005,0.006,0.006,0.003,0.005,0.005,0.008,0.006,0.003,0.006,0.003,0.003,0.002,0.009,0.007,0.887,0.003,
ZFFDSP44,ZFFDSP,,0.003,0.003,0.008,0.005,0.003,0.027,0.005,0.297,0.056,0.014,0.003,0.008,0.04,0.008,0.005,0.003,0.065,0.007,0.003,0.003,0.031,0.257,0.138,0.004,
ZFFDSP45,ZFFDSP,,0.002,0.002,0.017,0.003,0.003,0.019,0.003,0.024,0.005,0.014,0.004,0.004,0.171,0.005,0.004,0.003,0.014,0.003,0.004,0.003,0.009,0.011,0.666,0.003,
