Sample.Name,Pop,C1,C2,C3,C4
TMA-ZAIN-G-304,MBC,0.006,0.004,0.985,0.006
TMA-ZAIN-G-305,MBC,0.005,0.003,0.987,0.005
TMA-ZAIN-G-306,MBC,0.193,0.016,0.04,0.752
NA,NA,0,0,0,0
TMA-ZAIN-G-307,MSBG,0.007,0.006,0.957,0.03
TMA-ZAIN-G-308,MSBG,0.004,0.004,0.987,0.005
TMA-ZAIN-G-309,MSBG,0.006,0.003,0.831,0.159
TMA-ZAIN-G-310,MSBG,0.007,0.005,0.966,0.022
TMA-ZAIN-G-311,MSBG,0.05,0.01,0.402,0.539
TMA-ZAIN-G-312,MSBG,0.006,0.003,0.987,0.004
TMA-ZAIN-G-313,MSBG,0.005,0.005,0.982,0.008
TMA-ZAIN-G-314,MSBG,0.004,0.008,0.98,0.008
TMA-ZAIN-G-315,MSBG,0.005,0.008,0.978,0.009
TMA-ZAIN-G-316,MSBG,0.01,0.004,0.976,0.01
TMA-ZAIN-G-317,MSBG,0.02,0.114,0.011,0.855
TMA-ZAIN-G-318,MSBG,0.005,0.006,0.514,0.475
TMA-ZAIN-G-319,MSBG,0.005,0.009,0.452,0.534
TMA-ZAIN-G-320,MSBG,0.004,0.016,0.021,0.959
TMA-ZAIN-G-321,MSBG,0.004,0.006,0.007,0.983
NA,NA,0,0,0,0
TMA-ZAIN-G-322,AA,0.004,0.131,0.239,0.627
TMA-ZAIN-G-323,AA,0.005,0.034,0.693,0.268
NA,NA,0,0,0,0
TMA-ZAIN-G-324,HBG,0.008,0.03,0.732,0.231
TMA-ZAIN-G-325,HBG,0.005,0.054,0.714,0.228
NA,NA,0,0,0,0
TMA-ZAIN-G-326,FTBG,0.015,0.006,0.222,0.757
TMA-ZAIN-G-327,FTBG,0.005,0.007,0.982,0.006
TMA-ZAIN-G-328,FTBG,0.044,0.04,0.022,0.894
TMA-ZAIN-G-329,FTBG,0.027,0.113,0.61,0.25
TMA-ZAIN-G-330,FTBG,0.006,0.004,0.985,0.005
TMA-ZAIN-G-331,FTBG,0.014,0.012,0.238,0.736
TMA-ZAIN-G-332,FTBG,0.005,0.004,0.985,0.006
NA,NA,0,0,0,0
TMA-ZAIN-G-333,UCBBG,0.005,0.003,0.988,0.004
TMA-ZAIN-G-334,UCBBG,0.049,0.162,0.71,0.079
TMA-ZAIN-G-335,UCBBG,0.005,0.005,0.987,0.003
TMA-ZAIN-G-336,UCBBG,0.006,0.006,0.983,0.005
TMA-ZAIN-G-337,UCBBG,0.003,0.004,0.004,0.989
TMA-ZAIN-G-338,UCBBG,0.002,0.004,0.005,0.989
TMA-ZAIN-G-339,UCBBG,0.003,0.005,0.008,0.985
TMA-ZAIN-G-340,UCBBG,0.003,0.005,0.005,0.987
TMA-ZAIN-G-341,UCBBG,0.002,0.006,0.003,0.989
TMA-ZAIN-G-342,UCBBG,0.002,0.005,0.002,0.99
TMA-ZAIN-G-343,UCBBG,0.002,0.004,0.004,0.99
TMA-ZAIN-G-344,UCBBG,0.003,0.005,0.005,0.988
TMA-ZAIN-G-345,UCBBG,0.002,0.005,0.005,0.989
NA,NA,0,0,0,0
TMA-ZAIN-G-347,GWL,0.002,0.004,0.003,0.99
TMA-ZAIN-G-348,GWL,0.003,0.004,0.004,0.989
TMA-ZAIN-G-349,GWL,0.002,0.004,0.003,0.99
TMA-ZAIN-G-350,GWL,0.002,0.004,0.003,0.991
TMA-ZAIN-G-351,GWL,0.002,0.004,0.004,0.99
TMA-ZAIN-G-352,GWL,0.003,0.005,0.005,0.986
TMA-ZAIN-G-353,GWL,0.003,0.004,0.004,0.989
TMA-ZAIN-G-354,GWL,0.003,0.004,0.006,0.986
TMA-ZAIN-G-355,GWL,0.003,0.004,0.004,0.989
TMA-ZAIN-G-356,GWL,0.003,0.005,0.006,0.987
TMA-ZAIN-G-357,GWL,0.003,0.005,0.006,0.986
TMA-ZAIN-G-358,GWL,0.003,0.004,0.004,0.988
TMA-ZAIN-G-359,GWL,0.003,0.005,0.008,0.984
NA,NA,0,0,0,0
TMA-ZAIN-G-360,HPLG,0.004,0.003,0.985,0.008
TMA-ZAIN-G-361,HPLG,0.005,0.004,0.987,0.005
TMA-ZAIN-G-362,HPLG,0.013,0.006,0.971,0.01
TMA-ZAIN-G-363,HPLG,0.004,0.022,0.92,0.053
TMA-ZAIN-G-364,HPLG,0.004,0.003,0.989,0.004
TMA-ZAIN-G-365,HPLG,0.071,0.036,0.888,0.005
TMA-ZAIN-G-366,HPLG,0.004,0.006,0.982,0.009
NA,NA,0,0,0,0
TMA-ZAIN-G-367,NBG,0.004,0.005,0.976,0.014
TMA-ZAIN-G-368,NBG,0.003,0.009,0.019,0.968
TMA-ZAIN-G-369,NBG,0.006,0.021,0.708,0.266
TMA-ZAIN-G-370,NBG,0.02,0.006,0.966,0.008
TMA-ZAIN-G-371,NBG,0.005,0.012,0.974,0.009
TMA-ZAIN-G-372,NBG,0.018,0.005,0.972,0.005
TMA-ZAIN-G-373,NBG,0.005,0.003,0.989,0.003
TMA-ZAIN-G-374,NBG,0.086,0.042,0.868,0.004
TMA-ZAIN-G-376,NBG,0.005,0.003,0.987,0.004
TMA-ZAIN-G-377,NBG,0.007,0.003,0.985,0.004
TMA-ZAIN-G-378,NBG,0.006,0.008,0.98,0.006
NA,NA,0,0,0,0
TMA-ZAIN-G-379,KWTFBG,0.006,0.04,0.817,0.137
TMA-ZAIN-G-380,KWTFBG,0.004,0.013,0.549,0.433
TMA-ZAIN-G-381,KWTFBG,0.005,0.003,0.988,0.004
TMA-ZAIN-G-382,KWTFBG,0.005,0.003,0.989,0.003
TMA-ZAIN-G-383,KWTFBG,0.005,0.002,0.989,0.003
TMA-ZAIN-G-384,KWTFBG,0.005,0.003,0.989,0.003
