Sample.Name,Pop,C1,C2,C3
TMA-ZAIN-G-253,MBC,0.018,0.975,0.007
TMA-ZAIN-G-254,MBC,0.007,0.973,0.02
TMA-ZAIN-G-255,MBC,0.008,0.985,0.008
TMA-ZAIN-G-256,MBC,0.008,0.986,0.006
TMA-ZAIN-G-257,MBC,0.117,0.874,0.009
TMA-ZAIN-G-258,MBC,0.01,0.982,0.008
TMA-ZAIN-G-259,MBC,0.01,0.983,0.007
TMA-ZAIN-G-260,MBC,0.008,0.985,0.007
TMA-ZAIN-G-261,MBC,0.021,0.971,0.008
TMA-ZAIN-G-262,MBC,0.015,0.974,0.011
TMA-ZAIN-G-263,MBC,0.015,0.977,0.008
TMA-ZAIN-G-264,MBC,0.011,0.982,0.007
TMA-ZAIN-G-265,MBC,0.018,0.975,0.008
TMA-ZAIN-G-266,MBC,0.015,0.977,0.008
TMA-ZAIN-G-267,MBC,0.03,0.961,0.008
TMA-ZAIN-G-268,MBC,0.009,0.984,0.007
TMA-ZAIN-G-269,MBC,0.44,0.551,0.009
TMA-ZAIN-G-270,MBC,0.977,0.019,0.004
TMA-ZAIN-G-271,MBC,0.926,0.07,0.004
TMA-ZAIN-G-272,MBC,0.917,0.079,0.004
TMA-ZAIN-G-273,MBC,0.973,0.023,0.004
TMA-ZAIN-G-274,MBC,0.939,0.057,0.004
TMA-ZAIN-G-275,MBC,0.981,0.016,0.003
TMA-ZAIN-G-276,MBC,0.956,0.035,0.009
TMA-ZAIN-G-277,MBC,0.983,0.014,0.003
TMA-ZAIN-G-278,MBC,0.977,0.019,0.004
TMA-ZAIN-G-279,MBC,0.979,0.015,0.006
TMA-ZAIN-G-280,MBC,0.977,0.019,0.004
TMA-ZAIN-G-281,MBC,0.971,0.025,0.004
TMA-ZAIN-G-282,MBC,0.967,0.028,0.004
TMA-ZAIN-G-283,MBC,0.973,0.023,0.004
TMA-ZAIN-G-284,MBC,0.987,0.009,0.004
TMA-ZAIN-G-285,MBC,0.971,0.025,0.004
TMA-ZAIN-G-286,MBC,0.96,0.035,0.005
TMA-ZAIN-G-287,MBC,0.966,0.027,0.007
TMA-ZAIN-G-288,MBC,0.988,0.008,0.004
TMA-ZAIN-G-289,MBC,0.978,0.015,0.007
TMA-ZAIN-G-290,MBC,0.911,0.08,0.009
TMA-ZAIN-G-291,MBC,0.958,0.033,0.009
TMA-ZAIN-G-292,MBC,0.974,0.021,0.005
TMA-ZAIN-G-293,MBC,0.951,0.034,0.014
TMA-ZAIN-G-294,MBC,0.01,0.984,0.006
TMA-ZAIN-G-295,MBC,0.006,0.989,0.005
TMA-ZAIN-G-296,MBC,0.006,0.974,0.02
TMA-ZAIN-G-297,MBC,0.009,0.973,0.017
TMA-ZAIN-G-298,MBC,0.008,0.986,0.006
TMA-ZAIN-G-299,MBC,0.006,0.988,0.006
TMA-ZAIN-G-301,MBC,0.008,0.985,0.007
TMA-ZAIN-G-302,MBC,0.006,0.986,0.007
TMA-ZAIN-G-303,MBC,0.006,0.97,0.024
TMA-ZAIN-G-304,MBC,0.006,0.986,0.008
TMA-ZAIN-G-305,MBC,0.005,0.987,0.008
TMA-ZAIN-G-306,MBC,0.612,0.34,0.048
NA,NA,0,0,0
TMA-ZAIN-G-307,MSBG,0.009,0.982,0.008
TMA-ZAIN-G-308,MSBG,0.005,0.989,0.006
TMA-ZAIN-G-309,MSBG,0.016,0.977,0.007
TMA-ZAIN-G-310,MSBG,0.007,0.984,0.009
TMA-ZAIN-G-311,MSBG,0.094,0.897,0.009
TMA-ZAIN-G-312,MSBG,0.005,0.988,0.007
TMA-ZAIN-G-313,MSBG,0.007,0.986,0.006
TMA-ZAIN-G-314,MSBG,0.009,0.985,0.006
TMA-ZAIN-G-315,MSBG,0.011,0.982,0.006
TMA-ZAIN-G-316,MSBG,0.006,0.983,0.011
TMA-ZAIN-G-317,MSBG,0.831,0.165,0.005
TMA-ZAIN-G-318,MSBG,0.288,0.707,0.005
TMA-ZAIN-G-319,MSBG,0.371,0.624,0.005
TMA-ZAIN-G-320,MSBG,0.658,0.337,0.005
TMA-ZAIN-G-321,MSBG,0.967,0.027,0.006
NA,NA,0,0,0
TMA-ZAIN-G-322,AA,0.513,0.482,0.005
TMA-ZAIN-G-323,AA,0.085,0.909,0.006
NA,NA,0,0,0
TMA-ZAIN-G-324,HBG,0.118,0.874,0.009
TMA-ZAIN-G-325,HBG,0.138,0.856,0.006
TMA-ZAIN-G-326,FTBG,0.54,0.454,0.007
TMA-ZAIN-G-327,FTBG,0.009,0.984,0.007
TMA-ZAIN-G-328,FTBG,0.749,0.239,0.012
TMA-ZAIN-G-329,FTBG,0.316,0.66,0.024
TMA-ZAIN-G-330,FTBG,0.007,0.985,0.008
TMA-ZAIN-G-331,FTBG,0.358,0.633,0.008
TMA-ZAIN-G-332,FTBG,0.006,0.988,0.007
NA,NA,0,0,0
TMA-ZAIN-G-333,UCBBG,0.004,0.989,0.007
TMA-ZAIN-G-334,UCBBG,0.151,0.794,0.055
TMA-ZAIN-G-335,UCBBG,0.006,0.986,0.008
TMA-ZAIN-G-336,UCBBG,0.009,0.983,0.009
TMA-ZAIN-G-337,UCBBG,0.976,0.02,0.004
TMA-ZAIN-G-338,UCBBG,0.943,0.054,0.003
TMA-ZAIN-G-339,UCBBG,0.876,0.12,0.004
TMA-ZAIN-G-340,UCBBG,0.963,0.032,0.004
TMA-ZAIN-G-341,UCBBG,0.989,0.008,0.003
TMA-ZAIN-G-342,UCBBG,0.992,0.005,0.003
TMA-ZAIN-G-343,UCBBG,0.961,0.036,0.003
TMA-ZAIN-G-344,UCBBG,0.953,0.044,0.003
TMA-ZAIN-G-345,UCBBG,0.944,0.053,0.003
NA,NA,0,0,0
TMA-ZAIN-G-347,GWL,0.983,0.014,0.003
TMA-ZAIN-G-348,GWL,0.967,0.029,0.004
TMA-ZAIN-G-349,GWL,0.99,0.007,0.003
TMA-ZAIN-G-350,GWL,0.967,0.03,0.003
TMA-ZAIN-G-351,GWL,0.979,0.017,0.003
TMA-ZAIN-G-352,GWL,0.961,0.035,0.004
TMA-ZAIN-G-353,GWL,0.984,0.011,0.005
TMA-ZAIN-G-354,GWL,0.901,0.095,0.004
TMA-ZAIN-G-355,GWL,0.974,0.022,0.004
TMA-ZAIN-G-356,GWL,0.922,0.074,0.004
TMA-ZAIN-G-357,GWL,0.959,0.036,0.005
TMA-ZAIN-G-358,GWL,0.975,0.021,0.004
TMA-ZAIN-G-359,GWL,0.919,0.077,0.004
NA,NA,0,0,0
TMA-ZAIN-G-360,HPLG,0.004,0.991,0.006
TMA-ZAIN-G-361,HPLG,0.006,0.988,0.006
TMA-ZAIN-G-362,HPLG,0.008,0.974,0.019
TMA-ZAIN-G-363,HPLG,0.012,0.983,0.005
TMA-ZAIN-G-364,HPLG,0.004,0.989,0.007
TMA-ZAIN-G-365,HPLG,0.031,0.894,0.075
TMA-ZAIN-G-366,HPLG,0.008,0.986,0.006
NA,NA,0,0,0
TMA-ZAIN-G-367,NBG,0.008,0.986,0.006
TMA-ZAIN-G-368,NBG,0.674,0.322,0.005
TMA-ZAIN-G-369,NBG,0.129,0.865,0.007
TMA-ZAIN-G-370,NBG,0.008,0.966,0.026
TMA-ZAIN-G-371,NBG,0.012,0.981,0.007
TMA-ZAIN-G-372,NBG,0.006,0.967,0.027
TMA-ZAIN-G-373,NBG,0.004,0.989,0.007
TMA-ZAIN-G-374,NBG,0.036,0.861,0.103
TMA-ZAIN-G-376,NBG,0.005,0.987,0.008
TMA-ZAIN-G-377,NBG,0.004,0.985,0.011
TMA-ZAIN-G-378,NBG,0.012,0.98,0.008
NA,NA,0,0,0
TMA-ZAIN-G-379,KWTFBG,0.093,0.9,0.008
TMA-ZAIN-G-380,KWTFBG,0.049,0.946,0.005
TMA-ZAIN-G-381,KWTFBG,0.005,0.989,0.006
TMA-ZAIN-G-382,KWTFBG,0.004,0.988,0.008
TMA-ZAIN-G-383,KWTFBG,0.004,0.989,0.007
TMA-ZAIN-G-384,KWTFBG,0.004,0.989,0.007
TMA-ZAIN-G-385,KWTFBG,0.004,0.98,0.016
TMA-ZAIN-G-386,KWTFBG,0.312,0.645,0.044
TMA-ZAIN-G-387,KWTFBG,0.935,0.059,0.006
NA,NA,0,0,0
ZFB01,ZFB,0.863,0.127,0.011
ZFB02,ZFB,0.981,0.013,0.006
ZFB03,ZFB,0.966,0.016,0.018
ZFB04,ZFB,0.981,0.014,0.006
ZFB05,ZFB,0.981,0.013,0.006
ZFB06,ZFB,0.981,0.013,0.006
ZFB07,ZFB,0.972,0.01,0.018
ZFB08,ZFB,0.973,0.011,0.016
ZFB09,ZFB,0.971,0.021,0.008
ZFB10,ZFB,0.935,0.044,0.021
ZFB11,ZFB,0.728,0.262,0.01
ZFB12,ZFB,0.907,0.081,0.012
ZFB13,ZFB,0.978,0.007,0.015
ZFB14,ZFB,0.963,0.023,0.014
ZFB15,ZFB,0.98,0.015,0.005
ZFB16,ZFB,0.985,0.008,0.007
ZFB17,ZFB,0.976,0.017,0.007
ZFB18,ZFB,0.945,0.045,0.011
ZFB19,ZFB,0.948,0.011,0.041
ZFB20,ZFB,0.976,0.018,0.006
ZFB21,ZFB,0.981,0.014,0.006
ZFB22,ZFB,0.942,0.051,0.008
ZFB23,ZFB,0.932,0.047,0.02
ZFB24,ZFB,0.828,0.162,0.01
ZFB25,ZFB,0.881,0.079,0.04
ZFB26,ZFB,0.926,0.049,0.025
ZFB27,ZFB,0.862,0.128,0.01
ZFB28,ZFB,0.966,0.022,0.012
ZFB29,ZFB,0.934,0.059,0.007
ZFB30,ZFB,0.951,0.037,0.012
ZFB31,ZFB,0.95,0.019,0.031
ZFB32,ZFB,0.946,0.023,0.031
ZFB33,ZFB,0.961,0.033,0.006
ZFB34,ZFB,0.973,0.015,0.012
ZFB35,ZFB,0.967,0.019,0.013
NA,NA,0,0,0
ZFBP101,ZFBP1,0.011,0.009,0.98
ZFBP102,ZFBP1,0.012,0.01,0.978
ZFBP103,ZFBP1,0.008,0.008,0.984
ZFBP104,ZFBP1,0.096,0.007,0.897
ZFBP105,ZFBP1,0.014,0.008,0.978
ZFBP106,ZFBP1,0.006,0.007,0.987
ZFBP107,ZFBP1,0.02,0.009,0.971
ZFBP108,ZFBP1,0.005,0.008,0.987
ZFBP109,ZFBP1,0.007,0.041,0.953
ZFBP110,ZFBP1,0.016,0.014,0.97
ZFBP111,ZFBP1,0.004,0.007,0.988
ZFBP112,ZFBP1,0.009,0.009,0.982
ZFBP113,ZFBP1,0.008,0.009,0.983
ZFBP114,ZFBP1,0.008,0.01,0.982
ZFBP115,ZFBP1,0.005,0.007,0.988
ZFBP116,ZFBP1,0.006,0.007,0.986
ZFBP117,ZFBP1,0.004,0.007,0.988
ZFBP118,ZFBP1,0.006,0.01,0.983
ZFBP119,ZFBP1,0.005,0.007,0.989
ZFBP120,ZFBP1,0.011,0.008,0.981
ZFBP121,ZFBP1,0.008,0.01,0.982
ZFBP122,ZFBP1,0.006,0.009,0.985
ZFBP123,ZFBP1,0.008,0.008,0.985
ZFBP124,ZFBP1,0.01,0.009,0.982
ZFBP125,ZFBP1,0.004,0.007,0.989
ZFBP126,ZFBP1,0.011,0.011,0.978
ZFBP127,ZFBP1,0.005,0.017,0.978
ZFBP128,ZFBP1,0.006,0.008,0.986
ZFBP129,ZFBP1,0.006,0.009,0.986
ZFBP130,ZFBP1,0.004,0.007,0.988
ZFBP131,ZFBP1,0.007,0.014,0.98
ZFBP132,ZFBP1,0.005,0.011,0.984
ZFBP133,ZFBP1,0.004,0.008,0.987
ZFBP134,ZFBP1,0.007,0.008,0.985
ZFBP135,ZFBP1,0.013,0.009,0.978
ZFBP136,ZFBP1,0.009,0.006,0.985
NA,NA,0,0,0
