Sample.Name,Pop,C1,C2,C3
ZFTSP133,ZFTSP1,0.004,0.006,0.99
ZFTSP134,ZFTSP1,0.004,0.006,0.989
ZFTSP135,ZFTSP1,0.005,0.007,0.989
ZFTSP136,ZFTSP1,0.005,0.007,0.988
ZFTSP137,ZFTSP1,0.024,0.008,0.967
ZFTSP138,ZFTSP1,0.006,0.006,0.987
ZFTSP139,ZFTSP1,0.004,0.005,0.991
ZFTSP140,ZFTSP1,0.009,0.007,0.985
ZFTSP141,ZFTSP1,0.007,0.006,0.987
ZFTSP142,ZFTSP1,0.006,0.007,0.987
ZFTSP143,ZFTSP1,0.005,0.006,0.988
ZFTSP144,ZFTSP1,0.009,0.007,0.984
ZFTSP145,ZFTSP1,0.005,0.005,0.99
NA,NA,0,0,0
ZFTSP201,ZFTSP2,0.007,0.009,0.984
ZFTSP202,ZFTSP2,0.011,0.007,0.981
ZFTSP203,ZFTSP2,0.006,0.011,0.983
ZFTSP204,ZFTSP2,0.007,0.007,0.986
ZFTSP205,ZFTSP2,0.009,0.011,0.98
ZFTSP206,ZFTSP2,0.008,0.008,0.984
ZFTSP207,ZFTSP2,0.007,0.011,0.981
ZFTSP208,ZFTSP2,0.009,0.008,0.983
ZFTSP209,ZFTSP2,0.005,0.006,0.989
ZFTSP210,ZFTSP2,0.006,0.01,0.985
ZFTSP211,ZFTSP2,0.011,0.008,0.981
ZFTSP212,ZFTSP2,0.004,0.006,0.99
ZFTSP213,ZFTSP2,0.007,0.008,0.985
ZFTSP214,ZFTSP2,0.006,0.006,0.988
ZFTSP215,ZFTSP2,0.005,0.008,0.987
ZFTSP216,ZFTSP2,0.048,0.009,0.943
ZFTSP217,ZFTSP2,0.006,0.011,0.983
ZFTSP218,ZFTSP2,0.007,0.008,0.985
ZFTSP219,ZFTSP2,0.008,0.006,0.985
ZFTSP220,ZFTSP2,0.019,0.01,0.971
ZFTSP221,ZFTSP2,0.006,0.01,0.984
ZFTSP222,ZFTSP2,0.044,0.013,0.943
ZFTSP223,ZFTSP2,0.005,0.006,0.989
ZFTSP224,ZFTSP2,0.005,0.006,0.989
ZFTSP225,ZFTSP2,0.005,0.007,0.988
ZFTSP226,ZFTSP2,0.005,0.006,0.988
ZFTSP227,ZFTSP2,0.011,0.012,0.978
ZFTSP228,ZFTSP2,0.009,0.008,0.982
NA,NA,0,0,0
ZFW01,ZFW,0.964,0.02,0.017
ZFW02,ZFW,0.962,0.026,0.012
ZFW03,ZFW,0.972,0.01,0.018
ZFW04,ZFW,0.979,0.013,0.007
ZFW05,ZFW,0.971,0.008,0.021
ZFW06,ZFW,0.934,0.059,0.008
NA,NA,0,0,0
ZFWB01,ZFWB,0.532,0.006,0.463
ZFWB02,ZFWB,0.963,0.006,0.031
ZFWB03,ZFWB,0.721,0.019,0.26
ZFWB05,ZFWB,0.842,0.018,0.139
ZFWB06,ZFWB,0.733,0.005,0.262
ZFWB07,ZFWB,0.792,0.007,0.202
ZFWB10,ZFWB,0.735,0.027,0.238
ZFWB11,ZFWB,0.852,0.006,0.141
ZFWB12,ZFWB,0.542,0.016,0.442
ZFWB13,ZFWB,0.491,0.011,0.498
ZFWB14,ZFWB,0.484,0.006,0.51
ZFWB15,ZFWB,0.819,0.007,0.173
ZFWB18,ZFWB,0.517,0.007,0.476
ZFWB19,ZFWB,0.953,0.006,0.041
ZFWB20,ZFWB,0.853,0.013,0.134
ZFWB21,ZFWB,0.771,0.018,0.211
ZFWB22,ZFWB,0.703,0.01,0.287
ZFWB23,ZFWB,0.199,0.006,0.795
ZFWB24,ZFWB,0.477,0.027,0.496
ZFWB25,ZFWB,0.87,0.01,0.119
ZFWB26,ZFWB,0.926,0.009,0.065
ZFWB27,ZFWB,0.903,0.006,0.091
ZFWB29,ZFWB,0.923,0.009,0.068
ZFWB30,ZFWB,0.722,0.005,0.273
ZFWB31,ZFWB,0.492,0.007,0.501
ZFWB32,ZFWB,0.94,0.012,0.047
ZFWB35,ZFWB,0.695,0.009,0.296
ZFWB36,ZFWB,0.907,0.008,0.085
ZFWB37,ZFWB,0.794,0.008,0.198
ZFWB38,ZFWB,0.909,0.008,0.083
ZFWB39,ZFWB,0.611,0.007,0.382
ZFWB40,ZFWB,0.616,0.006,0.378
ZFWB41,ZFWB,0.687,0.006,0.307
ZFWB42,ZFWB,0.595,0.007,0.399
ZFWB43,ZFWB,0.886,0.009,0.104
ZFWB44,ZFWB,0.978,0.006,0.015
ZFWB46,ZFWB,0.858,0.006,0.136
ZFWB47,ZFWB,0.911,0.008,0.081
ZFWB48,ZFWB,0.486,0.006,0.508
ZFWB49,ZFWB,0.351,0.012,0.637
NA,NA,0,0,0
ZCF01,ZCF,0.975,0.004,0.021
ZCF02,ZCF,0.981,0.01,0.009
ZCF03,ZCF,0.965,0.009,0.025
ZCF04,ZCF,0.939,0.031,0.03
ZCF05,ZCF,0.988,0.004,0.008
ZCF06,ZCF,0.673,0.062,0.264
ZCF07,ZCF,0.977,0.005,0.018
ZCF08,ZCF,0.931,0.031,0.038
ZCF09,ZCF,0.35,0.015,0.635
ZCF10,ZCF,0.864,0.008,0.128
ZCF11,ZCF,0.965,0.009,0.026
ZCF12,ZCF,0.984,0.006,0.01
ZCF13,ZCF,0.925,0.026,0.049
ZCF14,ZCF,0.904,0.009,0.087
ZCF15,ZCF,0.96,0.008,0.032
ZCF16,ZCF,0.958,0.013,0.029
ZCF17,ZCF,0.979,0.005,0.016
ZCF18,ZCF,0.928,0.026,0.047
ZCF19,ZCF,0.98,0.008,0.012
ZCF20,ZCF,0.966,0.009,0.025
ZCF21,ZCF,0.932,0.033,0.035
ZCF22,ZCF,0.928,0.028,0.044
ZCF23,ZCF,0.965,0.007,0.028
ZCF24,ZCF,0.565,0.008,0.427
ZCF25,ZCF,0.821,0.022,0.157
ZCF26,ZCF,0.759,0.117,0.124
ZCF27,ZCF,0.973,0.007,0.02
ZCF28,ZCF,0.986,0.005,0.009
ZCF29,ZCF,0.934,0.011,0.056
ZCF30,ZCF,0.973,0.006,0.021
ZCF31,ZCF,0.958,0.006,0.036
ZCF32,ZCF,0.945,0.029,0.026
ZCF33,ZCF,0.987,0.004,0.01
ZCF34,ZCF,0.383,0.018,0.599
ZCF35,ZCF,0.885,0.06,0.055
ZCF36,ZCF,0.946,0.004,0.05
ZCF37,ZCF,0.965,0.012,0.023
ZCF38,ZCF,0.875,0.026,0.098
ZCF39,ZCF,0.071,0.013,0.916
ZCF40,ZCF,0.702,0.022,0.276
ZCF41,ZCF,0.978,0.004,0.018
ZCF42,ZCF,0.801,0.02,0.179
