,,,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25
ZFENP36,ZFENP,C21,0.005,0.005,0.002,0.003,0.009,0.006,0.003,0.003,0.002,0.006,0.002,0.002,0.004,0.003,0.002,0.002,0.004,0.007,0.008,0.003,0.828,0.008,0.071,0.003,0.01
ZFENP37,ZFENP,C21,0.237,0.009,0.004,0.011,0.009,0.009,0.007,0.005,0.006,0.008,0.006,0.009,0.008,0.009,0.004,0.011,0.005,0.008,0.028,0.006,0.483,0.027,0.044,0.008,0.039
ZFENP38,ZFENP,C21,0.027,0.008,0.004,0.006,0.022,0.017,0.007,0.005,0.004,0.014,0.006,0.005,0.007,0.007,0.004,0.008,0.008,0.015,0.427,0.005,0.232,0.013,0.111,0.018,0.019
ZFENP39,ZFENP,C21,0.014,0.007,0.003,0.003,0.008,0.005,0.004,0.004,0.005,0.067,0.004,0.003,0.004,0.004,0.003,0.005,0.004,0.005,0.007,0.003,0.801,0.009,0.01,0.008,0.009
ZFENP40,ZFENP,C21,0.01,0.009,0.003,0.006,0.008,0.01,0.009,0.006,0.006,0.03,0.006,0.005,0.005,0.008,0.004,0.003,0.004,0.004,0.005,0.009,0.814,0.007,0.006,0.004,0.018
ZFENP41,ZFENP,C21,0.014,0.024,0.007,0.007,0.035,0.039,0.009,0.008,0.007,0.024,0.007,0.014,0.008,0.005,0.005,0.015,0.005,0.01,0.006,0.005,0.64,0.011,0.035,0.039,0.021
ZFENP42,ZFENP,C21,0.006,0.004,0.005,0.004,0.009,0.013,0.006,0.004,0.004,0.081,0.004,0.005,0.007,0.004,0.002,0.007,0.006,0.004,0.089,0.003,0.07,0.006,0.311,0.006,0.34
ZFENP43,ZFENP,C21,0.033,0.006,0.005,0.018,0.043,0.007,0.015,0.008,0.006,0.021,0.008,0.006,0.019,0.008,0.005,0.032,0.025,0.045,0.045,0.008,0.497,0.009,0.092,0.028,0.011
ZFENP44,ZFENP,C21,0.018,0.005,0.003,0.006,0.011,0.02,0.012,0.005,0.006,0.01,0.005,0.005,0.01,0.009,0.003,0.01,0.01,0.008,0.019,0.007,0.706,0.005,0.026,0.009,0.073
ZFENP45,ZFENP,C21,0.01,0.006,0.11,0.022,0.012,0.016,0.036,0.077,0.011,0.012,0.046,0.012,0.015,0.017,0.023,0.007,0.008,0.007,0.039,0.036,0.325,0.006,0.08,0.014,0.054
ZFENP46,ZFENP,C21,0.027,0.006,0.004,0.021,0.015,0.007,0.013,0.006,0.015,0.011,0.006,0.008,0.011,0.008,0.005,0.026,0.013,0.006,0.021,0.011,0.662,0.01,0.071,0.002,0.013
ZFENP47,ZFENP,C21,0.007,0.106,0.139,0.005,0.021,0.024,0.009,0.014,0.01,0.091,0.022,0.006,0.003,0.008,0.009,0.006,0.003,0.004,0.004,0.008,0.19,0.04,0.038,0.031,0.203
ZFENP48,ZFENP,C21,0.379,0.012,0.011,0.006,0.034,0.193,0.009,0.009,0.005,0.024,0.012,0.014,0.005,0.012,0.01,0.006,0.004,0.007,0.013,0.013,0.134,0.027,0.039,0.016,0.008
ZFENP49,ZFENP,C21,0.004,0.02,0.011,0.01,0.011,0.093,0.012,0.019,0.018,0.097,0.021,0.006,0.005,0.01,0.01,0.008,0.005,0.004,0.007,0.008,0.571,0.014,0.025,0.007,0.004
ZFENP50,ZFENP,C21,0.011,0.011,0.005,0.036,0.075,0.006,0.036,0.018,0.009,0.023,0.006,0.005,0.01,0.042,0.011,0.005,0.009,0.004,0.13,0.031,0.068,0.006,0.36,0.004,0.079
ZFENP51,ZFENP,C21,0.009,0.012,0.022,0.004,0.478,0.03,0.004,0.005,0.003,0.013,0.005,0.003,0.004,0.003,0.003,0.005,0.004,0.005,0.008,0.015,0.285,0.01,0.04,0.006,0.023
ZFENP52,ZFENP,C21,0.004,0.002,0.004,0.01,0.006,0.005,0.007,0.006,0.004,0.007,0.004,0.004,0.007,0.005,0.004,0.009,0.011,0.007,0.011,0.004,0.137,0.003,0.724,0.006,0.007
ZFENP53,ZFENP,C21,0.012,0.006,0.017,0.015,0.011,0.006,0.036,0.027,0.009,0.013,0.019,0.02,0.016,0.017,0.024,0.009,0.007,0.008,0.025,0.033,0.3,0.007,0.336,0.005,0.023
ZFENP54,ZFENP,C21,0.01,0.026,0.005,0.02,0.01,0.025,0.022,0.03,0.008,0.564,0.006,0.006,0.005,0.035,0.017,0.007,0.008,0.005,0.014,0.031,0.024,0.005,0.095,0.012,0.009
ZFENP55,ZFENP,C21,0.015,0.062,0.005,0.006,0.037,0.011,0.006,0.008,0.004,0.039,0.007,0.006,0.003,0.006,0.006,0.006,0.005,0.004,0.241,0.006,0.456,0.012,0.037,0.003,0.008
ZFENP56,ZFENP,C21,0.008,0.011,0.006,0.004,0.05,0.012,0.005,0.004,0.003,0.012,0.006,0.004,0.007,0.004,0.003,0.017,0.008,0.011,0.102,0.004,0.545,0.015,0.145,0.007,0.007
ZFENP57,ZFENP,C21,0.034,0.009,0.002,0.004,0.023,0.015,0.006,0.004,0.004,0.022,0.003,0.004,0.008,0.006,0.003,0.004,0.007,0.009,0.014,0.005,0.603,0.021,0.07,0.005,0.114
ZFENP58,ZFENP,C21,0.005,0.011,0.041,0.006,0.013,0.185,0.01,0.006,0.003,0.029,0.009,0.167,0.019,0.011,0.006,0.006,0.006,0.01,0.02,0.006,0.283,0.052,0.07,0.022,0.005
ZFENP59,ZFENP,C21,0.008,0.01,0.004,0.004,0.007,0.04,0.007,0.01,0.005,0.023,0.005,0.005,0.004,0.004,0.007,0.006,0.004,0.005,0.006,0.005,0.627,0.012,0.093,0.065,0.037
ZFENP60,ZFENP,C21,0.037,0.039,0.019,0.014,0.016,0.008,0.008,0.008,0.008,0.182,0.011,0.013,0.01,0.01,0.007,0.008,0.004,0.005,0.016,0.006,0.37,0.022,0.151,0.01,0.018
ZFENP61,ZFENP,C21,0.009,0.008,0.003,0.003,0.007,0.006,0.004,0.004,0.004,0.033,0.004,0.002,0.003,0.003,0.002,0.004,0.003,0.004,0.006,0.003,0.857,0.009,0.005,0.009,0.005
,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZFFDSP01,ZFFDSP,C9,0.005,0.004,0.013,0.023,0.003,0.004,0.052,0.008,0.069,0.003,0.226,0.166,0.145,0.194,0.005,0.013,0.015,0.013,0.007,0.012,0.003,0.01,0.003,0.004,0.003
ZFFDSP02,ZFFDSP,C9,0.003,0.002,0.004,0.006,0.002,0.003,0.008,0.006,0.893,0.003,0.012,0.005,0.005,0.009,0.003,0.007,0.005,0.003,0.003,0.006,0.002,0.003,0.003,0.003,0.002
ZFFDSP04,ZFFDSP,C9,0.004,0.004,0.01,0.045,0.002,0.003,0.04,0.008,0.159,0.003,0.454,0.108,0.013,0.089,0.006,0.013,0.006,0.003,0.005,0.009,0.003,0.006,0.003,0.003,0.003
ZFFDSP05,ZFFDSP,C9,0.003,0.004,0.012,0.102,0.004,0.004,0.169,0.037,0.326,0.005,0.036,0.026,0.047,0.064,0.017,0.013,0.077,0.006,0.011,0.013,0.005,0.005,0.004,0.005,0.004
ZFFDSP06,ZFFDSP,C9,0.016,0.003,0.015,0.013,0.002,0.003,0.138,0.041,0.203,0.004,0.19,0.078,0.012,0.088,0.061,0.077,0.007,0.003,0.005,0.02,0.002,0.003,0.003,0.01,0.002
ZFFDSP07,ZFFDSP,C9,0.004,0.003,0.034,0.021,0.004,0.059,0.015,0.009,0.442,0.006,0.039,0.168,0.01,0.101,0.01,0.008,0.005,0.004,0.009,0.013,0.005,0.003,0.004,0.016,0.007
ZFFDSP08,ZFFDSP,C9,0.004,0.003,0.135,0.07,0.004,0.03,0.133,0.04,0.062,0.005,0.013,0.154,0.034,0.05,0.037,0.018,0.011,0.008,0.011,0.154,0.005,0.003,0.005,0.008,0.004
ZFFDSP10,ZFFDSP,C9,0.003,0.004,0.01,0.443,0.003,0.011,0.024,0.01,0.307,0.005,0.009,0.022,0.015,0.057,0.006,0.015,0.009,0.004,0.007,0.015,0.004,0.003,0.003,0.005,0.004
ZFFDSP11,ZFFDSP,C9,0.004,0.005,0.008,0.241,0.003,0.003,0.14,0.063,0.063,0.004,0.089,0.038,0.009,0.234,0.015,0.012,0.009,0.003,0.008,0.026,0.003,0.007,0.003,0.004,0.004
ZFFDSP12,ZFFDSP,C9,0.003,0.002,0.038,0.057,0.002,0.004,0.045,0.031,0.055,0.003,0.008,0.011,0.01,0.051,0.057,0.006,0.007,0.003,0.004,0.588,0.003,0.002,0.003,0.003,0.003
ZFFDSP13,ZFFDSP,C9,0.004,0.003,0.005,0.081,0.004,0.007,0.472,0.082,0.012,0.004,0.012,0.014,0.048,0.018,0.007,0.038,0.111,0.016,0.009,0.028,0.006,0.004,0.006,0.007,0.004
ZFFDSP14,ZFFDSP,C9,0.005,0.003,0.022,0.016,0.005,0.016,0.01,0.006,0.63,0.005,0.085,0.028,0.009,0.094,0.006,0.007,0.005,0.003,0.011,0.008,0.005,0.003,0.004,0.008,0.006
ZFFDSP16,ZFFDSP,C9,0.006,0.004,0.004,0.01,0.003,0.004,0.03,0.054,0.03,0.006,0.055,0.004,0.011,0.686,0.011,0.006,0.008,0.011,0.006,0.022,0.007,0.008,0.005,0.007,0.003
ZFFDSP17,ZFFDSP,C9,0.007,0.004,0.01,0.143,0.002,0.004,0.059,0.025,0.084,0.004,0.123,0.012,0.02,0.41,0.011,0.018,0.007,0.005,0.008,0.026,0.004,0.004,0.003,0.005,0.002
ZFFDSP18,ZFFDSP,C9,0.004,0.004,0.01,0.017,0.002,0.003,0.008,0.007,0.703,0.004,0.16,0.009,0.005,0.011,0.009,0.008,0.004,0.004,0.004,0.008,0.003,0.006,0.002,0.005,0.002
ZFFDSP19,ZFFDSP,C9,0.006,0.003,0.018,0.076,0.003,0.004,0.013,0.012,0.237,0.003,0.143,0.006,0.035,0.26,0.02,0.01,0.015,0.081,0.004,0.021,0.004,0.006,0.003,0.015,0.003
ZFFDSP21,ZFFDSP,C9,0.004,0.003,0.007,0.026,0.002,0.004,0.102,0.037,0.118,0.004,0.026,0.008,0.12,0.322,0.006,0.02,0.044,0.045,0.004,0.07,0.003,0.003,0.003,0.015,0.003
ZFFDSP22,ZFFDSP,C9,0.004,0.002,0.166,0.026,0.002,0.004,0.055,0.041,0.207,0.004,0.071,0.044,0.012,0.222,0.04,0.01,0.007,0.004,0.005,0.057,0.003,0.003,0.003,0.005,0.002
ZFFDSP23,ZFFDSP,C9,0.003,0.002,0.053,0.012,0.002,0.003,0.025,0.013,0.582,0.003,0.046,0.017,0.123,0.028,0.01,0.011,0.031,0.008,0.006,0.007,0.002,0.003,0.003,0.004,0.002
ZFFDSP24,ZFFDSP,C9,0.004,0.004,0.006,0.041,0.003,0.005,0.039,0.015,0.658,0.003,0.038,0.012,0.03,0.027,0.005,0.033,0.01,0.009,0.006,0.033,0.003,0.005,0.003,0.004,0.002
ZFFDSP26,ZFFDSP,C9,0.003,0.003,0.018,0.037,0.003,0.004,0.139,0.045,0.456,0.004,0.061,0.033,0.037,0.036,0.016,0.011,0.042,0.007,0.006,0.022,0.003,0.005,0.003,0.005,0.003
ZFFDSP27,ZFFDSP,C9,0.004,0.004,0.007,0.015,0.003,0.004,0.018,0.01,0.767,0.003,0.043,0.011,0.017,0.022,0.01,0.01,0.013,0.006,0.004,0.012,0.003,0.005,0.003,0.004,0.003
ZFFDSP28,ZFFDSP,C9,0.014,0.013,0.006,0.42,0.011,0.012,0.032,0.008,0.334,0.007,0.008,0.012,0.013,0.014,0.007,0.013,0.01,0.004,0.01,0.017,0.003,0.016,0.006,0.005,0.004
ZFFDSP30,ZFFDSP,C9,0.005,0.008,0.005,0.058,0.003,0.005,0.051,0.009,0.016,0.004,0.025,0.392,0.153,0.066,0.005,0.01,0.015,0.039,0.006,0.015,0.004,0.093,0.003,0.004,0.005
ZFFDSP31,ZFFDSP,C9,0.02,0.003,0.007,0.023,0.002,0.006,0.046,0.012,0.411,0.004,0.02,0.01,0.015,0.009,0.218,0.146,0.006,0.006,0.006,0.011,0.004,0.003,0.004,0.006,0.002
ZFFDSP32,ZFFDSP,C9,0.004,0.002,0.005,0.019,0.002,0.004,0.03,0.012,0.18,0.003,0.02,0.006,0.011,0.617,0.005,0.007,0.009,0.004,0.005,0.04,0.003,0.003,0.003,0.003,0.003
ZFFDSP33,ZFFDSP,C9,0.004,0.003,0.01,0.048,0.002,0.003,0.059,0.032,0.2,0.003,0.008,0.014,0.051,0.406,0.019,0.007,0.022,0.007,0.004,0.083,0.003,0.003,0.003,0.003,0.003
ZFFDSP34,ZFFDSP,C9,0.012,0.004,0.01,0.014,0.002,0.004,0.058,0.173,0.143,0.004,0.047,0.181,0.021,0.016,0.12,0.132,0.007,0.005,0.005,0.02,0.003,0.004,0.003,0.009,0.002
ZFFDSP35,ZFFDSP,C9,0.004,0.004,0.007,0.095,0.003,0.004,0.071,0.016,0.538,0.004,0.056,0.046,0.026,0.029,0.006,0.038,0.01,0.005,0.006,0.017,0.003,0.006,0.003,0.004,0.002
ZFFDSP37,ZFFDSP,C9,0.004,0.003,0.004,0.027,0.002,0.004,0.034,0.015,0.635,0.003,0.017,0.005,0.011,0.139,0.006,0.009,0.009,0.004,0.004,0.048,0.003,0.003,0.003,0.003,0.002
ZFFDSP38,ZFFDSP,C9,0.004,0.004,0.005,0.023,0.003,0.004,0.023,0.082,0.661,0.003,0.038,0.055,0.009,0.013,0.017,0.012,0.005,0.005,0.005,0.013,0.003,0.005,0.003,0.003,0.003
ZFFDSP39,ZFFDSP,C9,0.003,0.003,0.007,0.038,0.002,0.003,0.046,0.01,0.669,0.003,0.009,0.009,0.079,0.008,0.009,0.011,0.06,0.006,0.003,0.007,0.003,0.004,0.003,0.003,0.003
ZFFDSP40,ZFFDSP,C9,0.003,0.003,0.004,0.041,0.003,0.003,0.047,0.009,0.766,0.003,0.008,0.008,0.022,0.007,0.007,0.013,0.017,0.005,0.003,0.01,0.003,0.005,0.003,0.002,0.002
ZFFDSP42,ZFFDSP,C9,0.003,0.003,0.017,0.012,0.002,0.003,0.009,0.006,0.844,0.003,0.013,0.008,0.015,0.007,0.008,0.012,0.006,0.005,0.004,0.005,0.002,0.003,0.002,0.004,0.002
ZFFDSP43,ZFFDSP,C9,0.003,0.003,0.006,0.008,0.002,0.003,0.008,0.008,0.88,0.003,0.006,0.006,0.011,0.005,0.008,0.005,0.008,0.005,0.003,0.006,0.002,0.003,0.002,0.003,0.002
ZFFDSP44,ZFFDSP,C9,0.005,0.004,0.005,0.187,0.003,0.004,0.09,0.026,0.149,0.003,0.016,0.02,0.04,0.063,0.008,0.025,0.008,0.008,0.005,0.313,0.003,0.006,0.003,0.003,0.003
ZFFDSP45,ZFFDSP,C9,0.003,0.003,0.003,0.011,0.002,0.004,0.026,0.089,0.719,0.003,0.024,0.03,0.01,0.008,0.011,0.018,0.006,0.004,0.003,0.009,0.003,0.003,0.003,0.003,0.002
ZFFDSP46,ZFFDSP,C9,0.003,0.003,0.004,0.014,0.002,0.003,0.01,0.005,0.884,0.003,0.006,0.004,0.006,0.005,0.004,0.01,0.005,0.004,0.003,0.006,0.003,0.003,0.003,0.003,0.002
ZFFDSP47,ZFFDSP,C9,0.003,0.003,0.013,0.056,0.003,0.005,0.061,0.015,0.231,0.003,0.016,0.039,0.406,0.025,0.009,0.023,0.025,0.01,0.006,0.032,0.003,0.004,0.003,0.003,0.003
ZFFDSP48,ZFFDSP,C9,0.003,0.003,0.004,0.015,0.002,0.004,0.028,0.01,0.782,0.003,0.007,0.006,0.04,0.01,0.005,0.014,0.02,0.008,0.004,0.014,0.003,0.003,0.003,0.003,0.003
,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZFI01,ZFI,C22,0.013,0.062,0.004,0.004,0.041,0.016,0.004,0.003,0.003,0.013,0.004,0.009,0.004,0.006,0.003,0.003,0.003,0.005,0.007,0.003,0.009,0.756,0.007,0.008,0.009
ZFI02,ZFI,C22,0.01,0.08,0.004,0.004,0.018,0.003,0.004,0.004,0.004,0.009,0.005,0.004,0.005,0.004,0.004,0.003,0.003,0.005,0.005,0.005,0.004,0.801,0.004,0.003,0.003
ZFI03,ZFI,C22,0.018,0.079,0.002,0.003,0.006,0.005,0.003,0.003,0.003,0.006,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.004,0.005,0.003,0.006,0.82,0.004,0.004,0.003
ZFI04,ZFI,C22,0.43,0.016,0.003,0.004,0.066,0.004,0.003,0.003,0.003,0.005,0.003,0.004,0.004,0.003,0.003,0.005,0.003,0.005,0.006,0.004,0.006,0.401,0.006,0.005,0.004
ZFI05,ZFI,C22,0.004,0.086,0.003,0.004,0.004,0.006,0.005,0.004,0.004,0.004,0.004,0.003,0.004,0.003,0.004,0.004,0.003,0.007,0.003,0.004,0.007,0.819,0.005,0.003,0.003
ZFI06,ZFI,C22,0.008,0.03,0.003,0.011,0.013,0.005,0.015,0.006,0.012,0.007,0.006,0.005,0.022,0.009,0.004,0.008,0.014,0.029,0.005,0.013,0.017,0.743,0.01,0.003,0.004
ZFI07,ZFI,C22,0.105,0.065,0.002,0.004,0.011,0.006,0.003,0.003,0.003,0.004,0.004,0.004,0.003,0.003,0.003,0.004,0.003,0.004,0.005,0.004,0.008,0.735,0.005,0.004,0.004
ZFI08,ZFI,C22,0.057,0.101,0.003,0.003,0.019,0.005,0.003,0.003,0.003,0.017,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.004,0.008,0.003,0.007,0.73,0.006,0.006,0.003
ZFI09,ZFI,C22,0.007,0.054,0.002,0.003,0.011,0.004,0.003,0.003,0.003,0.005,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.005,0.004,0.003,0.008,0.853,0.005,0.003,0.003
ZFI10,ZFI,C22,0.031,0.083,0.004,0.005,0.016,0.005,0.004,0.005,0.004,0.006,0.006,0.004,0.011,0.005,0.005,0.004,0.004,0.021,0.006,0.005,0.006,0.749,0.006,0.003,0.006
ZFI11,ZFI,C22,0.027,0.044,0.002,0.003,0.057,0.006,0.003,0.003,0.003,0.006,0.003,0.003,0.004,0.003,0.002,0.003,0.003,0.006,0.005,0.003,0.007,0.791,0.004,0.004,0.003
ZFI12,ZFI,C22,0.046,0.066,0.003,0.004,0.006,0.004,0.003,0.003,0.003,0.005,0.004,0.003,0.005,0.003,0.003,0.004,0.003,0.007,0.007,0.003,0.004,0.799,0.004,0.005,0.003
ZFI13,ZFI,C22,0.008,0.087,0.003,0.005,0.01,0.02,0.003,0.003,0.003,0.007,0.004,0.008,0.004,0.005,0.002,0.004,0.003,0.004,0.006,0.003,0.011,0.778,0.006,0.005,0.01
ZFI14,ZFI,C22,0.006,0.094,0.003,0.009,0.005,0.004,0.01,0.009,0.011,0.005,0.01,0.011,0.009,0.011,0.005,0.006,0.006,0.004,0.003,0.015,0.005,0.744,0.003,0.004,0.007
ZFI15,ZFI,C22,0.006,0.093,0.002,0.003,0.005,0.006,0.003,0.003,0.003,0.005,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.004,0.003,0.003,0.006,0.824,0.004,0.003,0.003
ZFI16,ZFI,C22,0.007,0.086,0.002,0.003,0.003,0.003,0.003,0.002,0.003,0.004,0.003,0.003,0.003,0.003,0.003,0.004,0.002,0.004,0.003,0.002,0.004,0.842,0.003,0.003,0.002
ZFI17,ZFI,C22,0.02,0.088,0.002,0.004,0.012,0.004,0.003,0.003,0.003,0.004,0.003,0.003,0.004,0.003,0.003,0.004,0.003,0.006,0.005,0.003,0.008,0.796,0.006,0.003,0.006
ZFI18,ZFI,C22,0.008,0.092,0.002,0.003,0.011,0.004,0.003,0.002,0.002,0.005,0.003,0.003,0.003,0.002,0.002,0.003,0.002,0.004,0.003,0.002,0.011,0.813,0.005,0.003,0.008
ZFI19,ZFI,C22,0.009,0.161,0.002,0.003,0.007,0.005,0.003,0.003,0.003,0.006,0.003,0.003,0.004,0.003,0.002,0.003,0.003,0.004,0.005,0.003,0.007,0.75,0.004,0.003,0.003
ZFI20,ZFI,C22,0.006,0.097,0.003,0.007,0.004,0.003,0.006,0.006,0.008,0.011,0.005,0.008,0.007,0.008,0.004,0.006,0.006,0.003,0.004,0.008,0.004,0.774,0.004,0.003,0.007
ZFI21,ZFI,C22,0.004,0.206,0.003,0.009,0.003,0.004,0.011,0.008,0.011,0.008,0.009,0.019,0.016,0.016,0.003,0.006,0.009,0.005,0.007,0.017,0.004,0.611,0.004,0.003,0.005
ZFI22,ZFI,C22,0.033,0.401,0.004,0.006,0.044,0.005,0.006,0.006,0.006,0.028,0.014,0.005,0.004,0.005,0.005,0.005,0.003,0.004,0.008,0.005,0.006,0.378,0.007,0.009,0.003
ZFI23,ZFI,C22,0.017,0.084,0.002,0.003,0.006,0.004,0.003,0.003,0.003,0.004,0.004,0.003,0.004,0.003,0.003,0.003,0.003,0.004,0.004,0.003,0.005,0.822,0.004,0.004,0.003
ZFI24,ZFI,C22,0.021,0.071,0.003,0.003,0.005,0.005,0.003,0.003,0.003,0.006,0.005,0.004,0.004,0.004,0.003,0.004,0.003,0.005,0.005,0.004,0.005,0.82,0.004,0.005,0.002
ZFI25,ZFI,C22,0.039,0.094,0.004,0.005,0.005,0.004,0.004,0.004,0.005,0.008,0.007,0.004,0.004,0.004,0.004,0.004,0.003,0.004,0.005,0.004,0.005,0.767,0.004,0.007,0.002
ZFI26,ZFI,C22,0.018,0.076,0.002,0.003,0.006,0.006,0.003,0.003,0.003,0.005,0.004,0.003,0.003,0.003,0.003,0.004,0.003,0.004,0.005,0.003,0.007,0.82,0.004,0.006,0.003
ZFI27,ZFI,C22,0.011,0.069,0.003,0.004,0.005,0.008,0.004,0.003,0.003,0.004,0.004,0.004,0.007,0.004,0.003,0.004,0.004,0.01,0.007,0.004,0.006,0.82,0.004,0.004,0.002
ZFK01,ZFI,C22,0.003,0.003,0.004,0.004,0.003,0.911,0.004,0.004,0.003,0.003,0.003,0.004,0.004,0.003,0.003,0.005,0.003,0.007,0.004,0.004,0.003,0.003,0.003,0.005,0.003
,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZFK02,ZFK,C6,0.003,0.003,0.004,0.004,0.003,0.91,0.004,0.004,0.003,0.003,0.004,0.004,0.004,0.003,0.004,0.006,0.004,0.007,0.004,0.005,0.004,0.003,0.003,0.005,0.002
ZFK03,ZFK,C6,0.003,0.003,0.003,0.003,0.003,0.917,0.004,0.004,0.003,0.003,0.004,0.003,0.003,0.003,0.004,0.004,0.003,0.005,0.003,0.004,0.004,0.003,0.003,0.005,0.003
ZFK04,ZFK,C6,0.003,0.004,0.003,0.003,0.006,0.921,0.003,0.003,0.002,0.003,0.003,0.003,0.003,0.003,0.003,0.004,0.003,0.004,0.003,0.003,0.004,0.004,0.003,0.004,0.003
ZFK05,ZFK,C6,0.006,0.005,0.002,0.003,0.007,0.907,0.003,0.003,0.002,0.004,0.003,0.003,0.002,0.003,0.003,0.003,0.003,0.004,0.003,0.003,0.004,0.005,0.004,0.009,0.006
ZFK06,ZFK,C6,0.006,0.006,0.003,0.003,0.005,0.903,0.004,0.003,0.003,0.004,0.003,0.004,0.003,0.003,0.003,0.003,0.003,0.004,0.004,0.004,0.006,0.007,0.004,0.007,0.003
ZFK07,ZFK,C6,0.003,0.002,0.006,0.005,0.003,0.903,0.005,0.004,0.003,0.003,0.004,0.005,0.005,0.004,0.003,0.006,0.004,0.005,0.005,0.003,0.003,0.003,0.004,0.006,0.004
ZFK08,ZFK,C6,0.004,0.003,0.003,0.004,0.005,0.907,0.004,0.003,0.003,0.004,0.004,0.005,0.004,0.004,0.003,0.004,0.003,0.002,0.006,0.003,0.004,0.004,0.004,0.004,0.003
ZFK10,ZFK,C6,0.004,0.004,0.003,0.003,0.005,0.916,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.004,0.003,0.004,0.004,0.004,0.004,0.005,0.003,0.004,0.003
ZFK11,ZFK,C6,0.006,0.004,0.003,0.003,0.005,0.903,0.004,0.004,0.003,0.004,0.003,0.004,0.003,0.003,0.003,0.004,0.003,0.004,0.004,0.004,0.005,0.005,0.004,0.008,0.005
ZFK12,ZFK,C6,0.002,0.002,0.009,0.006,0.003,0.853,0.011,0.006,0.004,0.004,0.006,0.019,0.009,0.006,0.004,0.011,0.005,0.004,0.013,0.004,0.004,0.003,0.004,0.006,0.004
ZFK13,ZFK,C6,0.003,0.003,0.006,0.01,0.003,0.79,0.018,0.014,0.009,0.003,0.008,0.037,0.012,0.013,0.005,0.011,0.009,0.004,0.006,0.013,0.003,0.003,0.004,0.005,0.01
ZFK14,ZFK,C6,0.005,0.005,0.019,0.014,0.005,0.631,0.015,0.012,0.007,0.005,0.012,0.057,0.015,0.017,0.008,0.018,0.008,0.01,0.008,0.016,0.005,0.005,0.004,0.087,0.011
ZFK15,ZFK,C6,0.003,0.004,0.003,0.008,0.003,0.84,0.01,0.012,0.008,0.003,0.006,0.014,0.007,0.011,0.005,0.007,0.007,0.003,0.003,0.017,0.003,0.003,0.004,0.004,0.009
ZFK16,ZFK,C6,0.003,0.002,0.006,0.006,0.003,0.872,0.01,0.007,0.004,0.003,0.005,0.012,0.006,0.005,0.006,0.007,0.004,0.005,0.006,0.006,0.003,0.003,0.004,0.007,0.004
,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZFLB01,ZFLB,C25,0.006,0.006,0.005,0.03,0.006,0.01,0.01,0.009,0.021,0.004,0.007,0.019,0.013,0.011,0.006,0.019,0.01,0.005,0.006,0.012,0.006,0.007,0.007,0.003,0.764
ZFLB02,ZFLB,C25,0.027,0.011,0.003,0.007,0.004,0.003,0.003,0.003,0.005,0.007,0.002,0.005,0.005,0.003,0.002,0.005,0.003,0.004,0.005,0.003,0.031,0.007,0.013,0.002,0.836
ZFLB03,ZFLB,C25,0.007,0.004,0.004,0.004,0.004,0.01,0.006,0.006,0.003,0.006,0.004,0.006,0.01,0.005,0.005,0.004,0.006,0.038,0.007,0.007,0.032,0.007,0.015,0.005,0.796
ZFLB04,ZFLB,C25,0.011,0.01,0.006,0.011,0.008,0.01,0.009,0.009,0.008,0.005,0.006,0.029,0.056,0.01,0.008,0.009,0.007,0.129,0.006,0.018,0.005,0.049,0.009,0.007,0.566
ZFLB05,ZFLB,C25,0.007,0.011,0.004,0.017,0.018,0.012,0.007,0.006,0.009,0.005,0.006,0.01,0.014,0.007,0.006,0.016,0.008,0.009,0.005,0.006,0.006,0.012,0.008,0.003,0.788
ZFLB06,ZFLB,C25,0.006,0.005,0.006,0.009,0.013,0.057,0.012,0.012,0.006,0.006,0.007,0.011,0.005,0.008,0.013,0.009,0.007,0.005,0.008,0.014,0.009,0.005,0.011,0.007,0.749
ZFLB07,ZFLB,C25,0.011,0.006,0.008,0.009,0.014,0.049,0.021,0.019,0.006,0.013,0.008,0.015,0.024,0.01,0.011,0.011,0.018,0.035,0.042,0.021,0.075,0.019,0.088,0.006,0.459
ZFLB08,ZFLB,C25,0.043,0.015,0.003,0.01,0.009,0.01,0.005,0.004,0.006,0.009,0.004,0.006,0.008,0.005,0.004,0.009,0.006,0.008,0.009,0.004,0.023,0.014,0.027,0.005,0.754
ZFLB09,ZFLB,C25,0.016,0.014,0.004,0.007,0.022,0.028,0.007,0.008,0.006,0.007,0.005,0.007,0.006,0.009,0.006,0.005,0.008,0.006,0.009,0.009,0.009,0.01,0.016,0.011,0.765
ZFLB10,ZFLB,C25,0.008,0.008,0.003,0.005,0.016,0.011,0.005,0.005,0.004,0.005,0.004,0.005,0.006,0.006,0.004,0.004,0.006,0.008,0.005,0.006,0.006,0.009,0.008,0.005,0.849
