,,,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25
ZFBP206,ZFBP2,C14,0.005,0.002,0.009,0.007,0.003,0.011,0.006,0.007,0.01,0.003,0.032,0.073,0.007,0.769,0.004,0.006,0.005,0.004,0.007,0.01,0.003,0.003,0.003,0.005,0.004
ZFBP207,ZFBP2,C14,0.006,0.004,0.008,0.009,0.003,0.008,0.032,0.014,0.013,0.009,0.009,0.017,0.228,0.054,0.441,0.008,0.032,0.052,0.006,0.014,0.005,0.006,0.004,0.015,0.005
ZFBP208,ZFBP2,C14,0.003,0.002,0.004,0.009,0.004,0.007,0.007,0.008,0.005,0.003,0.006,0.016,0.005,0.865,0.004,0.004,0.006,0.003,0.007,0.012,0.004,0.002,0.004,0.003,0.005
ZFBP209,ZFBP2,C14,0.003,0.002,0.081,0.036,0.002,0.003,0.03,0.047,0.079,0.004,0.213,0.033,0.007,0.181,0.011,0.008,0.004,0.003,0.005,0.228,0.002,0.002,0.002,0.011,0.002
ZFBP210,ZFBP2,C14,0.003,0.003,0.006,0.006,0.003,0.004,0.009,0.01,0.005,0.003,0.009,0.017,0.009,0.848,0.006,0.004,0.006,0.007,0.006,0.017,0.004,0.004,0.003,0.004,0.005
ZFBP211,ZFBP2,C14,0.008,0.006,0.005,0.053,0.004,0.007,0.072,0.373,0.014,0.003,0.013,0.035,0.014,0.028,0.105,0.015,0.006,0.009,0.005,0.202,0.004,0.01,0.004,0.004,0.003
ZFBP212,ZFBP2,C14,0.005,0.005,0.006,0.063,0.003,0.003,0.055,0.043,0.044,0.003,0.006,0.015,0.205,0.138,0.025,0.008,0.024,0.038,0.004,0.287,0.003,0.009,0.003,0.002,0.003
ZFBP213,ZFBP2,C14,0.01,0.004,0.007,0.017,0.005,0.024,0.012,0.014,0.016,0.004,0.162,0.014,0.008,0.604,0.01,0.009,0.006,0.009,0.01,0.03,0.006,0.006,0.005,0.007,0.004
ZFBP214,ZFBP2,C14,0.007,0.003,0.017,0.006,0.003,0.012,0.011,0.01,0.007,0.007,0.26,0.032,0.026,0.484,0.009,0.01,0.008,0.019,0.019,0.008,0.006,0.007,0.006,0.019,0.004
ZFBP215,ZFBP2,C14,0.006,0.003,0.012,0.007,0.003,0.005,0.037,0.076,0.118,0.004,0.069,0.015,0.009,0.326,0.013,0.009,0.006,0.006,0.004,0.255,0.003,0.004,0.003,0.006,0.003
ZFBP216,ZFBP2,C14,0.005,0.003,0.006,0.065,0.005,0.005,0.247,0.131,0.013,0.004,0.035,0.026,0.011,0.284,0.022,0.01,0.033,0.005,0.017,0.042,0.007,0.007,0.006,0.004,0.005
ZFBP217,ZFBP2,C14,0.004,0.003,0.038,0.015,0.002,0.003,0.018,0.021,0.008,0.004,0.286,0.012,0.016,0.455,0.013,0.005,0.017,0.018,0.01,0.029,0.004,0.005,0.005,0.005,0.003
ZFBP218,ZFBP2,C14,0.012,0.002,0.012,0.034,0.003,0.002,0.083,0.033,0.032,0.003,0.017,0.012,0.012,0.495,0.182,0.01,0.016,0.003,0.005,0.015,0.003,0.002,0.003,0.003,0.003
ZFBP219,ZFBP2,C14,0.003,0.002,0.004,0.042,0.004,0.004,0.124,0.027,0.261,0.003,0.019,0.006,0.007,0.412,0.006,0.004,0.011,0.003,0.008,0.031,0.004,0.003,0.005,0.003,0.004
ZFBP220,ZFBP2,C14,0.003,0.003,0.045,0.149,0.003,0.007,0.26,0.139,0.025,0.004,0.014,0.013,0.014,0.129,0.013,0.028,0.018,0.015,0.007,0.079,0.004,0.003,0.003,0.018,0.003
ZFBP221,ZFBP2,C14,0.012,0.003,0.007,0.093,0.003,0.002,0.178,0.024,0.029,0.003,0.01,0.048,0.137,0.138,0.156,0.02,0.085,0.009,0.006,0.019,0.003,0.006,0.003,0.004,0.004
ZFBP222,ZFBP2,C14,0.004,0.003,0.005,0.017,0.004,0.004,0.009,0.033,0.02,0.004,0.055,0.007,0.003,0.779,0.006,0.004,0.004,0.003,0.005,0.011,0.003,0.003,0.003,0.005,0.004
ZFBP223,ZFBP2,C14,0.007,0.007,0.009,0.025,0.004,0.008,0.038,0.08,0.017,0.008,0.011,0.024,0.175,0.232,0.044,0.009,0.018,0.157,0.006,0.081,0.007,0.012,0.006,0.01,0.005
ZFBP224,ZFBP2,C14,0.007,0.003,0.004,0.024,0.004,0.011,0.019,0.008,0.018,0.004,0.017,0.007,0.007,0.799,0.006,0.008,0.008,0.005,0.006,0.016,0.005,0.004,0.004,0.004,0.004
ZFBP225,ZFBP2,C14,0.003,0.003,0.169,0.227,0.004,0.008,0.04,0.049,0.023,0.005,0.014,0.017,0.016,0.148,0.015,0.011,0.162,0.022,0.01,0.022,0.004,0.003,0.005,0.012,0.008
ZFBP226,ZFBP2,C14,0.003,0.003,0.004,0.018,0.005,0.004,0.088,0.088,0.007,0.004,0.006,0.006,0.006,0.1,0.011,0.004,0.01,0.004,0.007,0.6,0.006,0.003,0.005,0.003,0.005
