Ind,Population,C1,C2,C3,C4
QAc-G-0293,CBG,0.986,0.003,0.008,0.003
QAc-G-0294,CBG,0.004,0.977,0.007,0.012
QAc-G-0295,CBG,0.016,0.967,0.012,0.005
QAc-G-0296,CBG,0.007,0.984,0.004,0.005
QAc-G-0297,CBG,0.004,0.431,0.006,0.56
QAc-G-0298,CBG,0.004,0.985,0.006,0.005
QAc-G-0299,CBG,0.009,0.98,0.005,0.006
QAc-G-0300,CBG,0.004,0.985,0.003,0.007
QAc-G-0301,CBG,0.012,0.973,0.006,0.009
QAc-G-0302,CBG,0.007,0.012,0.005,0.976
QAc-G-0303,CBG,0.007,0.005,0.004,0.985
QAc-G-0304,CBG,0.988,0.004,0.004,0.003
QAc-G-0305,CBG,0.805,0.008,0.111,0.076
QAc-G-0306,CBG,0.99,0.003,0.004,0.003
QAc-G-0307,CBG,0.019,0.015,0.902,0.064
QAc-G-0308,CBG,0.016,0.015,0.961,0.008
QAc-G-0309,CBG,0.006,0.005,0.984,0.006
QAc-G-0310,CBG,0.005,0.005,0.986,0.004
QAc-G-0311,CBG,0.003,0.003,0.992,0.003
QAc-G-0312,CBG,0.007,0.158,0.543,0.292
QAc-G-0313,CBG,0.043,0.026,0.021,0.91
QAc-G-0314,CBG,0.006,0.197,0.019,0.778
QAc-G-0315,CBG,0.021,0.019,0.007,0.953
QAc-G-0316,CBG,0.018,0.01,0.068,0.904
QAc-G-0032,DBG,0.007,0.009,0.006,0.978
QAc-G-0033,DBG,0.005,0.983,0.006,0.006
QAc-G-0034,DBG,0.005,0.956,0.027,0.012
QAc-G-0035,DBG,0.007,0.98,0.005,0.008
QAc-G-0036,DBG,0.02,0.965,0.006,0.008
QAc-G-0037,DBG,0.014,0.969,0.013,0.004
QAc-G-0038,DBG,0.003,0.99,0.002,0.005
QAc-G-0039,DBG,0.006,0.95,0.027,0.017
QAc-G-0040,DBG,0.055,0.914,0.007,0.024
QAc-G-0041,DBG,0.007,0.977,0.004,0.012
QAc-G-0042,DBG,0.007,0.983,0.004,0.006
QAc-G-0043,DBG,0.006,0.981,0.009,0.004
QAc-G-0044,DBG,0.01,0.973,0.004,0.012
QAc-G-0045,DBG,0.007,0.959,0.028,0.007
QAc-G-0046,DBG,0.003,0.961,0.026,0.009
QAc-G-0047,DBG,0.006,0.948,0.033,0.013
QAc-G-0048,DBG,0.005,0.986,0.003,0.006
QAc-G-0049,DBG,0.006,0.003,0.988,0.003
QAc-G-0050,DBG,0.056,0.006,0.129,0.809
QAc-G-0051,DBG,0.005,0.003,0.989,0.003
QAc-G-0052,DBG,0.004,0.013,0.972,0.012
QAc-G-0053,DBG,0.01,0.014,0.972,0.004
QAc-G-0054,DBG,0.005,0.016,0.398,0.581
QAc-G-0055,DBG,0.006,0.015,0.605,0.374
QAc-G-0056,DBG,0.025,0.016,0.042,0.918
QAc-G-0057,DBG,0.005,0.004,0.987,0.004
QAc-G-0058,DBG,0.004,0.003,0.989,0.004
QAc-G-0059,DBG,0.003,0.097,0.678,0.222
QAc-G-0060,DBG,0.013,0.013,0.962,0.011
QAc-G-0276,FGT,0.942,0.025,0.025,0.008
QAc-G-0279,FGT,0.985,0.004,0.008,0.003
QAc-G-0280,FGT,0.981,0.01,0.004,0.005
QAc-G-0281,FGT,0.007,0.004,0.985,0.004
QAc-G-0018,HBG,0.007,0.933,0.038,0.022
QAc-G-0019,HBG,0.013,0.975,0.004,0.008
QAc-G-0020,HBG,0.003,0.984,0.006,0.008
QAc-G-0021,HBG,0.004,0.983,0.008,0.005
QAc-G-0022,HBG,0.01,0.834,0.024,0.132
QAc-G-0023,HBG,0.004,0.004,0.988,0.004
QAc-G-0024,HBG,0.003,0.008,0.985,0.004
QAc-G-0016,HBG,0.016,0.017,0.237,0.73
QAc-G-0017,HBG,0.008,0.007,0.004,0.981
QAc-G-0250,Meis,0.556,0.067,0.037,0.34
QAc-G-0003,MBG,0.984,0.005,0.005,0.005
QAc-G-0004,MBG,0.005,0.034,0.009,0.952
QAc-G-0005,MBG,0.006,0.012,0.007,0.975
QAc-G-0006,MBG,0.006,0.011,0.005,0.978
QAc-G-0283,Moore,0.008,0.008,0.005,0.979
QAc-G-0265,MA,0.044,0.333,0.46,0.162
QAc-G-0266,MA,0.006,0.003,0.989,0.003
QAc-G-0267,MA,0.173,0.642,0.012,0.173
QAc-G-0268,MA,0.562,0.008,0.016,0.414
QAc-G-0269,MA,0.986,0.005,0.005,0.003
QAc-G-0270,MA,0.007,0.983,0.005,0.006
QAc-G-0271,MA,0.005,0.934,0.004,0.058
QAc-G-0272,MA,0.02,0.966,0.007,0.007
QAc-G-0273,MA,0.005,0.005,0.984,0.006
QAc-G-0274,MA,0.004,0.058,0.004,0.934
QAc-G-0251,Peckerwood,0.005,0.975,0.006,0.014
QAc-G-0252,Peckerwood,0.006,0.972,0.005,0.017
QAc-G-0253,Peckerwood,0.006,0.005,0.986,0.004
QAc-G-0254,Peckerwood,0.003,0.003,0.991,0.003
QAc-G-0255,Peckerwood,0.004,0.01,0.005,0.98
QAc-G-0256,Peckerwood,0.022,0.009,0.008,0.961
QAc-G-0257,Peckerwood,0.003,0.005,0.005,0.986
QAc-G-0258,Peckerwood,0.004,0.006,0.003,0.987
QAc-G-0259,Peckerwood,0.003,0.016,0.003,0.978
QAc-G-0260,Peckerwood,0.038,0.014,0.009,0.939
QAc-G-0261,Peckerwood,0.006,0.008,0.006,0.981
QAc-G-0262,Peckerwood,0.013,0.006,0.007,0.975
QAc-G-0010,TMA,0.927,0.037,0.022,0.014
QAc-G-0011,TMA,0.007,0.016,0.008,0.97
QAc-G-0015,TMA,0.008,0.025,0.89,0.077
QAc-G-0106,TMA,0.004,0.005,0.004,0.988
QAc-G-0107,TMA,0.011,0.006,0.009,0.975
QAc-G-0108,TMA,0.006,0.013,0.004,0.977
QAc-G-0109,TMA,0.006,0.008,0.007,0.979
QAc-G-0110,TMA,0.055,0.073,0.008,0.864
QAc-G-0111,TMA,0.013,0.01,0.005,0.972
QAc-G-0112,TMA,0.04,0.007,0.011,0.942
QAc-G-0113,TMA,0.011,0.008,0.014,0.967
QAc-G-0114,TMA,0.022,0.064,0.014,0.899
QAc-G-0115,TMA,0.006,0.005,0.004,0.985
QAc-G-0116,TMA,0.011,0.006,0.008,0.975
QAc-G-0117,TMA,0.011,0.135,0.013,0.841
QAc-G-0118,TMA,0.005,0.012,0.003,0.98
QAc-G-0119,TMA,0.003,0.011,0.007,0.979
QAc-G-0120,TMA,0.007,0.016,0.007,0.97
QAc-G-0121,TMA,0.005,0.02,0.004,0.971
QAc-G-0122,TMA,0.043,0.011,0.005,0.94
QAc-G-0123,TMA,0.003,0.056,0.004,0.937
QAc-G-0124,TMA,0.005,0.028,0.008,0.959
QAc-G-0125,TMA,0.038,0.011,0.032,0.918
QAc-G-0126,TMA,0.006,0.01,0.018,0.966
QAc-G-0127,TMA,0.005,0.016,0.006,0.973
QAc-G-0128,TMA,0.024,0.02,0.009,0.947
QAc-G-0129,TMA,0.008,0.021,0.004,0.967
QAc-G-0130,TMA,0.005,0.008,0.003,0.984
QAc-G-0131,TMA,0.006,0.021,0.006,0.967
QAc-G-0132,TMA,0.009,0.016,0.007,0.968
QAc-G-0133,TMA,0.01,0.064,0.006,0.919
QAc-G-0134,TMA,0.007,0.018,0.009,0.966
QAc-G-0135,TMA,0.006,0.011,0.011,0.972
QAc-G-0136,TMA,0.013,0.007,0.006,0.973
QAc-G-0137,TMA,0.006,0.014,0.004,0.975
QAc-G-0138,TMA,0.005,0.003,0.007,0.984
QAc-G-0139,TMA,0.005,0.01,0.003,0.983
QAc-G-0140,TMA,0.01,0.023,0.007,0.959
QAc-G-0141,TMA,0.025,0.032,0.023,0.92
QAc-G-0142,TMA,0.004,0.015,0.003,0.977
QAc-G-0143,TMA,0.011,0.036,0.013,0.94
QAc-G-0144,TMA,0.006,0.008,0.009,0.977
QAc-G-0145,TMA,0.989,0.004,0.004,0.003
QAc-G-0146,TMA,0.01,0.069,0.007,0.915
QAc-G-0147,TMA,0.009,0.016,0.006,0.969
QAc-G-0148,TMA,0.008,0.016,0.007,0.969
QAc-G-0149,TMA,0.005,0.018,0.004,0.972
QAc-G-0150,TMA,0.987,0.004,0.005,0.004
QAc-G-0151,TMA,0.01,0.018,0.005,0.966
QAc-G-0152,TMA,0.006,0.078,0.014,0.903
QAc-G-0153,TMA,0.008,0.013,0.003,0.976
QAc-G-0154,TMA,0.012,0.053,0.005,0.931
QAc-G-0155,TMA,0.009,0.114,0.004,0.873
QAc-G-0158,TMA,0.007,0.006,0.008,0.979
QAc-G-0159,TMA,0.011,0.009,0.006,0.974
QAc-G-0160,TMA,0.991,0.003,0.003,0.003
QAc-G-0161,TMA,0.99,0.004,0.003,0.003
QAc-G-0162,TMA,0.682,0.292,0.008,0.018
QAc-G-0163,TMA,0.95,0.036,0.003,0.011
QAc-G-0164,TMA,0.98,0.004,0.009,0.007
QAc-G-0165,TMA,0.984,0.007,0.004,0.006
QAc-G-0166,TMA,0.986,0.006,0.004,0.004
QAc-G-0167,TMA,0.984,0.006,0.005,0.005
QAc-G-0168,TMA,0.989,0.003,0.005,0.003
QAc-G-0169,TMA,0.472,0.017,0.006,0.505
QAc-G-0170,TMA,0.985,0.006,0.004,0.005
QAc-G-0171,TMA,0.988,0.005,0.004,0.004
QAc-G-0172,TMA,0.031,0.011,0.008,0.95
QAc-G-0173,TMA,0.986,0.003,0.007,0.003
QAc-G-0174,TMA,0.912,0.031,0.007,0.049
QAc-G-0175,TMA,0.988,0.004,0.005,0.003
QAc-G-0176,TMA,0.815,0.168,0.01,0.007
QAc-G-0177,TMA,0.987,0.004,0.005,0.003
QAc-G-0178,TMA,0.949,0.006,0.027,0.018
QAc-G-0179,TMA,0.989,0.004,0.004,0.003
QAc-G-0180,TMA,0.99,0.004,0.003,0.003
QAc-G-0181,TMA,0.983,0.01,0.003,0.005
QAc-G-0182,TMA,0.945,0.021,0.004,0.03
QAc-G-0183,TMA,0.986,0.004,0.005,0.005
QAc-G-0184,TMA,0.989,0.004,0.003,0.003
QAc-G-0185,TMA,0.971,0.01,0.006,0.012
QAc-G-0186,TMA,0.982,0.011,0.003,0.004
QAc-G-0187,TMA,0.947,0.015,0.029,0.009
QAc-G-0188,TMA,0.254,0.045,0.004,0.697
QAc-G-0189,TMA,0.989,0.003,0.005,0.003
QAc-G-0190,TMA,0.986,0.005,0.005,0.004
QAc-G-0191,TMA,0.986,0.005,0.005,0.004
QAc-G-0192,TMA,0.99,0.003,0.004,0.003
QAc-G-0193,TMA,0.986,0.006,0.004,0.004
QAc-G-0194,TMA,0.982,0.008,0.006,0.005
QAc-G-0195,TMA,0.894,0.011,0.089,0.006
QAc-G-0196,TMA,0.986,0.005,0.006,0.003
QAc-G-0197,TMA,0.99,0.003,0.004,0.003
QAc-G-0198,TMA,0.988,0.005,0.004,0.004
QAc-G-0199,TMA,0.922,0.037,0.015,0.026
QAc-G-0200,TMA,0.982,0.01,0.004,0.004
QAc-G-0201,TMA,0.989,0.004,0.003,0.003
QAc-G-0202,TMA,0.983,0.005,0.008,0.004
QAc-G-0203,TMA,0.973,0.005,0.016,0.007
QAc-G-0204,TMA,0.984,0.007,0.005,0.003
QAc-G-0205,TMA,0.004,0.003,0.99,0.003
QAc-G-0206,TMA,0.004,0.038,0.872,0.087
QAc-G-0207,TMA,0.007,0.007,0.978,0.008
QAc-G-0208,TMA,0.004,0.003,0.989,0.003
QAc-G-0209,TMA,0.007,0.004,0.985,0.004
QAc-G-0210,TMA,0.003,0.003,0.99,0.004
QAc-G-0211,TMA,0.003,0.003,0.99,0.004
QAc-G-0212,TMA,0.005,0.004,0.988,0.003
QAc-G-0213,TMA,0.005,0.007,0.984,0.004
QAc-G-0214,TMA,0.005,0.004,0.989,0.003
QAc-G-0215,TMA,0.004,0.004,0.988,0.004
QAc-G-0216,TMA,0.128,0.042,0.319,0.51
QAc-G-0217,TMA,0.006,0.006,0.979,0.009
QAc-G-0218,TMA,0.005,0.008,0.982,0.005
QAc-G-0219,TMA,0.01,0.023,0.945,0.022
QAc-G-0220,TMA,0.004,0.006,0.976,0.014
QAc-G-0221,TMA,0.01,0.013,0.959,0.018
QAc-G-0222,TMA,0.005,0.004,0.987,0.003
QAc-G-0223,TMA,0.003,0.006,0.986,0.005
QAc-G-0224,TMA,0.006,0.003,0.987,0.004
QAc-G-0226,TMA,0.004,0.005,0.988,0.004
QAc-G-0227,TMA,0.006,0.982,0.005,0.007
QAc-G-0228,TMA,0.006,0.981,0.008,0.005
QAc-G-0229,TMA,0.008,0.971,0.009,0.013
QAc-G-0230,TMA,0.007,0.967,0.017,0.008
QAc-G-0231,TMA,0.006,0.004,0.986,0.004
QAc-G-0232,TMA,0.003,0.986,0.004,0.007
QAc-G-0233,TMA,0.005,0.87,0.036,0.089
QAc-G-0234,TMA,0.021,0.965,0.006,0.008
QAc-G-0235,TMA,0.009,0.009,0.008,0.974
QAc-G-0236,TMA,0.007,0.982,0.005,0.006
QAc-G-0237,TMA,0.014,0.956,0.016,0.013
QAc-G-0238,TMA,0.007,0.98,0.009,0.005
QAc-G-0239,TMA,0.005,0.983,0.005,0.006
QAc-G-0240,TMA,0.004,0.985,0.003,0.008
QAc-G-0241,TMA,0.018,0.936,0.011,0.034
QAc-G-0242,TMA,0.005,0.978,0.009,0.009
QAc-G-0243,TMA,0.004,0.847,0.018,0.131
QAc-G-0244,TMA,0.007,0.972,0.008,0.013
QAc-G-0245,TMA,0.007,0.984,0.004,0.006
QAc-G-0246,TMA,0.008,0.98,0.005,0.007
QAc-G-0247,TMA,0.003,0.987,0.005,0.005
QAc-G-0248,TMA,0.003,0.989,0.003,0.004
QAc-G-0249,TTA,0.041,0.018,0.024,0.916
QAc-G-0025,USNA,0.005,0.005,0.987,0.003
QAc-G-0028,USNA,0.007,0.961,0.024,0.009
QAc-G-0275,UWBG,0.013,0.005,0.978,0.004
QAc-G-0263,ZBGP,0.376,0.005,0.031,0.588
QAc-W-0001,Porter,0.004,0.978,0.005,0.013
QAc-W-0002,Porter,0.021,0.958,0.005,0.016
QAc-W-0003,Porter,0.03,0.901,0.045,0.024
QAc-W-0004,Porter,0.006,0.979,0.01,0.005
QAc-W-0005,Porter,0.011,0.975,0.005,0.009
QAc-W-0006,Porter,0.006,0.979,0.006,0.009
QAc-W-0007,Porter,0.004,0.984,0.006,0.006
QAc-W-0008,Porter,0.005,0.974,0.003,0.018
QAc-W-0009,Porter,0.011,0.917,0.007,0.065
QAc-W-0010,Porter,0.018,0.878,0.007,0.098
QAc-W-0011,Porter,0.062,0.913,0.007,0.018
QAc-W-0012,Porter,0.012,0.975,0.005,0.007
QAc-W-0013,Porter,0.009,0.857,0.122,0.012
QAc-W-0014,Porter,0.005,0.984,0.005,0.007
QAc-W-0015,Porter,0.027,0.923,0.032,0.018
QAc-W-0016,Porter,0.016,0.863,0.017,0.103
QAc-W-0017,Porter,0.106,0.206,0.036,0.652
QAc-W-0018,Porter,0.004,0.865,0.027,0.104
QAc-W-0019,Porter,0.006,0.978,0.007,0.008
QAc-W-0020,Porter,0.005,0.975,0.004,0.016
QAc-W-0021,Porter,0.013,0.52,0.317,0.15
QAc-W-0022,Porter,0.028,0.657,0.034,0.281
QAc-W-0023,Porter,0.004,0.563,0.038,0.395
QAc-W-0024,Porter,0.033,0.692,0.241,0.034
QAc-W-0025,Porter,0.005,0.985,0.005,0.005
QAc-W-0026,Porter,0.064,0.828,0.031,0.078
QAc-W-0027,Porter,0.007,0.98,0.004,0.009
QAc-W-0028,Porter,0.006,0.983,0.003,0.007
QAc-W-0029,Porter,0.004,0.981,0.007,0.009
QAc-W-0030,Porter,0.011,0.979,0.005,0.006
QAc-W-0031,Porter,0.005,0.924,0.065,0.007
QAc-W-0032,Porter,0.003,0.987,0.005,0.006
QAc-W-0033,Porter,0.007,0.923,0.012,0.058
QAc-W-0034,Porter,0.005,0.977,0.005,0.013
QAc-W-0035,Porter,0.037,0.917,0.023,0.024
QAc-W-0036,Porter,0.004,0.979,0.004,0.013
QAc-W-0037,Porter,0.017,0.963,0.011,0.009
QAc-W-0038,Porter,0.018,0.961,0.006,0.015
QAc-W-0039,Porter,0.016,0.963,0.011,0.01
QAc-W-0040,Porter,0.011,0.854,0.012,0.123
QAc-W-0041,Porter,0.013,0.905,0.061,0.021
QAc-W-0042,Magazine,0.04,0.025,0.022,0.914
QAc-W-0043,Magazine,0.095,0.062,0.02,0.824
QAc-W-0044,Magazine,0.048,0.062,0.006,0.883
QAc-W-0045,Magazine,0.013,0.011,0.007,0.969
QAc-W-0046,Magazine,0.046,0.028,0.023,0.903
QAc-W-0047,Magazine,0.025,0.02,0.003,0.951
QAc-W-0048,Magazine,0.005,0.014,0.009,0.973
QAc-W-0049,Magazine,0.005,0.009,0.013,0.973
QAc-W-0050,Magazine,0.006,0.005,0.017,0.972
QAc-W-0051,Magazine,0.019,0.014,0.012,0.954
QAc-W-0052,Magazine,0.005,0.02,0.004,0.971
QAc-W-0053,Magazine,0.004,0.008,0.003,0.985
QAc-W-0054,Magazine,0.174,0.009,0.007,0.81
QAc-W-0055,Magazine,0.548,0.009,0.032,0.411
QAc-W-0056,Magazine,0.014,0.067,0.049,0.87
QAc-W-0057,Magazine,0.021,0.01,0.075,0.893
QAc-W-0058,Magazine,0.016,0.006,0.255,0.723
QAc-W-0059,Magazine,0.007,0.007,0.004,0.983
QAc-W-0060,Magazine,0.771,0.12,0.006,0.102
QAc-W-0061,Magazine,0.879,0.026,0.019,0.076
QAc-W-0062,Magazine,0.781,0.024,0.038,0.157
QAc-W-0063,Magazine,0.497,0.051,0.041,0.41
QAc-W-0064,Magazine,0.737,0.132,0.023,0.108
QAc-W-0065,Magazine,0.623,0.085,0.015,0.278
QAc-W-0066,Magazine,0.988,0.004,0.005,0.003
QAc-W-0067,Magazine,0.99,0.003,0.004,0.003
QAc-W-0068,Magazine,0.99,0.004,0.004,0.003
QAc-W-0069,Magazine,0.988,0.004,0.004,0.003
QAc-W-0070,Magazine,0.991,0.003,0.003,0.003
QAc-W-0071,Magazine,0.982,0.005,0.006,0.008
QAc-W-0072,Magazine,0.106,0.018,0.009,0.867
QAc-W-0073,Magazine,0.441,0.043,0.015,0.501
QAc-W-0074,Magazine,0.93,0.021,0.017,0.032
QAc-W-0075,Magazine,0.971,0.009,0.007,0.013
QAc-W-0076,Magazine,0.816,0.014,0.03,0.139
QAc-W-0077,Magazine,0.911,0.027,0.004,0.059
QAc-W-0078,Pryor,0.052,0.082,0.659,0.207
QAc-W-0079,Pryor,0.025,0.014,0.953,0.008
QAc-W-0080,Pryor,0.005,0.04,0.946,0.009
QAc-W-0081,Pryor,0.005,0.007,0.983,0.006
QAc-W-0082,Pryor,0.006,0.01,0.536,0.449
QAc-W-0083,Pryor,0.039,0.025,0.908,0.028
QAc-W-0084,Pryor,0.005,0.006,0.985,0.004
QAc-W-0085,Pryor,0.005,0.004,0.987,0.004
QAc-W-0086,Pryor,0.007,0.006,0.982,0.006
QAc-W-0087,Pryor,0.007,0.007,0.978,0.008
QAc-W-0088,Pryor,0.004,0.007,0.959,0.03
QAc-W-0089,Pryor,0.007,0.008,0.981,0.004
QAc-W-0090,Pryor,0.007,0.007,0.982,0.004
QAc-W-0091,Pryor,0.008,0.006,0.968,0.017
QAc-W-0092,Pryor,0.008,0.212,0.653,0.127
QAc-W-0093,Pryor,0.003,0.12,0.786,0.09
QAc-W-0094,Pryor,0.007,0.118,0.705,0.17
QAc-W-0095,Pryor,0.006,0.022,0.956,0.015
QAc-W-0096,Pryor,0.029,0.069,0.783,0.118
QAc-W-0097,Pryor,0.011,0.128,0.797,0.064
QAc-W-0098,Pryor,0.004,0.007,0.984,0.006
QAc-W-0099,Pryor,0.005,0.04,0.868,0.088
QAc-W-0100,Pryor,0.004,0.006,0.984,0.006
QAc-W-0101,Pryor,0.038,0.007,0.948,0.007
QAc-W-0104,Pryor,0.005,0.013,0.957,0.025
QAc-W-0105,Pryor,0.006,0.01,0.98,0.005
QAc-W-0106,Pryor,0.006,0.023,0.955,0.017
QAc-W-0107,Pryor,0.007,0.004,0.984,0.004
QAc-W-0108,Pryor,0.006,0.004,0.987,0.003
QAc-W-0109,Pryor,0.022,0.012,0.956,0.01
QAc-W-0110,Pryor,0.011,0.665,0.307,0.017
QAc-W-0111,Pryor,0.007,0.009,0.978,0.006
QAc-W-0112,Pryor,0.004,0.015,0.967,0.014
QAc-W-0113,Sugar_Loaf,0.004,0.046,0.019,0.93
QAc-W-0114,Sugar_Loaf,0.007,0.008,0.029,0.957
QAc-W-0115,Sugar_Loaf,0.014,0.034,0.016,0.936
QAc-W-0116,Sugar_Loaf,0.003,0.01,0.006,0.982
QAc-W-0117,Sugar_Loaf,0.005,0.012,0.003,0.98
QAc-W-0118,Sugar_Loaf,0.039,0.008,0.048,0.905
QAc-W-0119,Sugar_Loaf,0.017,0.008,0.008,0.968
QAc-W-0120,Sugar_Loaf,0.025,0.036,0.01,0.928
QAc-W-0121,Sugar_Loaf,0.059,0.018,0.004,0.919
QAc-W-0122,Sugar_Loaf,0.007,0.016,0.007,0.97
QAc-W-0123,Sugar_Loaf,0.008,0.008,0.017,0.966
QAc-W-0124,Sugar_Loaf,0.208,0.188,0.113,0.491
QAc-W-0125,Sugar_Loaf,0.027,0.006,0.025,0.942
QAc-W-0126,Sugar_Loaf,0.016,0.017,0.039,0.928
QAc-W-0127,Sugar_Loaf,0.007,0.026,0.005,0.962
QAc-W-0128,Sugar_Loaf,0.027,0.024,0.098,0.851
QAc-W-0129,Sugar_Loaf,0.006,0.061,0.011,0.922
QAc-W-0130,Sugar_Loaf,0.011,0.267,0.021,0.701
QAc-W-0131,Sugar_Loaf,0.007,0.011,0.012,0.97
QAc-W-0132,Sugar_Loaf,0.054,0.123,0.048,0.774
QAc-W-0133,Sugar_Loaf,0.121,0.013,0.051,0.816
QAc-W-0134,Sugar_Loaf,0.008,0.009,0.009,0.973
QAc-W-0135,Sugar_Loaf,0.065,0.408,0.009,0.518
QAc-W-0136,Sugar_Loaf,0.006,0.012,0.005,0.976
QAc-W-0137,Sugar_Loaf,0.008,0.009,0.003,0.98
QAc-W-0138,Sugar_Loaf,0.007,0.022,0.003,0.968
QAc-W-0139,Sugar_Loaf,0.049,0.072,0.069,0.811
QAc-W-0140,Sugar_Loaf,0.008,0.021,0.004,0.967
QAc-W-0141,Sugar_Loaf,0.027,0.304,0.01,0.659
QAc-W-0142,Sugar_Loaf,0.021,0.01,0.006,0.962
QAc-W-0143,Sugar_Loaf,0.008,0.019,0.031,0.943
QAc-W-0144,Sugar_Loaf,0.003,0.008,0.007,0.982
QAc-W-0145,Sugar_Loaf,0.005,0.007,0.005,0.984
QAc-W-0146,Sugar_Loaf,0.006,0.416,0.025,0.553
QAc-W-0147,Sugar_Loaf,0.007,0.012,0.013,0.968
QAc-W-0148,Sugar_Loaf,0.011,0.023,0.004,0.962
QAc-W-0149,Sugar_Loaf,0.006,0.012,0.012,0.97
QAc-W-0150,Sugar_Loaf,0.011,0.501,0.056,0.431
QAc-W-0151,Sugar_Loaf,0.02,0.043,0.011,0.926
QAc-W-0152,Sugar_Loaf,0.012,0.018,0.008,0.962
QAc-W-0153,Sugar_Loaf,0.018,0.133,0.094,0.756
QAc-W-0154,Sugar_Loaf,0.006,0.114,0.006,0.874
QAc-W-0155,Sugar_Loaf,0.005,0.046,0.007,0.942
QAc-W-0156,Sugar_Loaf,0.004,0.223,0.178,0.595
QAc-W-0157,Sugar_Loaf,0.016,0.01,0.004,0.97
QAc-W-0158,Sugar_Loaf,0.064,0.436,0.079,0.421
QAc-W-0159,Sugar_Loaf,0.006,0.012,0.004,0.978
QAc-W-0160,Sugar_Loaf,0.007,0.129,0.01,0.853
QAc-W-0161,Sugar_Loaf,0.005,0.067,0.003,0.925
QAc-W-0162,Sugar_Loaf,0.007,0.005,0.005,0.982
QAc-W-0163,Sugar_Loaf,0.007,0.009,0.005,0.979
QAc-W-0164,Sugar_Loaf,0.011,0.009,0.007,0.973
QAc-W-0165,Sugar_Loaf,0.022,0.01,0.003,0.965
QAc-W-0166,Sugar_Loaf,0.014,0.134,0.007,0.846
QAc-W-0167,Kessler,0.007,0.011,0.047,0.934
QAc-W-0168,Kessler,0.125,0.033,0.016,0.826
QAc-W-0169,Kessler,0.011,0.128,0.004,0.857
QAc-W-0170,Kessler,0.005,0.036,0.01,0.949
QAc-W-0171,Kessler,0.006,0.012,0.032,0.95
QAc-W-0172,Kessler,0.003,0.039,0.008,0.95
QAc-W-0173,Kessler,0.005,0.1,0.011,0.884
QAc-W-0174,Kessler,0.021,0.013,0.008,0.958
