Ind,Botanic_Garden,First_Pop,First_Per,Wild_Source,Second_Pop,Second_Per,Third_Pop,Third_Per,Fourth_Pop,Fourth_Per,Fifth_Pop,Fifth_Per
TMA-ZAIN-G-202,/MBC,B,4.436,LB,TS,4.409,ENP,4.379,CR,4.251,SF,4.249
TMA-ZAIN-G-203,/MBC,BP,5.014,LB,LB,4.737,B,4.594,ENP,4.411,K,4.4
TMA-ZAIN-G-204,/MBC,ONF,4.578,LB,CC,4.488,B,4.475,O,4.361,TS,4.338
TMA-ZAIN-G-205,/MBC,LB,5.213,LB,BP,5.02,CF,4.529,B,4.33,ENP,4.33
TMA-ZAIN-G-206,/MBC,LB,4.617,LB,CF,4.445,BP,4.417,CR,4.414,WB,4.326
TMA-ZAIN-G-207,/MBC,B,4.939,LB,LB,4.913,BP,4.729,ENP,4.654,CF,4.525
TMA-ZAIN-G-208,/MBC,B,4.792,FDSP,SW,4.67,SF,4.5,W,4.489,CR,4.427
TMA-ZAIN-G-209,/MBC,B,5.014,FDSP,SF,4.538,ZFFDSP,4.503,BP,4.429,BP,4.407
TMA-ZAIN-G-210,/MBC,BP,4.57,FDSP,BP,4.549,TSP,4.475,ONF,4.447,TSP,4.334
TMA-ZAIN-G-211,/MBC,TS,4.649,FDSP,B,4.624,CF,4.394,ENP,4.379,BP,4.375
TMA-ZAIN-G-212,/MBC,ONF,4.499,FDSP,BP,4.412,BP,4.411,TSP,4.325,B,4.318
TMA-ZAIN-G-213,/MBC,BP,5.387,FDSP,LB,4.984,B,4.719,ENP,4.427,CF,4.339
TMA-ZAIN-G-214,/MBC,ONF,4.675,NWS_North,TSP,4.492,BP,4.347,CF,4.339,B,4.282
TMA-ZAIN-G-215,/MBC,ONF,5.061,NWS_North,BP,4.791,BP,4.551,TSP,4.497,ZFFDSP,4.346
TMA-ZAIN-G-216,/MBC,BP,4.71,NWS_North,ONF,4.564,B,4.519,BP,4.491,TSP,4.429
TMA-ZAIN-G-217,/MBC,B,4.539,NWS_North,BP,4.363,TSP,4.328,SF,4.278,TSP,4.236
TMA-ZAIN-G-218,/MBC,ONF,5.308,NWS_North,BP,4.778,BP,4.715,TSP,4.639,ONF,4.461
TMA-ZAIN-G-219,/MBC,SF,5.125,ENP,TS,4.619,B,4.527,CR,4.509,ENP,4.462
TMA-ZAIN-G-220,/MBC,ENP,4.443,ENP,SW,4.434,TS,4.429,CR,4.426,B,4.28
TMA-ZAIN-G-221,/MBC,TS,5.073,ENP,SF,4.755,CF,4.715,ENP,4.669,B,4.631
TMA-ZAIN-G-222,/MBC,K,4.72,ENP,LB,4.442,TS,4.401,BP,4.342,B,4.336
TMA-ZAIN-G-223,/MBC,CF,5.149,ENP,BP,4.904,LB,4.856,ENP,4.742,TS,4.709
TMA-ZAIN-G-224,/MBC,SF,4.836,ENP,CF,4.833,TS,4.802,ENP,4.578,B,4.535
TMA-ZAIN-G-225,/MBC,ENP,4.564,ENP,CF,4.518,CR,4.425,TS,4.338,SW,4.338
TMA-ZAIN-G-226,/MBC,TS,5.122,ENP,B,4.879,CF,4.816,SF,4.74,ENP,4.629
TMA-ZAIN-G-227,/MBC,B,5.285,ENP,TS,5.165,CF,4.857,BP,4.79,ENP,4.736
TMA-ZAIN-G-228,/MBC,B,5.085,ENP,TS,5.081,CF,4.6,SF,4.5,CR,4.458
TMA-ZAIN-G-229,/MBC,TS,4.667,ENP,CF,4.65,B,4.625,SF,4.593,ENP,4.423
TMA-ZAIN-G-230,/MBC,CF,4.84,ENP,SF,4.774,TS,4.717,ENP,4.65,B,4.515
