Ind,Botanic_Garden,First_Pop,First_Per,Wild_Source,Second_Pop,Second_Per,Third_Pop,Third_Per,Fourth_Pop,Fourth_Per
QAc-G-0248,/TMA,Magazine,99.799,NA,Porter,0.112,Sugar_Loaf,0.085,Pryor,0.005
QAc-G-0249,/TTA,Magazine,60.434,NA,Porter,39.425,Pryor,0.133,Sugar_Loaf,0.007
QAc-G-0250,/MeBG,Pryor,68.998,NA,Magazine,22.01,Porter,8.987,Sugar_Loaf,0.005
QAc-G-0251,/JFG,Magazine,98.128,Porter,Pryor,1.269,Porter,0.596,Sugar_Loaf,0.006
QAc-G-0252,/JFG,Magazine,62.244,Porter,Porter,35.262,Sugar_Loaf,1.878,Pryor,0.616
QAc-G-0253,/JFG,Pryor,81.761,Pryor,Magazine,18.238,Porter,0.001,Sugar_Loaf,0
QAc-G-0254,/JFG,Magazine,77.937,Pryor,Pryor,21.636,Porter,0.427,Sugar_Loaf,0
QAc-G-0255,/JFG,Pryor,87.608,Magazine,Magazine,11.125,Sugar_Loaf,1.139,Porter,0.129
QAc-G-0256,/JFG,Magazine,99.968,Magazine,Pryor,0.027,Porter,0.005,Sugar_Loaf,0
QAc-G-0257,/JFG,Porter,46.42,Magazine,Magazine,46.182,Pryor,6.63,Sugar_Loaf,0.769
QAc-G-0258,/JFG,Magazine,99.931,Magazine,Pryor,0.04,Porter,0.022,Sugar_Loaf,0.006
QAc-G-0259,/JFG,Magazine,61.607,Magazine,Pryor,25.562,Porter,11.936,Sugar_Loaf,0.895
QAc-G-0260,/JFG,Porter,95.807,Magazine,Pryor,3.974,Magazine,0.218,Sugar_Loaf,0
QAc-G-0261,/JFG,Magazine,95.437,Magazine,Porter,3.745,Pryor,0.818,Sugar_Loaf,0
QAc-G-0262,/JFG,Magazine,80.819,Magazine,Pryor,11.567,Porter,7.525,Sugar_Loaf,0.089
QAc-G-0263,/ZBGP,Magazine,96.573,NA,Porter,1.98,Pryor,1.446,Sugar_Loaf,0.001
QAc-G-0265,/MA,Pryor,99.354,NA,Porter,0.599,Magazine,0.046,Sugar_Loaf,0.001
QAc-G-0266,/MA,Magazine,99.933,NA,Pryor,0.064,Porter,0.003,Sugar_Loaf,0
QAc-G-0267,/MA,Pryor,93.168,Magazine,Magazine,6.827,Porter,0.005,Sugar_Loaf,0
QAc-G-0268,/MA,Magazine,96.469,Magazine,Pryor,2.985,Porter,0.522,Sugar_Loaf,0.024
QAc-G-0269,/MA,Magazine,99.742,Magazine,Pryor,0.257,Porter,0.001,Sugar_Loaf,0
QAc-G-0270,/MA,Porter,91.755,Pryor,Magazine,6.087,Pryor,2.157,Sugar_Loaf,0.001
QAc-G-0271,/MA,Porter,85.655,Pryor,Magazine,12.596,Pryor,1.748,Sugar_Loaf,0.001
QAc-G-0272,/MA,Magazine,99.561,Pryor,Pryor,0.344,Porter,0.095,Sugar_Loaf,0
QAc-G-0273,/MA,Magazine,64.451,Magazine,Pryor,35.53,Porter,0.019,Sugar_Loaf,0
QAc-G-0274,/MA,Pryor,95.557,Pryor,Porter,4.424,Magazine,0.019,Sugar_Loaf,0
QAc-G-0275,/UWBG,Magazine,76.329,Pyror,Pryor,23.654,Porter,0.016,Sugar_Loaf,0
QAc-G-0276,/FGT,Magazine,61.785,Magazine,Pryor,38.201,Porter,0.014,Sugar_Loaf,0
QAc-G-0279,/FGT,Magazine,99.653,Porter,Pryor,0.338,Porter,0.009,Sugar_Loaf,0
QAc-G-0280,/FGT,Magazine,99.864,Porter,Pryor,0.121,Porter,0.015,Sugar_Loaf,0
QAc-G-0281,/FGT,Pryor,92.168,Pryor,Magazine,7.747,Porter,0.084,Sugar_Loaf,0.001
QAc-G-0283,/MFBG,Pryor,66.111,Pryor,Magazine,19.37,Porter,12.248,Sugar_Loaf,2.271
QAc-G-0285,/CBG,Magazine,93.374,NA,Pryor,4.562,Porter,2.064,Sugar_Loaf,0.001
QAc-G-0286,/CBG,Pryor,93.86,NA,Magazine,6.027,Porter,0.113,Sugar_Loaf,0
QAc-G-0287,/CBG,Pryor,85.818,NA,Magazine,13.701,Porter,0.48,Sugar_Loaf,0
QAc-G-0288,/CBG,Magazine,97.962,NA,Pryor,2.012,Porter,0.027,Sugar_Loaf,0
QAc-G-0289,/CBG,Pryor,68.472,NA,Magazine,30.652,Porter,0.876,Sugar_Loaf,0
QAc-G-0290,/CBG,Magazine,44.144,NA,Pryor,33.404,Porter,22.453,Sugar_Loaf,0
QAc-G-0291,/CBG,Pryor,65.36,NA,Magazine,34.151,Porter,0.489,Sugar_Loaf,0
