Ind,Botanic_Garden,First_Pop,First_Per,Wild_Source,Second_Pop,Second_Per,Third_Pop,Third_Per,Fourth_Pop,Fourth_Per
QAc-G-0255,/JFG,Pryor,26.401,Magazine,Sugar_Loaf,25.04,Porter,24.573,Magazine,23.985
QAc-G-0256,/JFG,Magazine,27.393,Magazine,Pryor,25.97,Porter,24.861,Sugar_Loaf,21.775
QAc-G-0257,/JFG,Porter,26.506,Magazine,Pryor,25.06,Sugar_Loaf,24.738,Magazine,23.696
QAc-G-0258,/JFG,Porter,25.647,Magazine,Magazine,25.631,Pryor,24.962,Sugar_Loaf,23.759
QAc-G-0259,/JFG,Porter,28.603,Magazine,Pryor,26.678,Sugar_Loaf,23.032,Magazine,21.686
QAc-G-0260,/JFG,Porter,27.925,Magazine,Pryor,26.223,Magazine,24.084,Sugar_Loaf,21.767
QAc-G-0261,/JFG,Porter,28.254,Magazine,Magazine,26.286,Pryor,23.929,Sugar_Loaf,21.531
QAc-G-0262,/JFG,Porter,26.2,Magazine,Pryor,26.106,Magazine,25.338,Sugar_Loaf,22.356
QAc-G-0263,/ZBGP,Pryor,26.067,NA,Magazine,25.316,Porter,24.608,Sugar_Loaf,24.009
QAc-G-0265,/MA,Pryor,27.788,NA,Magazine,24.348,Porter,24.256,Sugar_Loaf,23.608
QAc-G-0266,/MA,Magazine,27.698,NA,Pryor,25.711,Porter,23.743,Sugar_Loaf,22.847
QAc-G-0267,/MA,Pryor,28.403,Magazine,Magazine,26.293,Porter,24.596,Sugar_Loaf,20.708
QAc-G-0268,/MA,Pryor,26.403,Magazine,Sugar_Loaf,26.041,Magazine,25.424,Porter,22.131
QAc-G-0269,/MA,Magazine,28.149,Magazine,Pryor,26.535,Sugar_Loaf,23.088,Porter,22.229
QAc-G-0270,/MA,Porter,27.388,Pryor,Pryor,26.15,Magazine,24.462,Sugar_Loaf,22
QAc-G-0271,/MA,Porter,29.002,Pryor,Magazine,24.826,Pryor,23.837,Sugar_Loaf,22.335
QAc-G-0272,/MA,Magazine,26.599,Pryor,Pryor,26.121,Porter,24.796,Sugar_Loaf,22.484
QAc-G-0273,/MA,Magazine,26.259,Magazine,Pryor,26.068,Porter,24.634,Sugar_Loaf,23.038
QAc-G-0274,/MA,Pryor,28.593,Pryor,Porter,28.351,Magazine,23.5,Sugar_Loaf,19.556
QAc-G-0275,/UWBG,Magazine,26.72,Pyror,Pryor,25.774,Sugar_Loaf,25.042,Porter,22.464
QAc-G-0276,/FGT,Pryor,28.714,Magazine,Magazine,26.446,Sugar_Loaf,22.741,Porter,22.099
QAc-G-0279,/FGT,Pryor,27.797,Porter,Magazine,26.603,Porter,23.369,Sugar_Loaf,22.232
QAc-G-0280,/FGT,Magazine,26.765,Porter,Pryor,26.099,Sugar_Loaf,24.191,Porter,22.945
QAc-G-0281,/FGT,Pryor,26.516,Pryor,Magazine,25.897,Sugar_Loaf,23.928,Porter,23.659
QAc-G-0283,/MFBG,Porter,25.583,Pryor,Magazine,25.125,Pryor,24.763,Sugar_Loaf,24.528
QAc-G-0285,/CBG,Magazine,25.682,NA,Pryor,25.672,Porter,24.837,Sugar_Loaf,23.809
QAc-G-0286,/CBG,Pryor,29.143,NA,Magazine,25.221,Porter,23.477,Sugar_Loaf,22.158
QAc-G-0287,/CBG,Pryor,27.835,NA,Magazine,26.738,Porter,23.862,Sugar_Loaf,21.565
QAc-G-0288,/CBG,Pryor,27.769,NA,Magazine,27.249,Porter,23.373,Sugar_Loaf,21.609
QAc-G-0289,/CBG,Pryor,29.024,NA,Magazine,25.984,Porter,25.008,Sugar_Loaf,19.985
QAc-G-0290,/CBG,Pryor,27.499,NA,Porter,26.807,Magazine,25.362,Sugar_Loaf,20.332
QAc-G-0291,/CBG,Pryor,27.47,NA,Magazine,26.981,Porter,24.096,Sugar_Loaf,21.453
QAc-G-0292,/CBG,Magazine,27.995,NA,Pryor,26.117,Porter,24.217,Sugar_Loaf,21.671
QAc-G-0293,/CBG,Magazine,27.288,NA,Pryor,26.714,Sugar_Loaf,23.648,Porter,22.349
QAc-G-0294,/CBG,Porter,26.394,NA,Sugar_Loaf,26.108,Magazine,26.076,Pryor,21.422
QAc-G-0295,/CBG,Magazine,28.487,NA,Porter,25.033,Pryor,23.973,Sugar_Loaf,22.508
QAc-G-0296,/CBG,Pryor,27.331,NA,Magazine,24.998,Porter,24.781,Sugar_Loaf,22.89
QAc-G-0297,/CBG,Porter,27.262,NA,Pryor,25.239,Magazine,24.531,Sugar_Loaf,22.968
QAc-G-0298,/CBG,Porter,26.343,NA,Magazine,25.663,Sugar_Loaf,24.939,Pryor,23.056
QAc-G-0299,/CBG,Magazine,27.934,NA,Porter,25.917,Pryor,23.788,Sugar_Loaf,22.361
QAc-G-0300,/CBG,Porter,28.684,NA,Magazine,24.177,Pryor,24.001,Sugar_Loaf,23.138
QAc-G-0301,/CBG,Magazine,27.588,NA,Pryor,25.135,Porter,23.956,Sugar_Loaf,23.32
QAc-G-0302,/CBG,Porter,26.359,NA,Sugar_Loaf,25.488,Magazine,25.326,Pryor,22.827
QAc-G-0303,/CBG,Porter,27.723,NA,Magazine,26.153,Pryor,23.49,Sugar_Loaf,22.634
QAc-G-0304,/CBG,Pryor,27.798,NA,Magazine,27.532,Sugar_Loaf,22.506,Porter,22.163
QAc-G-0305,/CBG,Pryor,27.773,NA,Magazine,27.563,Porter,22.977,Sugar_Loaf,21.687
QAc-G-0306,/CBG,Pryor,26.902,NA,Magazine,25.53,Sugar_Loaf,24.649,Porter,22.919
QAc-G-0307,/CBG,Magazine,26.156,NA,Pryor,24.971,Sugar_Loaf,24.626,Porter,24.247
QAc-G-0308,/CBG,Magazine,27.114,NA,Sugar_Loaf,26.231,Pryor,23.941,Porter,22.714
QAc-G-0309,/CBG,Pryor,28.622,NA,Magazine,25.812,Porter,24.66,Sugar_Loaf,20.906
QAc-G-0310,/CBG,Pryor,28.641,NA,Magazine,25.329,Porter,25.143,Sugar_Loaf,20.887
QAc-G-0311,/CBG,Pryor,26.794,NA,Magazine,25.888,Porter,23.733,Sugar_Loaf,23.584
QAc-G-0312,/CBG,Magazine,27.224,NA,Pryor,25.979,Sugar_Loaf,23.623,Porter,23.173
QAc-G-0313,/CBG,Sugar_Loaf,25.299,NA,Porter,25.17,Pryor,25.043,Magazine,24.488
QAc-G-0314,/CBG,Porter,28.808,NA,Magazine,24.255,Sugar_Loaf,23.771,Pryor,23.165
QAc-G-0315,/CBG,Porter,30.491,NA,Pryor,25.278,Magazine,22.42,Sugar_Loaf,21.811
QAc-G-0316,/CBG,Porter,27.802,NA,Pryor,26.13,Magazine,25.004,Sugar_Loaf,21.064
