Ind,Botanic_Garden,First_Pop,First_Per,Wild_Source,Second_Pop,Second_Per,Third_Pop,Third_Per,Fourth_Pop,Fourth_Per,Fifth_Pop,Fifth_Per
TMA-ZAIN-G-373,/NBG,ENP,7.285,NWS_South,LTI,5.932,TSP,5.731,CF,5.519,WB,5.496
TMA-ZAIN-G-374,/NBG,BP,8.075,NWS_South,TSP,7.951,ZFFDSP,7.929,BP,7.71,TSP,6.837
TMA-ZAIN-G-376,/NBG,BP,6.618,NWS_South,BP,5.664,WB,5.093,ZFFDSP,5.033,SW,4.977
TMA-ZAIN-G-377,/NBG,BP,9.745,NWS_South,ZFFDSP,8.73,BP,8.136,ONF,6.124,TSP,5.762
TMA-ZAIN-G-378,/NBG,CF,5.412,NA,ENP,5.201,CC,4.876,CNS,4.671,LTI,4.616
TMA-ZAIN-G-379,/KWTFBG,ENP,6.175,NA,WB,5.701,O,5.367,TSP,5.072,CF,4.567
TMA-ZAIN-G-380,/KWTFBG,ENP,8.053,NA,CF,5.659,BP,5.541,LTI,5.407,WB,4.976
TMA-ZAIN-G-381,/KWTFBG,SW,7.52,NA,TS,5.954,K,5.6,BP,5.286,BP,5.096
TMA-ZAIN-G-382,/KWTFBG,BP,7.767,NA,BP,7.574,ZFFDSP,6.585,ONF,5.796,TSP,4.75
TMA-ZAIN-G-383,/KWTFBG,BP,5.808,NA,BP,5.554,ENP,5.308,ZFFDSP,5.256,K,5.141
TMA-ZAIN-G-384,/KWTFBG,BP,5.972,NA,BP,5.813,ZFFDSP,5.276,ZFSF,5.215,TS,5.088
TMA-ZAIN-G-385,/KWTFBG,BP,7.078,Key_West,ZFFDSP,6.719,TSP,6.444,BP,6.382,TSP,5.806
TMA-ZAIN-G-386,/KWTFBG,ENP,7.249,Key_West,WB,6.737,TSP,5.868,BP,5.468,LTI,5.463
TMA-ZAIN-G-387,/KWTFBG,ENP,7.105,NA,CNS,6.165,LB,5.581,CF,5.2,TSP,5.036
