Ind,Pop,C1,C2,C3,C4,C5,C6,C7,C8
QAc-W-0070,Magazine,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.976
QAc-W-0071,Magazine,0.006,0.004,0.005,0.008,0.004,0.006,0.005,0.962
QAc-W-0072,Magazine,0.028,0.051,0.018,0.009,0.073,0.005,0.006,0.811
QAc-W-0073,Magazine,0.05,0.033,0.022,0.023,0.018,0.015,0.015,0.825
QAc-W-0074,Magazine,0.006,0.006,0.008,0.005,0.008,0.003,0.008,0.955
QAc-W-0075,Magazine,0.004,0.005,0.003,0.004,0.004,0.003,0.006,0.972
QAc-W-0076,Magazine,0.008,0.008,0.003,0.009,0.023,0.004,0.006,0.94
QAc-W-0077,Magazine,0.019,0.038,0.012,0.012,0.008,0.016,0.004,0.891
NA,NA,0,0,0,0,0,0,0,0
QAc-W-0078,Pryor,0.128,0.016,0.035,0.014,0.029,0.007,0.763,0.01
QAc-W-0079,Pryor,0.007,0.005,0.006,0.004,0.006,0.005,0.959,0.007
QAc-W-0080,Pryor,0.012,0.005,0.037,0.005,0.005,0.004,0.927,0.005
QAc-W-0081,Pryor,0.006,0.003,0.006,0.003,0.004,0.006,0.966,0.005
QAc-W-0082,Pryor,0.015,0.468,0.004,0.007,0.005,0.004,0.493,0.005
QAc-W-0083,Pryor,0.007,0.007,0.008,0.007,0.01,0.005,0.933,0.023
QAc-W-0084,Pryor,0.004,0.003,0.005,0.003,0.003,0.003,0.975,0.004
QAc-W-0085,Pryor,0.007,0.003,0.004,0.004,0.01,0.005,0.962,0.005
QAc-W-0086,Pryor,0.006,0.004,0.006,0.007,0.007,0.005,0.962,0.004
QAc-W-0087,Pryor,0.005,0.004,0.004,0.004,0.006,0.004,0.97,0.003
QAc-W-0088,Pryor,0.01,0.008,0.004,0.007,0.004,0.006,0.957,0.004
QAc-W-0089,Pryor,0.005,0.014,0.006,0.006,0.003,0.005,0.956,0.005
QAc-W-0090,Pryor,0.005,0.008,0.005,0.004,0.003,0.006,0.966,0.004
QAc-W-0091,Pryor,0.006,0.004,0.005,0.003,0.006,0.004,0.969,0.003
QAc-W-0092,Pryor,0.03,0.006,0.092,0.019,0.012,0.049,0.787,0.005
QAc-W-0093,Pryor,0.084,0.03,0.022,0.249,0.023,0.006,0.582,0.005
QAc-W-0094,Pryor,0.031,0.022,0.074,0.056,0.01,0.01,0.788,0.01
QAc-W-0095,Pryor,0.009,0.011,0.016,0.005,0.005,0.007,0.938,0.008
QAc-W-0096,Pryor,0.026,0.021,0.033,0.045,0.013,0.011,0.816,0.036
QAc-W-0097,Pryor,0.142,0.05,0.045,0.11,0.006,0.032,0.609,0.006
QAc-W-0098,Pryor,0.012,0.01,0.006,0.007,0.004,0.004,0.954,0.003
QAc-W-0099,Pryor,0.023,0.008,0.007,0.006,0.058,0.028,0.865,0.004
QAc-W-0100,Pryor,0.004,0.005,0.004,0.005,0.004,0.002,0.973,0.003
QAc-W-0101,Pryor,0.005,0.004,0.006,0.005,0.005,0.003,0.964,0.007
QAc-W-0104,Pryor,0.009,0.009,0.004,0.01,0.01,0.011,0.942,0.004
QAc-W-0105,Pryor,0.004,0.004,0.004,0.003,0.003,0.003,0.974,0.004
QAc-W-0106,Pryor,0.008,0.008,0.007,0.009,0.006,0.007,0.95,0.004
QAc-W-0107,Pryor,0.018,0.009,0.006,0.017,0.007,0.01,0.909,0.024
QAc-W-0108,Pryor,0.017,0.006,0.005,0.008,0.008,0.009,0.928,0.02
QAc-W-0109,Pryor,0.013,0.014,0.007,0.012,0.005,0.014,0.918,0.018
QAc-W-0110,Pryor,0.009,0.004,0.643,0.006,0.008,0.006,0.319,0.005
QAc-W-0111,Pryor,0.008,0.004,0.004,0.005,0.005,0.006,0.962,0.006
QAc-W-0112,Pryor,0.008,0.016,0.008,0.009,0.009,0.003,0.943,0.004
NA,NA,0,0,0,0,0,0,0,0
QAc-W-0113,Sugar_Loaf,0.016,0.009,0.011,0.008,0.941,0.005,0.006,0.004
QAc-W-0114,Sugar_Loaf,0.015,0.005,0.007,0.017,0.913,0.014,0.023,0.007
QAc-W-0115,Sugar_Loaf,0.012,0.006,0.011,0.009,0.946,0.003,0.007,0.007
QAc-W-0116,Sugar_Loaf,0.014,0.007,0.008,0.027,0.923,0.013,0.006,0.003
QAc-W-0117,Sugar_Loaf,0.008,0.004,0.005,0.012,0.959,0.005,0.003,0.004
QAc-W-0118,Sugar_Loaf,0.017,0.009,0.006,0.022,0.9,0.004,0.016,0.026
QAc-W-0119,Sugar_Loaf,0.036,0.019,0.006,0.016,0.904,0.005,0.007,0.007
QAc-W-0120,Sugar_Loaf,0.033,0.009,0.009,0.008,0.917,0.005,0.008,0.011
QAc-W-0121,Sugar_Loaf,0.033,0.013,0.005,0.008,0.904,0.016,0.003,0.017
QAc-W-0122,Sugar_Loaf,0.044,0.01,0.014,0.052,0.86,0.009,0.005,0.005
QAc-W-0123,Sugar_Loaf,0.032,0.012,0.005,0.065,0.857,0.005,0.01,0.013
QAc-W-0124,Sugar_Loaf,0.036,0.006,0.049,0.008,0.678,0.004,0.082,0.137
QAc-W-0125,Sugar_Loaf,0.012,0.007,0.008,0.011,0.934,0.006,0.016,0.007
QAc-W-0126,Sugar_Loaf,0.048,0.015,0.009,0.025,0.834,0.021,0.037,0.011
QAc-W-0127,Sugar_Loaf,0.012,0.008,0.009,0.005,0.948,0.009,0.005,0.005
QAc-W-0128,Sugar_Loaf,0.025,0.005,0.021,0.013,0.869,0.007,0.052,0.007
QAc-W-0129,Sugar_Loaf,0.1,0.009,0.07,0.008,0.791,0.005,0.005,0.012
QAc-W-0130,Sugar_Loaf,0.014,0.004,0.032,0.005,0.927,0.006,0.007,0.004
QAc-W-0131,Sugar_Loaf,0.222,0.044,0.007,0.041,0.666,0.004,0.009,0.006
QAc-W-0132,Sugar_Loaf,0.047,0.018,0.017,0.022,0.831,0.007,0.015,0.044
QAc-W-0133,Sugar_Loaf,0.54,0.074,0.008,0.007,0.245,0.013,0.09,0.023
QAc-W-0134,Sugar_Loaf,0.006,0.004,0.004,0.004,0.966,0.006,0.005,0.005
QAc-W-0135,Sugar_Loaf,0.014,0.006,0.063,0.009,0.873,0.007,0.005,0.024
QAc-W-0136,Sugar_Loaf,0.005,0.004,0.005,0.005,0.971,0.003,0.004,0.003
QAc-W-0137,Sugar_Loaf,0.005,0.004,0.003,0.004,0.973,0.004,0.003,0.004
QAc-W-0138,Sugar_Loaf,0.006,0.005,0.005,0.005,0.969,0.003,0.003,0.003
QAc-W-0139,Sugar_Loaf,0.357,0.046,0.054,0.035,0.383,0.006,0.07,0.051
QAc-W-0140,Sugar_Loaf,0.022,0.015,0.011,0.039,0.85,0.054,0.005,0.004
QAc-W-0141,Sugar_Loaf,0.232,0.03,0.042,0.24,0.417,0.014,0.012,0.013
QAc-W-0142,Sugar_Loaf,0.01,0.007,0.004,0.005,0.957,0.005,0.004,0.008
QAc-W-0143,Sugar_Loaf,0.038,0.008,0.011,0.004,0.908,0.016,0.009,0.006
QAc-W-0144,Sugar_Loaf,0.02,0.02,0.007,0.01,0.859,0.074,0.006,0.004
QAc-W-0145,Sugar_Loaf,0.02,0.01,0.003,0.014,0.941,0.003,0.003,0.005
QAc-W-0146,Sugar_Loaf,0.011,0.007,0.009,0.005,0.954,0.005,0.006,0.005
