Ind,Pop,C1,C2,C3,C4,C5,C6
QAc-W-0148,Sugar_Loaf,0.973,0.005,0.006,0.003,0.007,0.006
QAc-W-0149,Sugar_Loaf,0.88,0.069,0.017,0.012,0.005,0.016
QAc-W-0150,Sugar_Loaf,0.904,0.008,0.056,0.013,0.008,0.011
QAc-W-0151,Sugar_Loaf,0.956,0.005,0.014,0.008,0.006,0.011
QAc-W-0152,Sugar_Loaf,0.966,0.008,0.005,0.004,0.009,0.007
QAc-W-0153,Sugar_Loaf,0.026,0.005,0.007,0.024,0.023,0.914
QAc-W-0154,Sugar_Loaf,0.866,0.003,0.069,0.006,0.005,0.051
QAc-W-0155,Sugar_Loaf,0.973,0.005,0.006,0.003,0.006,0.007
QAc-W-0156,Sugar_Loaf,0.833,0.005,0.083,0.053,0.003,0.024
QAc-W-0157,Sugar_Loaf,0.926,0.013,0.007,0.004,0.016,0.034
QAc-W-0158,Sugar_Loaf,0.878,0.005,0.045,0.052,0.011,0.008
QAc-W-0159,Sugar_Loaf,0.966,0.006,0.011,0.005,0.004,0.008
QAc-W-0160,Sugar_Loaf,0.958,0.005,0.017,0.006,0.005,0.01
QAc-W-0161,Sugar_Loaf,0.908,0.02,0.053,0.006,0.004,0.009
QAc-W-0162,Sugar_Loaf,0.811,0.022,0.003,0.005,0.148,0.011
QAc-W-0163,Sugar_Loaf,0.946,0.016,0.005,0.004,0.006,0.022
QAc-W-0164,Sugar_Loaf,0.96,0.007,0.006,0.006,0.012,0.009
QAc-W-0165,Sugar_Loaf,0.94,0.003,0.006,0.003,0.028,0.019
QAc-W-0166,Sugar_Loaf,0.923,0.006,0.042,0.006,0.009,0.014
NA,NA,0,0,0,0,0,0
QAc-W-0167,Kessler,0.006,0.004,0.005,0.007,0.005,0.974
QAc-W-0168,Kessler,0.302,0.043,0.037,0.009,0.098,0.511
QAc-W-0169,Kessler,0.008,0.007,0.031,0.005,0.009,0.94
QAc-W-0170,Kessler,0.01,0.008,0.015,0.006,0.005,0.956
QAc-W-0171,Kessler,0.006,0.005,0.005,0.006,0.005,0.973
QAc-W-0172,Kessler,0.02,0.004,0.017,0.005,0.002,0.952
QAc-W-0173,Kessler,0.019,0.006,0.016,0.005,0.007,0.947
QAc-W-0174,Kessler,0.011,0.007,0.005,0.007,0.009,0.961
