Ind1,Ind2,Pop,Dist,Rel_Coeff
QAc-G-0029,QAc-G-0003,1,-1,-0.092875
QAc-G-0029,QAc-G-0004,1,-1,0.052964
QAc-G-0029,QAc-G-0005,1,-1,-0.053332
QAc-G-0029,QAc-G-0006,1,-1,-0.072789
QAc-G-0029,QAc-G-0283,1,-1,-0.108912
QAc-G-0029,QAc-G-0265,1,-1,-0.014935
QAc-G-0029,QAc-G-0266,1,-1,0.273444
QAc-G-0029,QAc-G-0267,1,-1,0.031738
QAc-G-0029,QAc-G-0268,1,-1,-0.114203
QAc-G-0029,QAc-G-0269,1,-1,0.015952
QAc-G-0029,QAc-G-0270,1,-1,0.015706
QAc-G-0029,QAc-G-0271,1,-1,0.025352
QAc-G-0029,QAc-G-0272,1,-1,-0.080753
QAc-G-0029,QAc-G-0273,1,-1,0.0795
QAc-G-0029,QAc-G-0274,1,-1,-0.040458
QAc-G-0029,QAc-G-0251,1,-1,-0.038874
QAc-G-0029,QAc-G-0252,1,-1,-0.105782
QAc-G-0029,QAc-G-0253,1,-1,0.013772
QAc-G-0029,QAc-G-0254,1,-1,0.218965
QAc-G-0029,QAc-G-0255,1,-1,-0.080426
QAc-G-0029,QAc-G-0256,1,-1,-0.139823
QAc-G-0029,QAc-G-0257,1,-1,-0.024502
QAc-G-0029,QAc-G-0258,1,-1,-0.087565
QAc-G-0029,QAc-G-0259,1,-1,-0.069394
QAc-G-0029,QAc-G-0260,1,-1,-0.069078
QAc-G-0029,QAc-G-0261,1,-1,0.011679
QAc-G-0029,QAc-G-0262,1,-1,-0.072161
QAc-G-0029,QAc-G-0010,1,-1,0.043051
QAc-G-0029,QAc-G-0011,1,-1,0.098366
QAc-G-0029,QAc-G-0015,1,-1,0.091934
QAc-G-0029,QAc-G-0106,1,-1,-0.127186
QAc-G-0029,QAc-G-0107,1,-1,-0.065367
QAc-G-0029,QAc-G-0108,1,-1,-0.115722
QAc-G-0029,QAc-G-0109,1,-1,-0.030806
QAc-G-0029,QAc-G-0110,1,-1,-0.149084
