Ind,Population,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10
QAc-G-0309,0,0.004,0.004,0.005,0.003,0.015,0.003,0.004,0.956,0.004,0.002
QAc-G-0310,0,0.003,0.003,0.005,0.003,0.002,0.003,0.003,0.972,0.003,0.003
QAc-G-0311,0,0.002,0.002,0.977,0.002,0.002,0.002,0.002,0.006,0.003,0.002
QAc-G-0312,0,0.005,0.048,0.644,0.097,0.075,0.053,0.055,0.006,0.007,0.01
QAc-G-0313,0,0.038,0.006,0.005,0.01,0.841,0.054,0.013,0.021,0.007,0.005
QAc-G-0314,0,0.003,0.021,0.011,0.137,0.652,0.124,0.034,0.008,0.004,0.007
QAc-G-0315,0,0.005,0.008,0.004,0.01,0.941,0.012,0.005,0.003,0.006,0.005
QAc-G-0316,0,0.009,0.006,0.015,0.01,0.724,0.191,0.004,0.026,0.007,0.009
QAc-G-0032,-6,0.003,0.294,0.005,0.009,0.553,0.007,0.008,0.007,0.007,0.106
QAc-G-0033,0,0.003,0.004,0.004,0.957,0.003,0.004,0.01,0.006,0.004,0.006
QAc-G-0034,0,0.004,0.01,0.042,0.839,0.013,0.032,0.033,0.015,0.004,0.008
QAc-G-0035,0,0.009,0.005,0.005,0.253,0.013,0.01,0.679,0.003,0.009,0.014
QAc-G-0036,0,0.007,0.003,0.004,0.95,0.007,0.006,0.006,0.003,0.008,0.004
QAc-G-0037,0,0.003,0.002,0.006,0.004,0.003,0.002,0.967,0.003,0.007,0.003
QAc-G-0038,0,0.003,0.004,0.002,0.066,0.003,0.007,0.907,0.002,0.004,0.003
QAc-G-0039,0,0.005,0.021,0.05,0.06,0.028,0.049,0.754,0.02,0.009,0.004
QAc-G-0040,0,0.015,0.006,0.004,0.027,0.01,0.049,0.796,0.004,0.085,0.003
QAc-G-0041,0,0.012,0.003,0.002,0.013,0.005,0.016,0.89,0.002,0.003,0.055
QAc-G-0042,0,0.004,0.005,0.003,0.952,0.004,0.004,0.018,0.002,0.006,0.004
QAc-G-0043,0,0.003,0.003,0.006,0.008,0.003,0.004,0.957,0.004,0.008,0.003
QAc-G-0044,0,0.004,0.009,0.003,0.926,0.007,0.005,0.016,0.003,0.007,0.018
QAc-G-0045,0,0.004,0.004,0.018,0.908,0.004,0.006,0.033,0.007,0.006,0.01
QAc-G-0046,0,0.003,0.003,0.005,0.005,0.005,0.007,0.955,0.01,0.002,0.003
QAc-G-0047,0,0.005,0.014,0.02,0.013,0.009,0.009,0.893,0.024,0.008,0.005
QAc-G-0048,0,0.009,0.005,0.003,0.028,0.006,0.007,0.932,0.002,0.004,0.004
QAc-G-0049,0,0.003,0.002,0.007,0.003,0.003,0.003,0.002,0.972,0.004,0.002
QAc-G-0050,0,0.005,0.029,0.06,0.004,0.849,0.015,0.006,0.011,0.018,0.005
QAc-G-0051,0,0.004,0.002,0.004,0.002,0.002,0.002,0.002,0.976,0.003,0.002
QAc-G-0052,0,0.003,0.003,0.95,0.005,0.005,0.006,0.008,0.007,0.004,0.009
QAc-G-0053,0,0.006,0.002,0.92,0.005,0.006,0.003,0.034,0.013,0.007,0.004
QAc-G-0054,0,0.003,0.037,0.532,0.006,0.287,0.087,0.038,0.003,0.004,0.004
QAc-G-0055,0,0.005,0.134,0.622,0.015,0.182,0.017,0.015,0.005,0.004,0.003
QAc-G-0056,0,0.007,0.012,0.058,0.01,0.817,0.067,0.005,0.004,0.011,0.009
QAc-G-0057,0,0.003,0.003,0.005,0.003,0.003,0.002,0.003,0.973,0.003,0.002
QAc-G-0058,-6,0.003,0.002,0.004,0.003,0.002,0.003,0.002,0.975,0.003,0.002
QAc-G-0059,0,0.003,0.009,0.5,0.003,0.278,0.006,0.19,0.006,0.002,0.003
QAc-G-0060,-6,0.006,0.004,0.91,0.006,0.028,0.005,0.009,0.012,0.012,0.008
QAc-G-0276,0,0.631,0.004,0.011,0.019,0.006,0.005,0.014,0.005,0.302,0.003
QAc-G-0279,0,0.004,0.002,0.004,0.003,0.003,0.003,0.003,0.005,0.971,0.002
QAc-G-0280,-6,0.005,0.003,0.003,0.007,0.005,0.004,0.005,0.004,0.96,0.004
QAc-G-0281,0,0.003,0.003,0.968,0.003,0.003,0.003,0.003,0.007,0.005,0.003
QAc-G-0018,0,0.005,0.014,0.02,0.869,0.019,0.008,0.04,0.013,0.006,0.005
QAc-G-0019,0,0.008,0.003,0.003,0.925,0.005,0.006,0.01,0.003,0.008,0.029
QAc-G-0020,0,0.003,0.003,0.003,0.004,0.005,0.002,0.972,0.003,0.002,0.003
QAc-G-0021,-6,0.002,0.003,0.006,0.012,0.004,0.002,0.919,0.015,0.003,0.033
QAc-G-0022,-6,0.013,0.009,0.023,0.15,0.047,0.092,0.589,0.013,0.004,0.061
QAc-G-0023,0,0.005,0.003,0.349,0.003,0.003,0.002,0.003,0.627,0.003,0.002
QAc-G-0024,0,0.002,0.003,0.005,0.005,0.003,0.003,0.003,0.971,0.003,0.003
QAc-G-0016,0,0.007,0.282,0.323,0.013,0.323,0.021,0.011,0.003,0.012,0.004
QAc-G-0017,0,0.007,0.717,0.003,0.007,0.035,0.011,0.01,0.003,0.005,0.203
QAc-G-0250,0,0.296,0.043,0.006,0.008,0.448,0.012,0.054,0.008,0.118,0.007
QAc-G-0003,-6,0.01,0.003,0.005,0.005,0.003,0.006,0.003,0.003,0.959,0.003
QAc-G-0004,0,0.006,0.853,0.006,0.017,0.02,0.005,0.07,0.014,0.003,0.006
QAc-G-0005,0,0.002,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.974
QAc-G-0006,-6,0.012,0.88,0.004,0.007,0.053,0.014,0.019,0.002,0.005,0.003
QAc-G-0283,0,0.143,0.031,0.004,0.007,0.469,0.328,0.007,0.004,0.004,0.003
QAc-G-0265,0,0.296,0.008,0.005,0.029,0.183,0.009,0.008,0.454,0.004,0.003
QAc-G-0266,0,0.003,0.002,0.006,0.002,0.002,0.002,0.002,0.974,0.004,0.002
QAc-G-0267,0,0.627,0.005,0.008,0.111,0.01,0.01,0.128,0.004,0.004,0.093
QAc-G-0268,-20,0.008,0.018,0.008,0.006,0.408,0.007,0.005,0.003,0.525,0.012
QAc-G-0269,0,0.003,0.002,0.003,0.004,0.003,0.002,0.004,0.005,0.971,0.003
QAc-G-0270,-6,0.004,0.003,0.003,0.962,0.004,0.004,0.006,0.003,0.004,0.007
QAc-G-0271,0,0.008,0.012,0.005,0.492,0.216,0.009,0.121,0.003,0.004,0.13
QAc-G-0272,-6,0.008,0.006,0.005,0.934,0.005,0.005,0.016,0.004,0.014,0.003
QAc-G-0273,0,0.004,0.004,0.956,0.003,0.004,0.004,0.004,0.014,0.004,0.004
QAc-G-0274,0,0.002,0.002,0.002,0.004,0.002,0.003,0.003,0.002,0.002,0.976
QAc-G-0251,-6,0.003,0.01,0.004,0.95,0.005,0.006,0.005,0.005,0.004,0.008
QAc-G-0252,0,0.005,0.02,0.008,0.562,0.017,0.028,0.341,0.004,0.005,0.009
QAc-G-0253,0,0.004,0.003,0.953,0.003,0.004,0.003,0.006,0.014,0.006,0.003
QAc-G-0254,0,0.003,0.005,0.054,0.004,0.008,0.003,0.003,0.913,0.004,0.003
QAc-G-0255,0,0.009,0.917,0.005,0.019,0.019,0.007,0.009,0.004,0.004,0.006
QAc-G-0256,0,0.006,0.949,0.005,0.008,0.005,0.003,0.004,0.003,0.008,0.008
QAc-G-0257,0,0.006,0.835,0.021,0.006,0.025,0.048,0.013,0.002,0.003,0.041
QAc-G-0258,0,0.004,0.963,0.003,0.005,0.008,0.003,0.004,0.002,0.002,0.006
QAc-G-0259,0,0.002,0.009,0.002,0.004,0.964,0.008,0.006,0.002,0.002,0.002
QAc-G-0260,0,0.01,0.022,0.009,0.011,0.808,0.038,0.009,0.005,0.035,0.053
QAc-G-0261,0,0.004,0.063,0.005,0.006,0.473,0.008,0.015,0.003,0.004,0.419
QAc-G-0262,0,0.016,0.21,0.011,0.005,0.688,0.016,0.006,0.004,0.014,0.03
QAc-G-0010,0,0.899,0.003,0.007,0.005,0.009,0.009,0.017,0.015,0.032,0.004
QAc-G-0011,0,0.003,0.004,0.004,0.006,0.021,0.943,0.007,0.004,0.004,0.005
QAc-G-0015,0,0.011,0.132,0.302,0.008,0.05,0.048,0.013,0.427,0.003,0.006
QAc-G-0106,0,0.003,0.919,0.003,0.016,0.018,0.007,0.005,0.002,0.002,0.026
QAc-G-0107,0,0.008,0.946,0.007,0.005,0.014,0.005,0.003,0.004,0.005,0.003
QAc-G-0108,0,0.003,0.963,0.002,0.006,0.004,0.004,0.005,0.002,0.006,0.004
QAc-G-0109,0,0.008,0.835,0.015,0.009,0.055,0.026,0.006,0.007,0.005,0.033
QAc-G-0110,0,0.019,0.813,0.007,0.05,0.02,0.011,0.016,0.007,0.055,0.002
QAc-G-0111,0,0.021,0.922,0.004,0.008,0.008,0.007,0.013,0.006,0.005,0.005
QAc-G-0112,0,0.013,0.903,0.006,0.004,0.022,0.004,0.005,0.012,0.029,0.003
QAc-G-0113,0,0.018,0.818,0.08,0.005,0.04,0.006,0.006,0.002,0.007,0.018
QAc-G-0114,0,0.009,0.842,0.014,0.045,0.037,0.005,0.019,0.013,0.013,0.003
QAc-G-0115,0,0.004,0.952,0.004,0.004,0.011,0.004,0.005,0.003,0.008,0.005
QAc-G-0116,0,0.013,0.935,0.006,0.004,0.01,0.006,0.003,0.007,0.011,0.006
QAc-G-0117,0,0.062,0.435,0.018,0.107,0.147,0.012,0.129,0.007,0.005,0.077
QAc-G-0118,0,0.015,0.924,0.002,0.007,0.008,0.011,0.004,0.002,0.003,0.023
QAc-G-0119,0,0.003,0.912,0.004,0.015,0.015,0.004,0.018,0.005,0.002,0.021
QAc-G-0120,0,0.007,0.828,0.007,0.018,0.107,0.013,0.006,0.005,0.005,0.005
QAc-G-0121,0,0.004,0.006,0.003,0.005,0.004,0.003,0.008,0.004,0.007,0.955
QAc-G-0122,0,0.009,0.007,0.004,0.007,0.005,0.005,0.01,0.005,0.035,0.914
QAc-G-0123,0,0.002,0.002,0.003,0.004,0.002,0.002,0.004,0.002,0.002,0.977
QAc-G-0124,-6,0.003,0.003,0.003,0.006,0.003,0.004,0.003,0.003,0.003,0.97
QAc-G-0125,0,0.038,0.034,0.033,0.004,0.283,0.045,0.018,0.059,0.011,0.475
QAc-G-0126,0,0.005,0.143,0.034,0.008,0.584,0.014,0.016,0.003,0.007,0.186
QAc-G-0127,0,0.004,0.007,0.007,0.006,0.007,0.009,0.005,0.003,0.003,0.949
QAc-G-0128,0,0.003,0.003,0.003,0.004,0.004,0.003,0.002,0.003,0.005,0.969
QAc-G-0129,0,0.003,0.003,0.002,0.004,0.002,0.002,0.002,0.002,0.003,0.977
QAc-G-0130,0,0.008,0.03,0.003,0.007,0.007,0.016,0.011,0.002,0.004,0.913
QAc-G-0131,0,0.003,0.005,0.005,0.006,0.004,0.004,0.006,0.003,0.005,0.96
QAc-G-0132,0,0.02,0.153,0.009,0.007,0.026,0.005,0.006,0.021,0.013,0.741
QAc-G-0133,0,0.006,0.003,0.003,0.008,0.004,0.003,0.005,0.003,0.005,0.959
QAc-G-0134,0,0.003,0.004,0.003,0.004,0.003,0.003,0.004,0.008,0.004,0.964
QAc-G-0135,0,0.004,0.941,0.007,0.01,0.007,0.006,0.009,0.007,0.006,0.003
QAc-G-0136,0,0.13,0.81,0.006,0.006,0.015,0.013,0.004,0.007,0.005,0.005
QAc-G-0137,0,0.006,0.908,0.003,0.013,0.022,0.005,0.007,0.003,0.004,0.028
QAc-G-0138,0,0.033,0.896,0.009,0.003,0.01,0.034,0.002,0.004,0.002,0.006
QAc-G-0139,0,0.004,0.893,0.003,0.016,0.008,0.005,0.043,0.002,0.003,0.024
QAc-G-0140,-6,0.009,0.849,0.008,0.04,0.018,0.005,0.014,0.003,0.005,0.049
QAc-G-0141,0,0.017,0.364,0.054,0.036,0.4,0.039,0.043,0.005,0.016,0.024
QAc-G-0142,0,0.003,0.968,0.002,0.008,0.004,0.003,0.004,0.002,0.003,0.003
QAc-G-0143,0,0.004,0.004,0.006,0.006,0.962,0.004,0.004,0.002,0.005,0.003
QAc-G-0144,-6,0.015,0.461,0.006,0.005,0.495,0.004,0.005,0.004,0.003,0.002
QAc-G-0145,0,0.005,0.003,0.003,0.005,0.003,0.003,0.003,0.003,0.97,0.002
QAc-G-0146,0,0.003,0.002,0.003,0.004,0.003,0.003,0.002,0.002,0.003,0.975
QAc-G-0147,0,0.034,0.09,0.009,0.024,0.301,0.277,0.011,0.003,0.008,0.243
QAc-G-0148,0,0.029,0.14,0.004,0.011,0.79,0.005,0.007,0.004,0.004,0.005
QAc-G-0149,0,0.003,0.003,0.002,0.004,0.003,0.003,0.005,0.003,0.004,0.97
QAc-G-0150,0,0.005,0.003,0.004,0.003,0.003,0.003,0.003,0.004,0.969,0.003
QAc-G-0151,0,0.003,0.003,0.003,0.005,0.003,0.003,0.004,0.003,0.003,0.971
QAc-G-0152,0,0.002,0.002,0.007,0.005,0.003,0.003,0.004,0.003,0.002,0.967
QAc-G-0153,0,0.067,0.006,0.002,0.011,0.009,0.019,0.007,0.002,0.002,0.875
QAc-G-0154,0,0.015,0.025,0.003,0.028,0.006,0.004,0.015,0.003,0.012,0.889
QAc-G-0155,0,0.003,0.002,0.003,0.005,0.003,0.003,0.005,0.003,0.003,0.971
QAc-G-0158,0,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.003,0.003,0.976
QAc-G-0159,0,0.004,0.905,0.005,0.008,0.028,0.01,0.008,0.009,0.012,0.01
QAc-G-0160,0,0.003,0.002,0.003,0.002,0.002,0.002,0.002,0.002,0.979,0.002
QAc-G-0161,0,0.003,0.002,0.003,0.003,0.002,0.002,0.003,0.002,0.977,0.002
QAc-G-0162,0,0.573,0.005,0.006,0.124,0.035,0.009,0.17,0.007,0.067,0.005
QAc-G-0163,0,0.026,0.017,0.003,0.065,0.026,0.007,0.039,0.002,0.813,0.003
QAc-G-0164,0,0.003,0.003,0.014,0.003,0.012,0.058,0.005,0.003,0.896,0.002
QAc-G-0165,0,0.006,0.004,0.003,0.007,0.004,0.005,0.004,0.002,0.959,0.007
QAc-G-0166,0,0.003,0.002,0.003,0.005,0.003,0.003,0.003,0.003,0.972,0.002
QAc-G-0167,0,0.004,0.003,0.003,0.004,0.003,0.003,0.004,0.004,0.968,0.003
QAc-G-0168,0,0.003,0.002,0.003,0.003,0.003,0.002,0.002,0.003,0.977,0.002
QAc-G-0169,-6,0.1,0.086,0.004,0.008,0.59,0.011,0.004,0.005,0.188,0.004
QAc-G-0170,0,0.005,0.003,0.004,0.005,0.004,0.004,0.004,0.004,0.963,0.005
QAc-G-0171,0,0.005,0.002,0.003,0.003,0.003,0.003,0.003,0.003,0.971,0.002
QAc-G-0172,0,0.019,0.843,0.008,0.017,0.057,0.013,0.004,0.009,0.018,0.011
QAc-G-0173,0,0.506,0.003,0.004,0.003,0.003,0.003,0.003,0.009,0.464,0.003
QAc-G-0174,0,0.945,0.004,0.005,0.007,0.004,0.003,0.004,0.005,0.021,0.003
QAc-G-0175,0,0.006,0.003,0.004,0.003,0.002,0.003,0.003,0.003,0.971,0.002
QAc-G-0176,0,0.006,0.005,0.011,0.07,0.015,0.005,0.074,0.003,0.808,0.004
QAc-G-0177,0,0.006,0.002,0.004,0.004,0.003,0.003,0.002,0.003,0.97,0.003
QAc-G-0178,0,0.01,0.004,0.013,0.004,0.014,0.239,0.003,0.007,0.692,0.014
QAc-G-0179,-6,0.006,0.002,0.003,0.003,0.003,0.002,0.003,0.003,0.973,0.002
QAc-G-0180,0,0.003,0.002,0.003,0.003,0.002,0.003,0.002,0.002,0.977,0.002
QAc-G-0181,0,0.004,0.003,0.002,0.01,0.004,0.005,0.007,0.002,0.958,0.003
QAc-G-0182,0,0.537,0.006,0.003,0.005,0.006,0.004,0.004,0.002,0.427,0.005
QAc-G-0183,-6,0.015,0.007,0.008,0.004,0.012,0.004,0.003,0.003,0.94,0.004
QAc-G-0184,0,0.004,0.003,0.003,0.003,0.003,0.002,0.003,0.002,0.974,0.003
QAc-G-0185,0,0.058,0.01,0.007,0.011,0.015,0.121,0.005,0.004,0.736,0.033
QAc-G-0186,0,0.004,0.003,0.002,0.011,0.004,0.005,0.008,0.002,0.96,0.002
QAc-G-0187,0,0.005,0.005,0.026,0.013,0.023,0.109,0.012,0.032,0.771,0.005
QAc-G-0188,0,0.016,0.43,0.004,0.019,0.278,0.007,0.044,0.002,0.196,0.004
QAc-G-0189,0,0.04,0.004,0.012,0.003,0.005,0.006,0.003,0.012,0.913,0.002
QAc-G-0190,0,0.004,0.003,0.003,0.004,0.003,0.003,0.003,0.004,0.968,0.004
QAc-G-0191,0,0.005,0.003,0.004,0.004,0.003,0.003,0.003,0.004,0.967,0.004
QAc-G-0192,0,0.003,0.002,0.002,0.003,0.002,0.002,0.002,0.003,0.977,0.002
QAc-G-0193,0,0.003,0.003,0.004,0.004,0.003,0.004,0.003,0.003,0.97,0.004
QAc-G-0194,0,0.004,0.003,0.005,0.006,0.004,0.005,0.004,0.003,0.963,0.003
QAc-G-0195,0,0.875,0.004,0.011,0.008,0.004,0.004,0.008,0.026,0.057,0.002
QAc-G-0196,0,0.332,0.003,0.004,0.004,0.004,0.003,0.003,0.009,0.636,0.002
QAc-G-0197,0,0.003,0.002,0.003,0.003,0.002,0.002,0.002,0.003,0.977,0.002
QAc-G-0198,0,0.006,0.003,0.002,0.005,0.003,0.002,0.003,0.003,0.97,0.003
QAc-G-0199,0,0.138,0.004,0.01,0.007,0.016,0.111,0.018,0.002,0.68,0.015
QAc-G-0200,0,0.006,0.003,0.003,0.01,0.004,0.005,0.005,0.003,0.959,0.002
QAc-G-0201,0,0.541,0.002,0.003,0.004,0.01,0.003,0.004,0.003,0.427,0.002
QAc-G-0202,-6,0.421,0.006,0.01,0.004,0.004,0.003,0.004,0.012,0.534,0.003
QAc-G-0203,0,0.004,0.005,0.013,0.004,0.009,0.002,0.004,0.006,0.95,0.003
QAc-G-0204,0,0.006,0.003,0.003,0.005,0.004,0.003,0.005,0.005,0.964,0.003
QAc-G-0205,0,0.002,0.002,0.004,0.002,0.002,0.002,0.002,0.979,0.003,0.002
QAc-G-0206,0,0.004,0.065,0.038,0.009,0.177,0.006,0.137,0.557,0.003,0.004
QAc-G-0207,0,0.004,0.004,0.954,0.004,0.005,0.005,0.006,0.008,0.006,0.003
QAc-G-0208,0,0.003,0.002,0.006,0.003,0.003,0.003,0.002,0.972,0.003,0.003
QAc-G-0209,0,0.004,0.002,0.006,0.003,0.003,0.003,0.002,0.97,0.004,0.002
QAc-G-0210,0,0.002,0.003,0.803,0.003,0.004,0.004,0.003,0.173,0.003,0.002
QAc-G-0211,0,0.003,0.003,0.973,0.002,0.003,0.003,0.002,0.006,0.002,0.003
QAc-G-0212,0,0.003,0.002,0.694,0.004,0.003,0.003,0.004,0.279,0.004,0.003
QAc-G-0213,0,0.003,0.002,0.954,0.005,0.003,0.004,0.005,0.016,0.005,0.003
QAc-G-0214,0,0.003,0.002,0.005,0.002,0.002,0.002,0.002,0.976,0.003,0.002
QAc-G-0215,0,0.003,0.003,0.964,0.003,0.003,0.003,0.003,0.011,0.004,0.002
QAc-G-0216,0,0.389,0.164,0.052,0.018,0.213,0.006,0.013,0.124,0.015,0.005
QAc-G-0217,0,0.006,0.005,0.93,0.005,0.005,0.005,0.004,0.024,0.002,0.013
QAc-G-0218,0,0.003,0.002,0.964,0.004,0.004,0.005,0.005,0.005,0.004,0.003
QAc-G-0219,0,0.005,0.015,0.927,0.009,0.01,0.005,0.011,0.004,0.006,0.008
QAc-G-0220,0,0.003,0.003,0.949,0.004,0.021,0.004,0.003,0.006,0.003,0.003
QAc-G-0221,0,0.013,0.004,0.912,0.005,0.007,0.022,0.014,0.013,0.004,0.006
QAc-G-0222,0,0.003,0.003,0.006,0.003,0.003,0.003,0.003,0.971,0.004,0.003
QAc-G-0223,0,0.003,0.003,0.945,0.005,0.003,0.005,0.004,0.025,0.003,0.004
QAc-G-0224,0,0.004,0.002,0.965,0.003,0.004,0.003,0.003,0.009,0.006,0.002
QAc-G-0226,0,0.003,0.002,0.006,0.003,0.003,0.003,0.003,0.973,0.003,0.003
QAc-G-0227,0,0.004,0.004,0.003,0.951,0.004,0.004,0.011,0.003,0.004,0.011
QAc-G-0228,-6,0.004,0.004,0.004,0.036,0.004,0.006,0.93,0.004,0.005,0.004
QAc-G-0229,0,0.006,0.008,0.004,0.946,0.007,0.008,0.006,0.007,0.004,0.003
QAc-G-0230,0,0.007,0.014,0.011,0.089,0.008,0.006,0.817,0.036,0.008,0.003
QAc-G-0231,0,0.003,0.003,0.962,0.003,0.003,0.003,0.003,0.012,0.006,0.003
QAc-G-0232,0,0.002,0.004,0.004,0.038,0.007,0.007,0.926,0.002,0.003,0.007
QAc-G-0233,0,0.004,0.003,0.035,0.038,0.093,0.142,0.67,0.006,0.005,0.004
QAc-G-0234,0,0.009,0.004,0.003,0.945,0.004,0.007,0.008,0.005,0.01,0.004
QAc-G-0235,0,0.028,0.908,0.007,0.007,0.019,0.01,0.006,0.009,0.003,0.002
QAc-G-0236,0,0.006,0.005,0.003,0.01,0.004,0.004,0.952,0.004,0.005,0.008
QAc-G-0237,0,0.009,0.01,0.025,0.849,0.015,0.019,0.024,0.007,0.015,0.027
QAc-G-0238,0,0.005,0.004,0.007,0.086,0.006,0.006,0.867,0.003,0.006,0.01
QAc-G-0239,0,0.003,0.003,0.003,0.005,0.004,0.003,0.971,0.003,0.003,0.003
QAc-G-0240,0,0.003,0.006,0.002,0.963,0.004,0.004,0.008,0.002,0.003,0.005
QAc-G-0241,0,0.053,0.027,0.007,0.084,0.053,0.024,0.727,0.008,0.009,0.007
QAc-G-0242,0,0.004,0.004,0.011,0.021,0.008,0.011,0.924,0.005,0.005,0.007
QAc-G-0243,0,0.009,0.015,0.039,0.076,0.089,0.135,0.567,0.007,0.004,0.06
QAc-G-0244,0,0.006,0.014,0.007,0.924,0.018,0.004,0.012,0.006,0.005,0.003
QAc-G-0245,0,0.005,0.004,0.003,0.956,0.004,0.004,0.007,0.003,0.005,0.01
QAc-G-0246,0,0.002,0.003,0.003,0.004,0.003,0.003,0.972,0.002,0.004,0.004
QAc-G-0247,0,0.003,0.003,0.003,0.004,0.003,0.003,0.976,0.002,0.002,0.002
QAc-G-0248,0,0.003,0.005,0.004,0.907,0.006,0.004,0.062,0.003,0.003,0.004
