Ind,Population,C1,C2,C3,C4,C5,C6,C7,C8,C9
QAc-G-0118,TMA,13,0.003,0.027,0.013,0.011,0.923,0.006,0.009,0.005
QAc-G-0119,TMA,13,0.002,0.023,0.003,0.004,0.906,0.025,0.017,0.014
QAc-G-0120,TMA,13,0.006,0.005,0.007,0.011,0.819,0.016,0.119,0.01
QAc-G-0121,TMA,13,0.007,0.956,0.004,0.003,0.007,0.004,0.004,0.01
QAc-G-0122,TMA,13,0.037,0.916,0.009,0.005,0.008,0.005,0.005,0.011
QAc-G-0123,TMA,13,0.002,0.979,0.002,0.002,0.002,0.004,0.002,0.004
QAc-G-0124,TMA,13,0.003,0.971,0.003,0.004,0.004,0.005,0.003,0.004
QAc-G-0125,TMA,13,0.011,0.489,0.045,0.04,0.038,0.007,0.308,0.008
QAc-G-0126,TMA,13,0.007,0.222,0.005,0.014,0.13,0.006,0.591,0.014
QAc-G-0127,TMA,13,0.003,0.95,0.004,0.01,0.008,0.006,0.006,0.007
QAc-G-0128,TMA,13,0.006,0.972,0.003,0.003,0.003,0.004,0.003,0.003
QAc-G-0129,TMA,13,0.003,0.979,0.002,0.003,0.003,0.003,0.002,0.003
QAc-G-0130,TMA,13,0.004,0.909,0.008,0.018,0.036,0.005,0.006,0.012
QAc-G-0131,TMA,13,0.005,0.964,0.003,0.004,0.004,0.007,0.004,0.006
QAc-G-0132,TMA,13,0.014,0.746,0.02,0.006,0.161,0.011,0.024,0.004
QAc-G-0133,TMA,13,0.004,0.959,0.005,0.003,0.003,0.005,0.005,0.011
QAc-G-0134,TMA,13,0.004,0.969,0.003,0.003,0.004,0.005,0.004,0.004
QAc-G-0135,TMA,13,0.006,0.003,0.004,0.007,0.944,0.011,0.007,0.011
QAc-G-0136,TMA,13,0.005,0.006,0.116,0.012,0.83,0.005,0.014,0.005
QAc-G-0137,TMA,13,0.004,0.034,0.005,0.006,0.916,0.012,0.012,0.008
QAc-G-0138,TMA,13,0.003,0.006,0.031,0.033,0.902,0.003,0.014,0.002
QAc-G-0139,TMA,13,0.003,0.026,0.003,0.005,0.896,0.01,0.007,0.047
QAc-G-0140,TMA,13,0.005,0.044,0.008,0.006,0.862,0.037,0.015,0.017
QAc-G-0141,TMA,13,0.015,0.025,0.021,0.036,0.43,0.052,0.356,0.035
QAc-G-0142,TMA,13,0.003,0.003,0.003,0.004,0.966,0.01,0.005,0.004
QAc-G-0143,TMA,13,0.005,0.003,0.004,0.003,0.004,0.004,0.966,0.006
QAc-G-0144,TMA,13,0.004,0.003,0.015,0.004,0.409,0.005,0.55,0.006
QAc-G-0145,TMA,13,0.973,0.002,0.005,0.003,0.003,0.003,0.003,0.004
QAc-G-0146,TMA,13,0.003,0.976,0.003,0.003,0.002,0.003,0.003,0.003
QAc-G-0147,TMA,13,0.007,0.285,0.031,0.335,0.101,0.01,0.201,0.024
QAc-G-0148,TMA,13,0.004,0.006,0.043,0.006,0.313,0.012,0.598,0.013
QAc-G-0149,TMA,13,0.004,0.972,0.003,0.003,0.003,0.004,0.003,0.005
QAc-G-0150,TMA,13,0.974,0.003,0.004,0.003,0.002,0.003,0.003,0.003
QAc-G-0151,TMA,13,0.004,0.972,0.003,0.003,0.003,0.005,0.002,0.004
QAc-G-0152,TMA,13,0.002,0.972,0.003,0.003,0.002,0.005,0.003,0.005
QAc-G-0153,TMA,13,0.003,0.879,0.063,0.018,0.007,0.005,0.011,0.011
QAc-G-0154,TMA,13,0.011,0.888,0.013,0.004,0.024,0.005,0.005,0.046
QAc-G-0155,TMA,13,0.003,0.973,0.004,0.003,0.002,0.005,0.002,0.005
QAc-G-0158,TMA,13,0.003,0.979,0.003,0.003,0.003,0.003,0.003,0.002
QAc-G-0159,TMA,13,0.012,0.011,0.004,0.01,0.914,0.006,0.027,0.01
QAc-G-0160,TMA,13,0.98,0.003,0.003,0.002,0.002,0.002,0.002,0.002
QAc-G-0161,TMA,13,0.98,0.002,0.003,0.002,0.002,0.003,0.002,0.003
QAc-G-0162,TMA,13,0.065,0.005,0.538,0.008,0.005,0.027,0.029,0.315
QAc-G-0163,TMA,13,0.824,0.002,0.02,0.007,0.02,0.064,0.024,0.036
QAc-G-0164,TMA,13,0.901,0.002,0.003,0.055,0.004,0.006,0.015,0.004
QAc-G-0165,TMA,13,0.961,0.007,0.006,0.005,0.004,0.005,0.004,0.005
QAc-G-0166,TMA,13,0.974,0.003,0.003,0.003,0.002,0.005,0.003,0.004
QAc-G-0167,TMA,13,0.971,0.003,0.004,0.004,0.003,0.004,0.003,0.004
QAc-G-0168,TMA,13,0.979,0.002,0.003,0.002,0.002,0.003,0.002,0.003
QAc-G-0169,TMA,13,0.202,0.005,0.107,0.015,0.073,0.037,0.552,0.004
QAc-G-0170,TMA,13,0.966,0.005,0.006,0.004,0.003,0.004,0.004,0.004
QAc-G-0171,TMA,13,0.973,0.003,0.006,0.004,0.002,0.003,0.003,0.004
