Ind,Pop,C1,C2
ZFFDSP08,Faver-Dykes,0.987,0.013
ZFFDSP10,Faver-Dykes,0.985,0.015
ZFFDSP11,Faver-Dykes,0.982,0.018
ZFFDSP12,Faver-Dykes,0.99,0.01
ZFFDSP13,Faver-Dykes,0.982,0.018
ZFFDSP14,Faver-Dykes,0.983,0.017
ZFFDSP16,Faver-Dykes,0.979,0.021
ZFFDSP17,Faver-Dykes,0.987,0.013
ZFFDSP18,Faver-Dykes,0.984,0.016
ZFFDSP19,Faver-Dykes,0.986,0.014
ZFFDSP21,Faver-Dykes,0.989,0.011
ZFFDSP22,Faver-Dykes,0.989,0.011
ZFFDSP23,Faver-Dykes,0.99,0.01
ZFFDSP24,Faver-Dykes,0.985,0.015
ZFFDSP26,Faver-Dykes,0.986,0.014
ZFFDSP27,Faver-Dykes,0.985,0.015
ZFFDSP28,Faver-Dykes,0.863,0.137
ZFFDSP30,Faver-Dykes,0.973,0.027
ZFFDSP31,Faver-Dykes,0.986,0.014
ZFFDSP32,Faver-Dykes,0.987,0.013
ZFFDSP33,Faver-Dykes,0.989,0.011
ZFFDSP34,Faver-Dykes,0.988,0.012
ZFFDSP35,Faver-Dykes,0.985,0.015
ZFFDSP37,Faver-Dykes,0.985,0.015
ZFFDSP38,Faver-Dykes,0.985,0.015
ZFFDSP39,Faver-Dykes,0.989,0.011
ZFFDSP40,Faver-Dykes,0.986,0.014
ZFFDSP42,Faver-Dykes,0.989,0.011
ZFFDSP43,Faver-Dykes,0.989,0.011
ZFFDSP44,Faver-Dykes,0.984,0.016
ZFFDSP45,Faver-Dykes,0.987,0.013
ZFFDSP46,Faver-Dykes,0.985,0.015
ZFFDSP47,Faver-Dykes,0.989,0.011
ZFFDSP48,Faver-Dykes,0.987,0.013
,,,
ZFLTI01,Little Talbot,0.987,0.013
ZFLTI02,Little Talbot,0.986,0.014
ZFLTI03,Little Talbot,0.989,0.011
ZFLTI04,Little Talbot,0.981,0.019
ZFLTI05,Little Talbot,0.987,0.013
ZFLTI06,Little Talbot,0.987,0.013
ZFLTI07,Little Talbot,0.985,0.015
ZFLTI08,Little Talbot,0.981,0.019
ZFLTI09,Little Talbot,0.983,0.017
ZFLTI10,Little Talbot,0.986,0.014
ZFLTI11,Little Talbot,0.988,0.012
ZFLTI12,Little Talbot,0.988,0.012
ZFLTI13,Little Talbot,0.986,0.014
ZFLTI14,Little Talbot,0.985,0.015
,,,
ZFONF101,Ocala 1,0.989,0.011
ZFONF102,Ocala 1,0.978,0.022
ZFONF103,Ocala 1,0.986,0.014
ZFONF104,Ocala 1,0.992,0.008
ZFONF105,Ocala 1,0.991,0.009
ZFONF106,Ocala 1,0.989,0.011
ZFONF107,Ocala 1,0.889,0.111
ZFONF108,Ocala 1,0.98,0.02
ZFONF109,Ocala 1,0.983,0.017
ZFONF110,Ocala 1,0.992,0.008
ZFONF111,Ocala 1,0.95,0.05
ZFONF112,Ocala 1,0.99,0.01
ZFONF113,Ocala 1,0.987,0.013
ZFONF115,Ocala 1,0.987,0.013
ZFONF116,Ocala 1,0.986,0.014
ZFONF117,Ocala 1,0.987,0.013
ZFONF118,Ocala 1,0.986,0.014
ZFONF119,Ocala 1,0.984,0.016
ZFONF120,Ocala 1,0.983,0.017
ZFONF121,Ocala 1,0.987,0.013
ZFONF122,Ocala 1,0.982,0.018
ZFONF123,Ocala 1,0.951,0.049
ZFONF124,Ocala 1,0.988,0.012
ZFONF125,Ocala 1,0.945,0.055
ZFONF126,Ocala 1,0.987,0.013
,,,
ZFONF201,Ocala 2,0.873,0.127
ZFONF202,Ocala 2,0.99,0.01
ZFONF203,Ocala 2,0.972,0.028
ZFONF204,Ocala 2,0.937,0.063
ZFONF206,Ocala 2,0.79,0.21
ZFONF207,Ocala 2,0.972,0.028
ZFONF208,Ocala 2,0.974,0.026
ZFONF209,Ocala 2,0.97,0.03
ZFONF210,Ocala 2,0.991,0.009
ZFONF211,Ocala 2,0.987,0.013
ZFONF212,Ocala 2,0.991,0.009
ZFONF214,Ocala 2,0.987,0.013
ZFONF215,Ocala 2,0.991,0.009
ZFONF216,Ocala 2,0.99,0.01
ZFONF217,Ocala 2,0.988,0.012
ZFONF218,Ocala 2,0.949,0.051
ZFONF219,Ocala 2,0.99,0.01
ZFONF220,Ocala 2,0.988,0.012
ZFONF222,Ocala 2,0.97,0.03
ZFONF223,Ocala 2,0.961,0.039
ZFONF224,Ocala 2,0.986,0.014
ZFONF225,Ocala 2,0.991,0.009
ZFONF226,Ocala 2,0.989,0.011
ZFONF227,Ocala 2,0.992,0.008
ZFONF228,Ocala 2,0.991,0.009
ZFONF230,Ocala 2,0.992,0.008
ZFONF231,Ocala 2,0.989,0.011
ZFONF232,Ocala 2,0.988,0.012
ZFONF233,Ocala 2,0.986,0.014
ZFONF234,Ocala 2,0.979,0.021
ZFONF235,Ocala 2,0.989,0.011
ZFONF236,Ocala 2,0.966,0.034
ZFONF238,Ocala 2,0.982,0.018
ZFONF239,Ocala 2,0.958,0.042
ZFONF240,Ocala 2,0.992,0.008
ZFONF241,Ocala 2,0.968,0.032
ZFONF242,Ocala 2,0.985,0.015
ZFONF243,Ocala 2,0.988,0.012
ZFONF244,Ocala 2,0.99,0.01
ZFONF245,Ocala 2,0.99,0.01
,,,
ZFTSP101,Tomoka 1,0.987,0.013
ZFTSP102,Tomoka 1,0.98,0.02
ZFTSP103,Tomoka 1,0.986,0.014
ZFTSP104,Tomoka 1,0.989,0.011
ZFTSP105,Tomoka 1,0.987,0.013
ZFTSP106,Tomoka 1,0.984,0.016
ZFTSP107,Tomoka 1,0.986,0.014
ZFTSP108,Tomoka 1,0.987,0.013
ZFTSP109,Tomoka 1,0.984,0.016
ZFTSP110,Tomoka 1,0.985,0.015
ZFTSP111,Tomoka 1,0.988,0.012
ZFTSP112,Tomoka 1,0.985,0.015
ZFTSP113,Tomoka 1,0.983,0.017
ZFTSP114,Tomoka 1,0.989,0.011
ZFTSP115,Tomoka 1,0.987,0.013
ZFTSP116,Tomoka 1,0.986,0.014
ZFTSP117,Tomoka 1,0.988,0.012
ZFTSP118,Tomoka 1,0.987,0.013
ZFTSP119,Tomoka 1,0.91,0.09
ZFTSP120,Tomoka 1,0.987,0.013
ZFTSP121,Tomoka 1,0.944,0.056
ZFTSP122,Tomoka 1,0.989,0.011
ZFTSP123,Tomoka 1,0.989,0.011
ZFTSP124,Tomoka 1,0.99,0.01
ZFTSP125,Tomoka 1,0.989,0.011
ZFTSP126,Tomoka 1,0.985,0.015
ZFTSP127,Tomoka 1,0.989,0.011
ZFTSP128,Tomoka 1,0.988,0.012
ZFTSP129,Tomoka 1,0.99,0.01
ZFTSP130,Tomoka 1,0.989,0.011
ZFTSP131,Tomoka 1,0.99,0.01
ZFTSP132,Tomoka 1,0.984,0.016
ZFTSP133,Tomoka 1,0.991,0.009
ZFTSP134,Tomoka 1,0.99,0.01
ZFTSP135,Tomoka 1,0.988,0.012
ZFTSP136,Tomoka 1,0.988,0.012
ZFTSP137,Tomoka 1,0.947,0.053
ZFTSP138,Tomoka 1,0.986,0.014
ZFTSP139,Tomoka 1,0.991,0.009
ZFTSP140,Tomoka 1,0.978,0.022
ZFTSP141,Tomoka 1,0.981,0.019
ZFTSP142,Tomoka 1,0.984,0.016
ZFTSP143,Tomoka 1,0.987,0.013
ZFTSP144,Tomoka 1,0.983,0.017
ZFTSP145,Tomoka 1,0.989,0.011
,,,
ZFTSP201,Tomoka 2,0.984,0.016
ZFTSP202,Tomoka 2,0.971,0.029
ZFTSP203,Tomoka 2,0.986,0.014
ZFTSP204,Tomoka 2,0.986,0.014
ZFTSP205,Tomoka 2,0.975,0.025
ZFTSP206,Tomoka 2,0.981,0.019
ZFTSP207,Tomoka 2,0.983,0.017
ZFTSP208,Tomoka 2,0.981,0.019
ZFTSP209,Tomoka 2,0.987,0.013
ZFTSP210,Tomoka 2,0.986,0.014
ZFTSP211,Tomoka 2,0.978,0.022
ZFTSP212,Tomoka 2,0.992,0.008
ZFTSP213,Tomoka 2,0.986,0.014
ZFTSP214,Tomoka 2,0.987,0.013
ZFTSP215,Tomoka 2,0.987,0.013
ZFTSP216,Tomoka 2,0.911,0.089
ZFTSP217,Tomoka 2,0.985,0.015
ZFTSP218,Tomoka 2,0.985,0.015
ZFTSP219,Tomoka 2,0.979,0.021
ZFTSP220,Tomoka 2,0.955,0.045
ZFTSP221,Tomoka 2,0.985,0.015
ZFTSP222,Tomoka 2,0.902,0.098
ZFTSP223,Tomoka 2,0.989,0.011
ZFTSP224,Tomoka 2,0.99,0.01
ZFTSP225,Tomoka 2,0.988,0.012
ZFTSP226,Tomoka 2,0.987,0.013
ZFTSP227,Tomoka 2,0.972,0.028
ZFTSP228,Tomoka 2,0.972,0.028
,,,
ZCF01,Chapman Field,0.022,0.978
ZCF02,Chapman Field,0.013,0.987
ZCF03,Chapman Field,0.031,0.969
ZCF04,Chapman Field,0.036,0.964
ZCF05,Chapman Field,0.012,0.988
ZCF06,Chapman Field,0.259,0.741
ZCF07,Chapman Field,0.022,0.978
ZCF08,Chapman Field,0.051,0.949
ZCF09,Chapman Field,0.575,0.425
ZCF10,Chapman Field,0.103,0.897
ZCF11,Chapman Field,0.027,0.973
ZCF12,Chapman Field,0.016,0.984
ZCF13,Chapman Field,0.047,0.953
ZCF14,Chapman Field,0.078,0.922
ZCF15,Chapman Field,0.028,0.972
ZCF16,Chapman Field,0.03,0.97
ZCF17,Chapman Field,0.019,0.981
ZCF18,Chapman Field,0.047,0.953
ZCF19,Chapman Field,0.017,0.983
ZCF20,Chapman Field,0.031,0.969
ZCF21,Chapman Field,0.044,0.956
ZCF22,Chapman Field,0.047,0.953
ZCF23,Chapman Field,0.034,0.966
ZCF24,Chapman Field,0.362,0.638
ZCF25,Chapman Field,0.133,0.867
ZCF26,Chapman Field,0.164,0.836
ZCF27,Chapman Field,0.022,0.978
ZCF28,Chapman Field,0.015,0.985
ZCF29,Chapman Field,0.082,0.918
ZCF30,Chapman Field,0.026,0.974
ZCF31,Chapman Field,0.031,0.969
ZCF32,Chapman Field,0.032,0.968
ZCF33,Chapman Field,0.015,0.985
ZCF34,Chapman Field,0.489,0.511
ZCF35,Chapman Field,0.049,0.951
ZCF36,Chapman Field,0.038,0.962
ZCF37,Chapman Field,0.029,0.971
ZCF38,Chapman Field,0.075,0.925
ZCF39,Chapman Field,0.83,0.17
ZCF40,Chapman Field,0.194,0.806
ZCF41,Chapman Field,0.019,0.981
ZCF42,Chapman Field,0.161,0.839
,,,
ZFB01,Bronson,0.019,0.981
ZFB02,Bronson,0.011,0.989
ZFB03,Bronson,0.025,0.975
ZFB04,Bronson,0.011,0.989
ZFB05,Bronson,0.011,0.989
ZFB06,Bronson,0.011,0.989
ZFB07,Bronson,0.026,0.974
ZFB08,Bronson,0.021,0.979
ZFB09,Bronson,0.013,0.987
ZFB10,Bronson,0.032,0.968
ZFB11,Bronson,0.025,0.975
ZFB12,Bronson,0.02,0.98
ZFB13,Bronson,0.024,0.976
ZFB14,Bronson,0.021,0.979
ZFB15,Bronson,0.009,0.991
ZFB16,Bronson,0.012,0.988
ZFB17,Bronson,0.013,0.987
ZFB18,Bronson,0.017,0.983
ZFB19,Bronson,0.053,0.947
ZFB20,Bronson,0.012,0.988
ZFB21,Bronson,0.01,0.99
ZFB22,Bronson,0.014,0.986
ZFB23,Bronson,0.028,0.972
ZFB24,Bronson,0.02,0.98
ZFB25,Bronson,0.062,0.938
ZFB26,Bronson,0.038,0.962
ZFB27,Bronson,0.022,0.978
ZFB28,Bronson,0.022,0.978
ZFB29,Bronson,0.013,0.987
ZFB30,Bronson,0.02,0.98
ZFB31,Bronson,0.051,0.949
ZFB32,Bronson,0.038,0.962
ZFB33,Bronson,0.012,0.988
ZFB34,Bronson,0.016,0.984
ZFB35,Bronson,0.021,0.979
,,,
ZFCC01,Cayo Costa,0.496,0.504
ZFCC03,Cayo Costa,0.848,0.152
ZFCC04,Cayo Costa,0.602,0.398
ZFCC05,Cayo Costa,0.619,0.381
ZFCC08,Cayo Costa,0.953,0.047
ZFCC09,Cayo Costa,0.657,0.343
ZFCC10,Cayo Costa,0.445,0.555
ZFCC11,Cayo Costa,0.803,0.197
ZFCC12,Cayo Costa,0.333,0.667
ZFCC13,Cayo Costa,0.841,0.159
ZFCC14,Cayo Costa,0.396,0.604
ZFCC15,Cayo Costa,0.575,0.425
ZFCC16,Cayo Costa,0.387,0.613
ZFCC17,Cayo Costa,0.426,0.574
ZFCC18,Cayo Costa,0.661,0.339
ZFCC19,Cayo Costa,0.404,0.596
ZFCC20,Cayo Costa,0.66,0.34
ZFCC21,Cayo Costa,0.638,0.362
ZFCC22,Cayo Costa,0.963,0.037
ZFCC26,Cayo Costa,0.529,0.471
ZFCC27,Cayo Costa,0.849,0.151
ZFCC29,Cayo Costa,0.38,0.62
ZFCC30,Cayo Costa,0.894,0.106
ZFCC32,Cayo Costa,0.54,0.46
ZFCC33,Cayo Costa,0.41,0.59
ZFCC34,Cayo Costa,0.663,0.337
ZFCC35,Cayo Costa,0.836,0.164
ZFCC36,Cayo Costa,0.558,0.442
ZFCC37,Cayo Costa,0.275,0.725
ZFCC40,Cayo Costa,0.464,0.536
ZFCC42,Cayo Costa,0.232,0.768
ZFCC44,Cayo Costa,0.8,0.2
ZFCC45,Cayo Costa,0.331,0.669
ZFCC46,Cayo Costa,0.881,0.119
ZFCC47,Cayo Costa,0.592,0.408
ZFCC48,Cayo Costa,0.751,0.249
ZFCC50,Cayo Costa,0.496,0.504
ZFCC51,Cayo Costa,0.733,0.267
ZFCC52,Cayo Costa,0.739,0.261
ZFCC53,Cayo Costa,0.682,0.318
,,,
ZFCR01,Crystal River,0.045,0.955
ZFCR02,Crystal River,0.147,0.853
ZFCR03,Crystal River,0.053,0.947
ZFCR04,Crystal River,0.062,0.938
ZFCR05,Crystal River,0.021,0.979
ZFCR06,Crystal River,0.398,0.602
ZFCR07,Crystal River,0.179,0.821
ZFCR08,Crystal River,0.119,0.881
ZFCR09,Crystal River,0.141,0.859
ZFCR11,Crystal River,0.177,0.823
ZFCR12,Crystal River,0.397,0.603
ZFCR13,Crystal River,0.242,0.758
ZFCR14,Crystal River,0.073,0.927
ZFCR15,Crystal River,0.057,0.943
ZFCR16,Crystal River,0.083,0.917
ZFCR18,Crystal River,0.025,0.975
ZFCR19,Crystal River,0.157,0.843
ZFCR20,Crystal River,0.084,0.916
ZFCR21,Crystal River,0.055,0.945
ZFCR22,Crystal River,0.077,0.923
ZFCR23,Crystal River,0.094,0.906
ZFCR24,Crystal River,0.431,0.569
ZFCR25,Crystal River,0.027,0.973
ZFCR26,Crystal River,0.129,0.871
ZFCR27,Crystal River,0.011,0.989
ZFCR28,Crystal River,0.514,0.486
ZFCR29,Crystal River,0.033,0.967
ZFCR30,Crystal River,0.083,0.917
ZFCR31,Crystal River,0.245,0.755
ZFCR33,Crystal River,0.09,0.91
ZFCR34,Crystal River,0.166,0.834
ZFCR35,Crystal River,0.018,0.982
ZFCR36,Crystal River,0.039,0.961
ZFCR37,Crystal River,0.028,0.972
ZFCR38,Crystal River,0.055,0.945
ZFCR39,Crystal River,0.205,0.795
ZFCR40,Crystal River,0.041,0.959
ZFCR41,Crystal River,0.357,0.643
ZFCR42,Crystal River,0.289,0.711
ZFCR43,Crystal River,0.197,0.803
,,,
ZFENP25,Everglades,0.033,0.967
ZFENP26,Everglades,0.023,0.977
ZFENP27,Everglades,0.329,0.671
ZFENP28,Everglades,0.029,0.971
ZFENP29,Everglades,0.022,0.978
ZFENP30,Everglades,0.035,0.965
ZFENP31,Everglades,0.041,0.959
ZFENP32,Everglades,0.051,0.949
ZFENP33,Everglades,0.023,0.977
ZFENP34,Everglades,0.019,0.981
ZFENP35,Everglades,0.035,0.965
ZFENP36,Everglades,0.014,0.986
ZFENP37,Everglades,0.023,0.977
ZFENP38,Everglades,0.072,0.928
ZFENP39,Everglades,0.018,0.982
ZFENP40,Everglades,0.019,0.981
ZFENP41,Everglades,0.047,0.953
ZFENP42,Everglades,0.021,0.979
ZFENP43,Everglades,0.232,0.768
ZFENP44,Everglades,0.034,0.966
ZFENP45,Everglades,0.449,0.551
ZFENP46,Everglades,0.046,0.954
ZFENP47,Everglades,0.079,0.921
ZFENP48,Everglades,0.045,0.955
ZFENP49,Everglades,0.06,0.94
ZFENP50,Everglades,0.155,0.845
ZFENP51,Everglades,0.061,0.939
ZFENP52,Everglades,0.144,0.856
ZFENP53,Everglades,0.102,0.898
ZFENP54,Everglades,0.265,0.735
ZFENP55,Everglades,0.021,0.979
ZFENP56,Everglades,0.05,0.95
ZFENP57,Everglades,0.021,0.979
ZFENP58,Everglades,0.268,0.732
ZFENP59,Everglades,0.029,0.971
ZFENP60,Everglades,0.02,0.98
ZFENP61,Everglades,0.015,0.985
,,,
ZFI01,Ichetucknee,0.021,0.979
ZFI02,Ichetucknee,0.031,0.969
ZFI03,Ichetucknee,0.021,0.979
ZFI04,Ichetucknee,0.017,0.983
ZFI05,Ichetucknee,0.037,0.963
ZFI06,Ichetucknee,0.084,0.916
ZFI07,Ichetucknee,0.016,0.984
ZFI08,Ichetucknee,0.013,0.987
ZFI09,Ichetucknee,0.019,0.981
ZFI10,Ichetucknee,0.066,0.934
ZFI11,Ichetucknee,0.015,0.985
ZFI12,Ichetucknee,0.027,0.973
ZFI13,Ichetucknee,0.019,0.981
ZFI14,Ichetucknee,0.053,0.947
ZFI15,Ichetucknee,0.018,0.982
ZFI16,Ichetucknee,0.019,0.981
ZFI17,Ichetucknee,0.019,0.981
ZFI18,Ichetucknee,0.015,0.985
ZFI19,Ichetucknee,0.014,0.986
ZFI20,Ichetucknee,0.024,0.976
ZFI21,Ichetucknee,0.083,0.917
ZFI22,Ichetucknee,0.023,0.977
ZFI23,Ichetucknee,0.019,0.981
ZFI24,Ichetucknee,0.026,0.974
ZFI25,Ichetucknee,0.024,0.976
ZFI26,Ichetucknee,0.014,0.986
ZFI27,Ichetucknee,0.045,0.955
,,,
ZFK01,Koreshan,0.541,0.459
ZFK02,Koreshan,0.505,0.495
ZFK03,Koreshan,0.384,0.616
ZFK04,Koreshan,0.16,0.84
ZFK05,Koreshan,0.111,0.889
ZFK06,Koreshan,0.077,0.923
ZFK07,Koreshan,0.495,0.505
ZFK08,Koreshan,0.042,0.958
ZFK10,Koreshan,0.246,0.754
ZFK11,Koreshan,0.087,0.913
ZFK12,Koreshan,0.544,0.456
ZFK13,Koreshan,0.668,0.332
ZFK14,Koreshan,0.686,0.314
ZFK15,Koreshan,0.29,0.71
ZFK16,Koreshan,0.867,0.133
,,,
ZFLB01,Broward,0.029,0.971
ZFLB02,Broward,0.015,0.985
ZFLB03,Broward,0.048,0.952
ZFLB04,Broward,0.183,0.817
ZFLB05,Broward,0.023,0.977
ZFLB06,Broward,0.032,0.968
ZFLB07,Broward,0.142,0.858
ZFLB08,Broward,0.014,0.986
ZFLB09,Broward,0.02,0.98
ZFLB10,Broward,0.024,0.976
ZFLB11,Broward,0.032,0.968
ZFLB12,Broward,0.013,0.987
ZFLB13,Broward,0.025,0.975
,,,
ZFOS01,Oscar Scherer,0.844,0.156
ZFOS02,Oscar Scherer,0.65,0.35
ZFOS03,Oscar Scherer,0.532,0.468
ZFOS04,Oscar Scherer,0.697,0.303
ZFOS05,Oscar Scherer,0.784,0.216
ZFOS06,Oscar Scherer,0.857,0.143
ZFOS07,Oscar Scherer,0.449,0.551
ZFOS08,Oscar Scherer,0.582,0.418
ZFOS09,Oscar Scherer,0.672,0.328
ZFOS10,Oscar Scherer,0.462,0.538
ZFOS11,Oscar Scherer,0.768,0.232
ZFOS12,Oscar Scherer,0.37,0.63
ZFOS13,Oscar Scherer,0.698,0.302
ZFOS14,Oscar Scherer,0.572,0.428
ZFOS15,Oscar Scherer,0.484,0.516
ZFOS16,Oscar Scherer,0.725,0.275
ZFOS17,Oscar Scherer,0.603,0.397
ZFOS18,Oscar Scherer,0.603,0.397
ZFOS19,Oscar Scherer,0.606,0.394
ZFOS20,Oscar Scherer,0.631,0.369
ZFOS21,Oscar Scherer,0.682,0.318
ZFOS22,Oscar Scherer,0.924,0.076
ZFOS23,Oscar Scherer,0.314,0.686
ZFOS24,Oscar Scherer,0.636,0.364
ZFOS25,Oscar Scherer,0.954,0.046
ZFOS26,Oscar Scherer,0.957,0.043
ZFOS27,Oscar Scherer,0.798,0.202
ZFOS28,Oscar Scherer,0.511,0.489
ZFOS29,Oscar Scherer,0.611,0.389
ZFOS30,Oscar Scherer,0.625,0.375
ZFOS31,Oscar Scherer,0.663,0.337
ZFOS32,Oscar Scherer,0.739,0.261
,,,
ZFPB01,Palm Beach,0.013,0.987
ZFPB02,Palm Beach,0.028,0.972
ZFPB03,Palm Beach,0.057,0.943
ZFPB05,Palm Beach,0.021,0.979
ZFPB06,Palm Beach,0.015,0.985
ZFPB07,Palm Beach,0.032,0.968
ZFPB08,Palm Beach,0.029,0.971
ZFPB10,Palm Beach,0.017,0.983
ZFPB11,Palm Beach,0.015,0.985
ZFPB12,Palm Beach,0.016,0.984
ZFPB13,Palm Beach,0.025,0.975
ZFPB14,Palm Beach,0.032,0.968
ZFPB15,Palm Beach,0.043,0.957
ZFPB17,Palm Beach,0.012,0.988
ZFPB18,Palm Beach,0.02,0.98
ZFPB19,Palm Beach,0.022,0.978
ZFPB20,Palm Beach,0.013,0.987
ZFPB21,Palm Beach,0.03,0.97
ZFPB22,Palm Beach,0.01,0.99
ZFPB23,Palm Beach,0.017,0.983
,,,
ZFSF01,San Felasco,0.013,0.987
ZFSF02,San Felasco,0.064,0.936
ZFSF03,San Felasco,0.015,0.985
ZFSF04,San Felasco,0.024,0.976
,,,
ZFSW101,Suwannee 1,0.151,0.849
ZFSW102,Suwannee 1,0.026,0.974
ZFSW103,Suwannee 1,0.113,0.887
ZFSW104,Suwannee 1,0.026,0.974
ZFSW105,Suwannee 1,0.132,0.868
ZFSW106,Suwannee 1,0.088,0.912
ZFSW107,Suwannee 1,0.021,0.979
ZFSW108,Suwannee 1,0.012,0.988
ZFSW109,Suwannee 1,0.037,0.963
ZFSW110,Suwannee 1,0.086,0.914
ZFSW111,Suwannee 1,0.225,0.775
ZFSW112,Suwannee 1,0.086,0.914
ZFSW113,Suwannee 1,0.104,0.896
ZFSW114,Suwannee 1,0.037,0.963
ZFSW115,Suwannee 1,0.029,0.971
ZFSW116,Suwannee 1,0.063,0.937
ZFSW117,Suwannee 1,0.126,0.874
ZFSW119,Suwannee 1,0.013,0.987
ZFSW120,Suwannee 1,0.008,0.992
ZFSW121,Suwannee 1,0.027,0.973
ZFSW122,Suwannee 1,0.046,0.954
