Ind,Pop,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25
ZFTSP109,Tomoka 1,0.031,0.008,0.004,0.005,0.005,0.003,0.188,0.036,0.003,0.009,0.008,0.005,0.01,0.015,0.436,0.007,0.003,0.041,0.006,0.081,0.005,0.046,0.007,0.033,0.003
ZFTSP110,Tomoka 1,0.008,0.008,0.004,0.005,0.006,0.003,0.043,0.113,0.003,0.014,0.015,0.022,0.021,0.136,0.378,0.005,0.003,0.046,0.008,0.008,0.005,0.072,0.064,0.008,0.004
ZFTSP111,Tomoka 1,0.005,0.004,0.004,0.007,0.004,0.003,0.028,0.027,0.002,0.031,0.007,0.03,0.024,0.077,0.665,0.004,0.003,0.007,0.004,0.005,0.003,0.019,0.028,0.005,0.004
ZFTSP112,Tomoka 1,0.007,0.015,0.004,0.021,0.005,0.003,0.108,0.011,0.005,0.013,0.008,0.045,0.039,0.336,0.309,0.005,0.003,0.009,0.004,0.007,0.005,0.008,0.016,0.007,0.008
ZFTSP113,Tomoka 1,0.013,0.008,0.005,0.007,0.005,0.003,0.027,0.021,0.003,0.014,0.009,0.008,0.009,0.015,0.736,0.007,0.003,0.027,0.005,0.019,0.007,0.024,0.008,0.013,0.004
ZFTSP114,Tomoka 1,0.005,0.011,0.002,0.007,0.003,0.002,0.022,0.007,0.003,0.005,0.008,0.102,0.006,0.047,0.72,0.003,0.002,0.005,0.003,0.004,0.002,0.006,0.008,0.011,0.003
ZFTSP115,Tomoka 1,0.009,0.013,0.004,0.009,0.006,0.003,0.025,0.01,0.005,0.006,0.008,0.011,0.027,0.223,0.507,0.004,0.003,0.04,0.003,0.023,0.006,0.009,0.024,0.018,0.004
ZFTSP116,Tomoka 1,0.008,0.006,0.005,0.02,0.004,0.003,0.026,0.028,0.003,0.033,0.014,0.049,0.02,0.034,0.663,0.006,0.003,0.009,0.005,0.013,0.004,0.022,0.011,0.006,0.005
ZFTSP117,Tomoka 1,0.003,0.003,0.003,0.004,0.003,0.004,0.065,0.03,0.003,0.006,0.004,0.018,0.013,0.028,0.707,0.003,0.003,0.005,0.003,0.004,0.006,0.016,0.052,0.006,0.007
ZFTSP118,Tomoka 1,0.005,0.006,0.004,0.006,0.003,0.004,0.022,0.012,0.003,0.008,0.008,0.103,0.03,0.2,0.513,0.003,0.003,0.006,0.004,0.004,0.006,0.012,0.011,0.005,0.02
ZFTSP119,Tomoka 1,0.018,0.004,0.014,0.004,0.01,0.007,0.024,0.023,0.004,0.007,0.005,0.025,0.021,0.071,0.213,0.009,0.007,0.018,0.009,0.024,0.01,0.023,0.013,0.402,0.036
ZFTSP120,Tomoka 1,0.003,0.009,0.003,0.005,0.003,0.004,0.032,0.037,0.003,0.045,0.012,0.142,0.071,0.371,0.164,0.003,0.002,0.006,0.003,0.003,0.006,0.032,0.021,0.006,0.015
ZFTSP121,Tomoka 1,0.013,0.003,0.007,0.005,0.01,0.007,0.086,0.009,0.012,0.008,0.004,0.536,0.005,0.016,0.162,0.023,0.011,0.004,0.025,0.008,0.003,0.011,0.007,0.016,0.01
ZFTSP122,Tomoka 1,0.006,0.009,0.003,0.006,0.004,0.002,0.017,0.027,0.003,0.018,0.012,0.065,0.041,0.2,0.507,0.003,0.003,0.012,0.003,0.007,0.003,0.017,0.011,0.018,0.003
ZFTSP123,Tomoka 1,0.004,0.002,0.002,0.003,0.003,0.002,0.008,0.027,0.003,0.006,0.004,0.004,0.019,0.028,0.818,0.002,0.002,0.006,0.003,0.005,0.005,0.015,0.019,0.008,0.004
ZFTSP124,Tomoka 1,0.005,0.005,0.002,0.004,0.004,0.002,0.015,0.045,0.003,0.005,0.011,0.006,0.023,0.035,0.723,0.003,0.002,0.015,0.003,0.006,0.003,0.036,0.029,0.012,0.002
ZFTSP125,Tomoka 1,0.005,0.004,0.002,0.002,0.003,0.002,0.008,0.009,0.003,0.005,0.004,0.006,0.007,0.022,0.836,0.002,0.002,0.01,0.003,0.006,0.003,0.008,0.015,0.027,0.003
ZFTSP126,Tomoka 1,0.009,0.005,0.004,0.005,0.004,0.003,0.011,0.048,0.004,0.017,0.006,0.028,0.018,0.061,0.63,0.005,0.003,0.041,0.004,0.017,0.004,0.043,0.011,0.014,0.003
ZFTSP127,Tomoka 1,0.008,0.005,0.003,0.004,0.003,0.002,0.035,0.015,0.003,0.006,0.006,0.006,0.019,0.023,0.793,0.003,0.003,0.011,0.003,0.008,0.003,0.017,0.007,0.013,0.003
ZFTSP128,Tomoka 1,0.004,0.005,0.003,0.004,0.004,0.003,0.015,0.014,0.004,0.005,0.009,0.021,0.007,0.023,0.805,0.004,0.003,0.007,0.004,0.005,0.005,0.009,0.031,0.005,0.003
ZFTSP129,Tomoka 1,0.005,0.011,0.002,0.005,0.005,0.002,0.068,0.084,0.002,0.023,0.045,0.015,0.129,0.069,0.39,0.003,0.002,0.008,0.003,0.005,0.006,0.057,0.041,0.015,0.003
ZFTSP130,Tomoka 1,0.006,0.003,0.003,0.002,0.003,0.002,0.015,0.008,0.003,0.004,0.003,0.01,0.006,0.098,0.788,0.003,0.002,0.005,0.003,0.005,0.002,0.005,0.008,0.009,0.003
ZFTSP131,Tomoka 1,0.004,0.004,0.002,0.003,0.004,0.003,0.025,0.013,0.002,0.004,0.006,0.016,0.01,0.347,0.376,0.003,0.002,0.01,0.002,0.004,0.003,0.011,0.135,0.007,0.003
ZFTSP132,Tomoka 1,0.007,0.007,0.005,0.018,0.004,0.003,0.359,0.158,0.002,0.024,0.008,0.066,0.027,0.022,0.054,0.006,0.003,0.015,0.005,0.005,0.003,0.175,0.01,0.008,0.006
ZFTSP133,Tomoka 1,0.004,0.026,0.002,0.005,0.005,0.003,0.114,0.055,0.003,0.008,0.018,0.035,0.092,0.082,0.161,0.003,0.002,0.037,0.003,0.006,0.003,0.035,0.016,0.278,0.004
ZFTSP134,Tomoka 1,0.006,0.009,0.003,0.007,0.004,0.002,0.061,0.017,0.002,0.085,0.011,0.028,0.014,0.026,0.636,0.004,0.002,0.008,0.004,0.006,0.003,0.015,0.004,0.041,0.003
ZFTSP135,Tomoka 1,0.005,0.004,0.003,0.003,0.003,0.003,0.018,0.008,0.002,0.003,0.004,0.018,0.011,0.714,0.145,0.002,0.002,0.009,0.002,0.004,0.002,0.008,0.017,0.005,0.004
ZFTSP136,Tomoka 1,0.004,0.004,0.003,0.003,0.003,0.003,0.008,0.026,0.003,0.014,0.004,0.057,0.011,0.714,0.056,0.002,0.002,0.026,0.003,0.004,0.003,0.018,0.016,0.008,0.005
ZFTSP137,Tomoka 1,0.019,0.015,0.005,0.006,0.011,0.007,0.031,0.066,0.026,0.019,0.01,0.219,0.021,0.234,0.087,0.011,0.012,0.07,0.016,0.017,0.003,0.053,0.009,0.021,0.011
ZFTSP138,Tomoka 1,0.007,0.006,0.004,0.007,0.004,0.003,0.024,0.125,0.004,0.015,0.011,0.048,0.046,0.075,0.436,0.005,0.004,0.022,0.004,0.007,0.004,0.087,0.039,0.009,0.004
ZFTSP139,Tomoka 1,0.004,0.004,0.002,0.003,0.003,0.003,0.008,0.023,0.003,0.017,0.004,0.02,0.029,0.31,0.456,0.002,0.002,0.008,0.003,0.004,0.002,0.017,0.041,0.028,0.003
ZFTSP140,Tomoka 1,0.021,0.009,0.004,0.012,0.006,0.003,0.041,0.027,0.009,0.004,0.006,0.025,0.038,0.477,0.162,0.007,0.006,0.059,0.005,0.026,0.004,0.021,0.018,0.005,0.005
ZFTSP141,Tomoka 1,0.013,0.014,0.006,0.022,0.005,0.004,0.014,0.013,0.006,0.02,0.004,0.308,0.026,0.33,0.07,0.005,0.005,0.016,0.005,0.02,0.004,0.009,0.023,0.048,0.009
ZFTSP142,Tomoka 1,0.011,0.005,0.006,0.006,0.005,0.003,0.021,0.032,0.003,0.005,0.008,0.357,0.012,0.216,0.215,0.005,0.002,0.025,0.004,0.011,0.003,0.028,0.006,0.005,0.007
ZFTSP143,Tomoka 1,0.007,0.011,0.005,0.005,0.005,0.004,0.143,0.02,0.002,0.011,0.025,0.047,0.014,0.161,0.154,0.004,0.002,0.012,0.004,0.007,0.005,0.015,0.32,0.013,0.005
ZFTSP144,Tomoka 1,0.007,0.006,0.007,0.008,0.003,0.004,0.339,0.033,0.004,0.006,0.011,0.115,0.033,0.116,0.173,0.005,0.004,0.01,0.006,0.018,0.008,0.025,0.043,0.008,0.01
ZFTSP145,Tomoka 1,0.005,0.007,0.003,0.005,0.003,0.003,0.028,0.012,0.003,0.012,0.008,0.28,0.014,0.2,0.35,0.003,0.003,0.008,0.003,0.005,0.003,0.01,0.016,0.011,0.004
,,,,,,,,,,,,,,,,,,,,,,,,,,
ZFTSP201,Tomoka 2,0.009,0.024,0.004,0.028,0.004,0.002,0.025,0.078,0.004,0.011,0.01,0.017,0.168,0.046,0.018,0.005,0.004,0.393,0.005,0.01,0.003,0.088,0.006,0.033,0.003
ZFTSP202,Tomoka 2,0.004,0.014,0.003,0.125,0.003,0.005,0.106,0.022,0.027,0.137,0.024,0.165,0.015,0.075,0.046,0.003,0.004,0.006,0.011,0.005,0.003,0.011,0.097,0.087,0.004
ZFTSP203,Tomoka 2,0.004,0.009,0.004,0.012,0.004,0.003,0.041,0.333,0.002,0.015,0.008,0.044,0.064,0.03,0.015,0.004,0.003,0.024,0.005,0.004,0.003,0.341,0.015,0.007,0.005
ZFTSP204,Tomoka 2,0.003,0.009,0.007,0.005,0.003,0.003,0.223,0.069,0.003,0.287,0.012,0.131,0.07,0.046,0.024,0.003,0.002,0.011,0.004,0.003,0.005,0.038,0.024,0.01,0.005
ZFTSP205,Tomoka 2,0.004,0.022,0.009,0.051,0.003,0.005,0.114,0.131,0.01,0.015,0.035,0.116,0.045,0.049,0.027,0.004,0.004,0.111,0.015,0.004,0.006,0.166,0.042,0.007,0.004
ZFTSP206,Tomoka 2,0.006,0.03,0.007,0.02,0.005,0.004,0.076,0.14,0.003,0.008,0.011,0.016,0.134,0.065,0.012,0.005,0.003,0.238,0.004,0.007,0.014,0.124,0.044,0.016,0.009
ZFTSP207,Tomoka 2,0.006,0.005,0.007,0.005,0.004,0.004,0.025,0.249,0.002,0.008,0.006,0.005,0.081,0.054,0.012,0.005,0.002,0.11,0.005,0.005,0.012,0.254,0.123,0.005,0.007
ZFTSP208,Tomoka 2,0.005,0.006,0.007,0.007,0.004,0.004,0.009,0.263,0.003,0.013,0.006,0.052,0.06,0.041,0.012,0.005,0.003,0.049,0.005,0.005,0.011,0.348,0.046,0.004,0.03
ZFTSP209,Tomoka 2,0.007,0.013,0.004,0.008,0.003,0.003,0.146,0.073,0.003,0.013,0.015,0.035,0.162,0.224,0.075,0.003,0.003,0.032,0.003,0.008,0.004,0.059,0.084,0.016,0.004
ZFTSP210,Tomoka 2,0.005,0.004,0.004,0.005,0.003,0.004,0.098,0.257,0.003,0.012,0.004,0.008,0.107,0.02,0.032,0.004,0.003,0.025,0.004,0.004,0.003,0.344,0.034,0.008,0.005
ZFTSP211,Tomoka 2,0.005,0.006,0.003,0.027,0.003,0.005,0.113,0.103,0.012,0.035,0.018,0.028,0.02,0.333,0.155,0.004,0.004,0.009,0.008,0.004,0.004,0.064,0.027,0.004,0.006
ZFTSP212,Tomoka 2,0.003,0.006,0.006,0.003,0.003,0.002,0.007,0.024,0.002,0.015,0.004,0.007,0.023,0.049,0.71,0.003,0.002,0.034,0.002,0.003,0.007,0.034,0.029,0.018,0.002
ZFTSP213,Tomoka 2,0.005,0.003,0.002,0.003,0.003,0.002,0.005,0.059,0.005,0.011,0.003,0.015,0.01,0.144,0.629,0.004,0.003,0.029,0.007,0.005,0.002,0.033,0.008,0.006,0.003
ZFTSP214,Tomoka 2,0.007,0.013,0.004,0.005,0.008,0.003,0.016,0.014,0.003,0.006,0.038,0.406,0.012,0.042,0.327,0.006,0.002,0.013,0.004,0.01,0.006,0.014,0.025,0.013,0.004
ZFTSP215,Tomoka 2,0.004,0.005,0.003,0.007,0.003,0.003,0.022,0.094,0.003,0.018,0.007,0.5,0.016,0.026,0.016,0.003,0.002,0.008,0.004,0.004,0.003,0.129,0.113,0.004,0.004
ZFTSP216,Tomoka 2,0.007,0.013,0.004,0.026,0.008,0.008,0.043,0.096,0.046,0.073,0.025,0.234,0.037,0.148,0.051,0.01,0.008,0.012,0.037,0.005,0.005,0.073,0.009,0.008,0.014
ZFTSP217,Tomoka 2,0.007,0.003,0.003,0.004,0.003,0.003,0.014,0.074,0.004,0.006,0.003,0.011,0.025,0.036,0.583,0.005,0.003,0.061,0.006,0.009,0.003,0.111,0.009,0.009,0.004
ZFTSP218,Tomoka 2,0.012,0.006,0.004,0.005,0.006,0.004,0.013,0.141,0.003,0.017,0.008,0.035,0.012,0.255,0.195,0.005,0.003,0.078,0.004,0.01,0.005,0.098,0.065,0.011,0.006
ZFTSP219,Tomoka 2,0.016,0.015,0.006,0.014,0.01,0.005,0.057,0.025,0.004,0.006,0.01,0.035,0.048,0.406,0.049,0.008,0.004,0.065,0.005,0.017,0.007,0.019,0.148,0.009,0.011
ZFTSP220,Tomoka 2,0.006,0.017,0.004,0.006,0.008,0.005,0.007,0.049,0.03,0.046,0.011,0.084,0.09,0.307,0.03,0.008,0.01,0.179,0.016,0.006,0.003,0.053,0.004,0.013,0.009
ZFTSP221,Tomoka 2,0.009,0.013,0.005,0.033,0.005,0.003,0.025,0.093,0.006,0.196,0.005,0.118,0.038,0.045,0.104,0.009,0.003,0.037,0.012,0.023,0.004,0.118,0.021,0.068,0.004
ZFTSP222,Tomoka 2,0.018,0.005,0.003,0.021,0.008,0.004,0.053,0.198,0.057,0.027,0.007,0.007,0.055,0.018,0.086,0.02,0.008,0.024,0.079,0.01,0.003,0.265,0.009,0.011,0.004
ZFTSP223,Tomoka 2,0.004,0.002,0.002,0.002,0.002,0.002,0.005,0.006,0.003,0.006,0.003,0.013,0.004,0.187,0.721,0.003,0.002,0.004,0.003,0.003,0.002,0.005,0.008,0.004,0.003
ZFTSP224,Tomoka 2,0.004,0.009,0.003,0.008,0.003,0.002,0.051,0.008,0.003,0.004,0.009,0.172,0.007,0.016,0.655,0.004,0.002,0.004,0.004,0.004,0.002,0.007,0.005,0.012,0.003
ZFTSP225,Tomoka 2,0.008,0.004,0.004,0.004,0.004,0.003,0.012,0.052,0.002,0.051,0.004,0.054,0.019,0.411,0.252,0.004,0.002,0.016,0.005,0.006,0.003,0.029,0.021,0.022,0.006
ZFTSP226,Tomoka 2,0.007,0.004,0.004,0.005,0.004,0.003,0.043,0.013,0.002,0.006,0.006,0.081,0.008,0.151,0.612,0.004,0.002,0.005,0.004,0.005,0.003,0.009,0.007,0.009,0.005
ZFTSP227,Tomoka 2,0.007,0.008,0.003,0.016,0.005,0.004,0.036,0.268,0.012,0.017,0.014,0.004,0.049,0.009,0.024,0.006,0.005,0.06,0.01,0.008,0.005,0.397,0.018,0.011,0.003
ZFTSP228,Tomoka 2,0.008,0.011,0.005,0.068,0.005,0.004,0.035,0.106,0.01,0.034,0.032,0.129,0.022,0.263,0.099,0.005,0.003,0.024,0.011,0.006,0.003,0.094,0.009,0.005,0.008
,,,,,,,,,,,,,,,,,,,,,,,,,,
ZCF01,Chapman Field,0.033,0.005,0.006,0.021,0.009,0.008,0.005,0.004,0.039,0.003,0.003,0.03,0.003,0.014,0.007,0.018,0.01,0.004,0.714,0.011,0.003,0.003,0.004,0.003,0.039
ZCF02,Chapman Field,0.061,0.004,0.009,0.006,0.022,0.274,0.004,0.003,0.012,0.002,0.004,0.005,0.004,0.004,0.006,0.073,0.016,0.003,0.401,0.058,0.005,0.003,0.003,0.004,0.011
ZCF03,Chapman Field,0.175,0.006,0.012,0.007,0.017,0.012,0.007,0.008,0.148,0.003,0.005,0.007,0.007,0.009,0.012,0.219,0.029,0.007,0.256,0.026,0.005,0.009,0.009,0.003,0.006
ZCF04,Chapman Field,0.005,0.004,0.004,0.004,0.004,0.008,0.003,0.005,0.091,0.004,0.005,0.003,0.005,0.003,0.004,0.019,0.004,0.004,0.797,0.003,0.004,0.006,0.004,0.003,0.005
ZCF05,Chapman Field,0.079,0.006,0.015,0.006,0.09,0.013,0.003,0.003,0.005,0.002,0.007,0.003,0.003,0.003,0.003,0.358,0.03,0.003,0.317,0.008,0.007,0.003,0.002,0.003,0.028
ZCF06,Chapman Field,0.01,0.022,0.005,0.036,0.034,0.006,0.013,0.006,0.032,0.007,0.096,0.007,0.009,0.007,0.01,0.044,0.011,0.007,0.601,0.007,0.007,0.007,0.004,0.006,0.005
ZCF07,Chapman Field,0.183,0.002,0.008,0.004,0.008,0.005,0.003,0.004,0.004,0.002,0.003,0.019,0.003,0.007,0.008,0.347,0.004,0.004,0.307,0.021,0.005,0.004,0.003,0.003,0.039
ZCF08,Chapman Field,0.018,0.004,0.004,0.005,0.006,0.019,0.012,0.005,0.019,0.005,0.004,0.008,0.004,0.003,0.007,0.041,0.003,0.003,0.785,0.021,0.003,0.005,0.002,0.009,0.004
ZCF09,Chapman Field,0.008,0.011,0.002,0.034,0.015,0.006,0.011,0.021,0.12,0.01,0.043,0.045,0.015,0.054,0.052,0.017,0.016,0.008,0.376,0.005,0.004,0.025,0.015,0.077,0.008
ZCF10,Chapman Field,0.045,0.007,0.02,0.018,0.006,0.007,0.059,0.011,0.012,0.008,0.007,0.013,0.007,0.011,0.014,0.297,0.012,0.005,0.376,0.016,0.005,0.011,0.009,0.01,0.014
ZCF11,Chapman Field,0.277,0.003,0.015,0.004,0.008,0.007,0.004,0.012,0.007,0.006,0.005,0.006,0.006,0.006,0.007,0.443,0.004,0.006,0.128,0.009,0.005,0.013,0.008,0.004,0.007
ZCF12,Chapman Field,0.006,0.003,0.003,0.015,0.006,0.007,0.003,0.003,0.029,0.003,0.004,0.002,0.003,0.003,0.003,0.588,0.012,0.004,0.267,0.004,0.012,0.004,0.003,0.01,0.006
ZCF13,Chapman Field,0.008,0.007,0.017,0.003,0.005,0.007,0.003,0.003,0.006,0.004,0.004,0.005,0.003,0.004,0.003,0.011,0.016,0.004,0.846,0.009,0.006,0.003,0.002,0.011,0.01
ZCF14,Chapman Field,0.072,0.005,0.009,0.151,0.141,0.016,0.007,0.02,0.007,0.018,0.011,0.006,0.019,0.006,0.006,0.322,0.027,0.008,0.077,0.007,0.015,0.023,0.01,0.008,0.01
ZCF15,Chapman Field,0.162,0.011,0.006,0.007,0.064,0.004,0.005,0.004,0.012,0.003,0.01,0.003,0.005,0.006,0.007,0.566,0.006,0.005,0.07,0.021,0.004,0.004,0.004,0.006,0.004
ZCF16,Chapman Field,0.008,0.007,0.008,0.016,0.009,0.004,0.005,0.004,0.01,0.003,0.005,0.009,0.004,0.004,0.006,0.011,0.007,0.003,0.849,0.011,0.004,0.003,0.004,0.003,0.005
ZCF17,Chapman Field,0.057,0.004,0.007,0.009,0.005,0.005,0.005,0.005,0.003,0.003,0.006,0.005,0.004,0.004,0.005,0.054,0.005,0.004,0.772,0.016,0.006,0.004,0.004,0.003,0.008
ZCF18,Chapman Field,0.01,0.01,0.024,0.005,0.071,0.01,0.004,0.005,0.019,0.004,0.008,0.003,0.005,0.005,0.004,0.02,0.028,0.005,0.713,0.01,0.008,0.005,0.003,0.008,0.013
ZCF19,Chapman Field,0.049,0.014,0.011,0.076,0.482,0.007,0.004,0.004,0.049,0.003,0.009,0.002,0.005,0.004,0.003,0.158,0.031,0.005,0.039,0.01,0.008,0.004,0.003,0.003,0.016
ZCF20,Chapman Field,0.18,0.004,0.014,0.007,0.016,0.012,0.007,0.014,0.005,0.005,0.004,0.007,0.01,0.013,0.007,0.109,0.007,0.008,0.506,0.012,0.006,0.014,0.018,0.004,0.01
ZCF21,Chapman Field,0.085,0.007,0.01,0.015,0.013,0.007,0.013,0.005,0.064,0.003,0.012,0.004,0.004,0.005,0.01,0.629,0.019,0.003,0.061,0.008,0.005,0.005,0.003,0.004,0.006
ZCF22,Chapman Field,0.022,0.005,0.016,0.008,0.018,0.005,0.011,0.009,0.004,0.004,0.007,0.013,0.01,0.029,0.01,0.011,0.017,0.006,0.694,0.01,0.016,0.007,0.005,0.004,0.061
ZCF23,Chapman Field,0.021,0.002,0.014,0.004,0.004,0.006,0.004,0.003,0.005,0.002,0.002,0.006,0.003,0.004,0.004,0.01,0.005,0.002,0.863,0.008,0.003,0.003,0.004,0.005,0.012
ZCF24,Chapman Field,0.008,0.007,0.003,0.018,0.005,0.003,0.02,0.006,0.019,0.003,0.015,0.019,0.007,0.013,0.033,0.032,0.006,0.004,0.732,0.011,0.003,0.006,0.006,0.018,0.003
ZCF25,Chapman Field,0.01,0.005,0.003,0.014,0.01,0.005,0.007,0.008,0.004,0.012,0.009,0.008,0.01,0.004,0.007,0.029,0.006,0.004,0.812,0.005,0.004,0.008,0.005,0.006,0.005
ZCF26,Chapman Field,0.005,0.011,0.004,0.01,0.009,0.005,0.006,0.004,0.003,0.002,0.029,0.008,0.003,0.006,0.009,0.019,0.014,0.003,0.826,0.004,0.004,0.003,0.002,0.003,0.006
ZCF27,Chapman Field,0.169,0.004,0.006,0.007,0.008,0.004,0.004,0.003,0.007,0.002,0.005,0.007,0.003,0.003,0.006,0.562,0.005,0.003,0.157,0.015,0.004,0.003,0.003,0.005,0.006
ZCF28,Chapman Field,0.014,0.007,0.013,0.006,0.007,0.006,0.003,0.003,0.005,0.005,0.005,0.005,0.004,0.003,0.003,0.006,0.015,0.003,0.853,0.009,0.005,0.003,0.002,0.003,0.012
ZCF29,Chapman Field,0.016,0.008,0.004,0.103,0.012,0.01,0.004,0.009,0.565,0.024,0.008,0.009,0.007,0.013,0.033,0.032,0.014,0.005,0.02,0.034,0.02,0.008,0.008,0.024,0.011
ZCF30,Chapman Field,0.021,0.009,0.009,0.003,0.019,0.004,0.004,0.003,0.004,0.004,0.009,0.008,0.004,0.004,0.004,0.019,0.005,0.003,0.836,0.006,0.004,0.003,0.003,0.004,0.005
ZCF31,Chapman Field,0.048,0.005,0.005,0.005,0.017,0.035,0.003,0.004,0.009,0.002,0.004,0.002,0.003,0.003,0.003,0.026,0.005,0.003,0.749,0.047,0.004,0.005,0.003,0.003,0.006
ZCF32,Chapman Field,0.009,0.005,0.007,0.011,0.01,0.004,0.004,0.007,0.011,0.005,0.005,0.004,0.007,0.004,0.004,0.011,0.283,0.006,0.558,0.006,0.021,0.007,0.003,0.003,0.006
ZCF33,Chapman Field,0.003,0.004,0.009,0.004,0.006,0.021,0.003,0.003,0.005,0.002,0.004,0.003,0.002,0.003,0.003,0.007,0.079,0.002,0.787,0.003,0.012,0.002,0.003,0.003,0.026
ZCF34,Chapman Field,0.037,0.005,0.005,0.03,0.012,0.005,0.03,0.056,0.013,0.039,0.004,0.006,0.026,0.009,0.02,0.172,0.047,0.056,0.316,0.015,0.005,0.066,0.006,0.013,0.007
ZCF35,Chapman Field,0.006,0.007,0.004,0.007,0.005,0.006,0.007,0.008,0.068,0.003,0.004,0.003,0.012,0.015,0.008,0.007,0.004,0.01,0.783,0.005,0.002,0.008,0.008,0.006,0.004
ZCF36,Chapman Field,0.053,0.005,0.054,0.009,0.017,0.042,0.006,0.006,0.008,0.003,0.004,0.006,0.004,0.006,0.004,0.107,0.011,0.003,0.55,0.004,0.007,0.006,0.014,0.002,0.067
ZCF37,Chapman Field,0.107,0.004,0.009,0.028,0.004,0.005,0.026,0.008,0.063,0.003,0.004,0.004,0.006,0.007,0.007,0.188,0.032,0.005,0.429,0.014,0.013,0.009,0.006,0.004,0.015
ZCF38,Chapman Field,0.04,0.014,0.008,0.006,0.008,0.003,0.005,0.006,0.006,0.007,0.011,0.004,0.009,0.007,0.006,0.008,0.005,0.009,0.792,0.02,0.004,0.006,0.003,0.009,0.006
ZCF39,Chapman Field,0.057,0.002,0.008,0.006,0.009,0.003,0.105,0.084,0.009,0.007,0.003,0.006,0.017,0.007,0.188,0.113,0.005,0.023,0.182,0.017,0.003,0.124,0.008,0.011,0.004
ZCF40,Chapman Field,0.06,0.012,0.012,0.019,0.021,0.004,0.008,0.012,0.005,0.006,0.009,0.015,0.014,0.008,0.011,0.052,0.005,0.01,0.669,0.017,0.005,0.013,0.005,0.004,0.006
ZCF41,Chapman Field,0.026,0.014,0.021,0.083,0.15,0.013,0.005,0.004,0.037,0.003,0.01,0.009,0.005,0.005,0.005,0.121,0.067,0.003,0.381,0.007,0.007,0.004,0.004,0.003,0.014
ZCF42,Chapman Field,0.109,0.019,0.003,0.011,0.015,0.006,0.021,0.005,0.113,0.004,0.073,0.01,0.005,0.008,0.014,0.2,0.009,0.005,0.307,0.032,0.009,0.004,0.006,0.006,0.005
,,,,,,,,,,,,,,,,,,,,,,,,,,
ZFB01,Bronson,0.003,0.004,0.01,0.002,0.004,0.91,0.003,0.003,0.004,0.003,0.004,0.003,0.003,0.004,0.002,0.003,0.006,0.003,0.003,0.004,0.005,0.003,0.004,0.003,0.007
ZFB02,Bronson,0.006,0.014,0.015,0.008,0.028,0.704,0.003,0.003,0.012,0.003,0.009,0.003,0.005,0.004,0.003,0.011,0.102,0.006,0.006,0.006,0.025,0.004,0.004,0.003,0.016
ZFB03,Bronson,0.01,0.004,0.015,0.005,0.014,0.737,0.009,0.009,0.003,0.003,0.008,0.033,0.005,0.02,0.015,0.014,0.006,0.006,0.011,0.009,0.007,0.007,0.008,0.002,0.04
ZFB04,Bronson,0.005,0.007,0.008,0.009,0.014,0.781,0.003,0.005,0.01,0.003,0.005,0.003,0.006,0.004,0.003,0.011,0.061,0.007,0.005,0.005,0.016,0.004,0.004,0.003,0.019
ZFB05,Bronson,0.008,0.01,0.008,0.033,0.006,0.726,0.003,0.003,0.032,0.003,0.004,0.01,0.004,0.003,0.006,0.027,0.027,0.004,0.017,0.04,0.006,0.003,0.002,0.008,0.008
ZFB06,Bronson,0.008,0.01,0.009,0.014,0.006,0.779,0.003,0.002,0.024,0.002,0.004,0.009,0.004,0.004,0.006,0.02,0.017,0.004,0.02,0.03,0.005,0.003,0.002,0.008,0.01
ZFB07,Bronson,0.026,0.003,0.066,0.005,0.009,0.666,0.005,0.008,0.006,0.003,0.004,0.005,0.005,0.007,0.005,0.046,0.006,0.005,0.021,0.008,0.007,0.007,0.008,0.004,0.064
ZFB08,Bronson,0.014,0.006,0.046,0.009,0.008,0.726,0.014,0.007,0.003,0.009,0.006,0.005,0.007,0.006,0.005,0.006,0.012,0.008,0.007,0.029,0.013,0.007,0.01,0.006,0.03
ZFB09,Bronson,0.003,0.004,0.007,0.003,0.005,0.912,0.003,0.003,0.003,0.003,0.004,0.003,0.003,0.003,0.002,0.003,0.004,0.003,0.004,0.004,0.006,0.003,0.003,0.002,0.009
ZFB10,Bronson,0.003,0.003,0.003,0.005,0.007,0.865,0.006,0.008,0.003,0.004,0.005,0.002,0.007,0.004,0.004,0.004,0.005,0.008,0.003,0.005,0.01,0.009,0.016,0.004,0.005
ZFB11,Bronson,0.002,0.003,0.003,0.003,0.004,0.912,0.003,0.004,0.005,0.003,0.004,0.002,0.004,0.004,0.002,0.003,0.004,0.003,0.002,0.003,0.009,0.004,0.005,0.002,0.006
ZFB12,Bronson,0.013,0.003,0.005,0.003,0.011,0.808,0.003,0.007,0.015,0.003,0.003,0.011,0.003,0.016,0.009,0.009,0.012,0.008,0.007,0.016,0.006,0.006,0.003,0.002,0.017
ZFB13,Bronson,0.009,0.004,0.01,0.014,0.02,0.594,0.011,0.011,0.003,0.012,0.005,0.005,0.013,0.008,0.006,0.01,0.015,0.008,0.008,0.019,0.053,0.011,0.014,0.007,0.132
