Ind,Pop,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25
ZFCNS15,Canaveral,0.005,0.003,0.004,0.006,0.004,0.003,0.016,0.021,0.002,0.011,0.004,0.731,0.01,0.044,0.031,0.003,0.003,0.007,0.003,0.004,0.003,0.016,0.055,0.007,0.004
ZFCNS17,Canaveral,0.003,0.005,0.003,0.004,0.002,0.002,0.004,0.005,0.002,0.005,0.005,0.919,0.004,0.004,0.004,0.003,0.002,0.003,0.003,0.003,0.002,0.005,0.003,0.004,0.003
ZFCNS18,Canaveral,0.003,0.004,0.003,0.003,0.003,0.004,0.011,0.01,0.005,0.004,0.005,0.833,0.011,0.03,0.02,0.003,0.002,0.007,0.003,0.003,0.002,0.011,0.013,0.004,0.003
ZFCNS19,Canaveral,0.003,0.004,0.003,0.003,0.002,0.002,0.004,0.003,0.002,0.002,0.004,0.929,0.003,0.004,0.004,0.002,0.002,0.003,0.003,0.003,0.002,0.002,0.003,0.003,0.004
ZFCNS20,Canaveral,0.004,0.004,0.003,0.009,0.004,0.003,0.009,0.015,0.002,0.017,0.005,0.814,0.014,0.008,0.013,0.003,0.003,0.008,0.004,0.006,0.004,0.015,0.013,0.019,0.003
ZFCNS21,Canaveral,0.003,0.003,0.003,0.003,0.002,0.002,0.005,0.003,0.002,0.003,0.004,0.927,0.003,0.005,0.005,0.003,0.002,0.002,0.003,0.003,0.002,0.003,0.003,0.003,0.003
ZFCNS22,Canaveral,0.006,0.005,0.006,0.006,0.004,0.004,0.007,0.014,0.002,0.008,0.006,0.82,0.01,0.02,0.008,0.004,0.003,0.008,0.003,0.004,0.004,0.017,0.017,0.005,0.008
ZFCNS23,Canaveral,0.006,0.016,0.005,0.017,0.005,0.003,0.004,0.003,0.009,0.003,0.003,0.845,0.007,0.01,0.006,0.007,0.007,0.007,0.004,0.01,0.004,0.003,0.003,0.008,0.004
ZFCNS24,Canaveral,0.004,0.006,0.003,0.011,0.003,0.002,0.014,0.009,0.002,0.008,0.007,0.859,0.009,0.006,0.009,0.003,0.003,0.006,0.003,0.005,0.003,0.008,0.006,0.008,0.003
ZFCNS25,Canaveral,0.004,0.005,0.003,0.009,0.003,0.002,0.009,0.013,0.002,0.023,0.006,0.826,0.011,0.008,0.015,0.003,0.003,0.006,0.003,0.005,0.003,0.013,0.009,0.011,0.003
ZFCNS26,Canaveral,0.003,0.003,0.003,0.003,0.003,0.003,0.005,0.004,0.002,0.005,0.003,0.897,0.003,0.019,0.008,0.003,0.002,0.003,0.003,0.003,0.003,0.004,0.008,0.003,0.005
ZFCNS27,Canaveral,0.004,0.003,0.003,0.006,0.003,0.003,0.011,0.024,0.002,0.032,0.005,0.634,0.01,0.063,0.103,0.004,0.003,0.006,0.003,0.004,0.004,0.019,0.038,0.008,0.004
ZFCNS28,Canaveral,0.003,0.004,0.003,0.003,0.002,0.003,0.004,0.004,0.002,0.004,0.004,0.916,0.003,0.006,0.004,0.003,0.002,0.003,0.002,0.003,0.003,0.004,0.006,0.004,0.004
