Sample.Name,Pop,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16
TMA-ZAIN-G-48,MBC,0.103,0.148,0.15,0.011,0.012,0.006,0.136,0.014,0.19,0.014,0.047,0.028,0.016,0.012,0.073,0.041
TMA-ZAIN-G-49,MBC,0.008,0.008,0.006,0.791,0.006,0.011,0.019,0.04,0.012,0.026,0.012,0.008,0.003,0.028,0.018,0.004
TMA-ZAIN-G-50,MBC,0.082,0.012,0.003,0.791,0.027,0.01,0.006,0.004,0.008,0.006,0.019,0.005,0.005,0.01,0.005,0.009
TMA-ZAIN-G-51,MBC,0.025,0.01,0.015,0.791,0.007,0.007,0.015,0.007,0.012,0.008,0.021,0.005,0.01,0.003,0.012,0.054
TMA-ZAIN-G-52,MBC,0.007,0.009,0.03,0.715,0.006,0.005,0.128,0.003,0.013,0.006,0.031,0.007,0.008,0.01,0.007,0.014
TMA-ZAIN-G-53,MBC,0.01,0.01,0.053,0.645,0.011,0.118,0.065,0.004,0.01,0.005,0.009,0.01,0.004,0.003,0.01,0.033
TMA-ZAIN-G-54,MBC,0.011,0.011,0.9,0.008,0.004,0.004,0.004,0.003,0.007,0.005,0.011,0.005,0.004,0.006,0.007,0.011
TMA-ZAIN-G-55,MBC,0.041,0.016,0.816,0.023,0.004,0.004,0.003,0.003,0.011,0.004,0.023,0.008,0.006,0.009,0.009,0.019
TMA-ZAIN-G-56,MBC,0.179,0.077,0.048,0.031,0.021,0.006,0.364,0.018,0.072,0.026,0.067,0.011,0.005,0.013,0.032,0.029
TMA-ZAIN-G-57,MBC,0.006,0.006,0.833,0.028,0.01,0.009,0.009,0.008,0.01,0.013,0.005,0.004,0.003,0.042,0.01,0.005
TMA-ZAIN-G-58,MBC,0.016,0.04,0.039,0.393,0.004,0.039,0.013,0.009,0.01,0.013,0.19,0.196,0.006,0.019,0.006,0.008
TMA-ZAIN-G-59,MBC,0.021,0.039,0.014,0.013,0.018,0.541,0.038,0.018,0.103,0.046,0.024,0.024,0.018,0.014,0.063,0.008
TMA-ZAIN-G-60,MBC,0.015,0.02,0.019,0.11,0.006,0.504,0.044,0.008,0.014,0.009,0.066,0.009,0.01,0.006,0.017,0.143
TMA-ZAIN-G-61,MBC,0.003,0.003,0.011,0.01,0.003,0.872,0.034,0.003,0.004,0.005,0.006,0.022,0.014,0.003,0.004,0.004
TMA-ZAIN-G-62,MBC,0.036,0.008,0.01,0.017,0.022,0.661,0.003,0.006,0.023,0.031,0.065,0.009,0.027,0.029,0.046,0.005
TMA-ZAIN-G-63,MBC,0.005,0.006,0.011,0.011,0.003,0.896,0.015,0.003,0.004,0.006,0.007,0.01,0.004,0.006,0.005,0.007
TMA-ZAIN-G-64,MBC,0.005,0.004,0.003,0.002,0.009,0.002,0.003,0.935,0.008,0.005,0.003,0.002,0.002,0.004,0.007,0.005
TMA-ZAIN-G-65,MBC,0.007,0.01,0.008,0.003,0.006,0.003,0.005,0.836,0.01,0.067,0.005,0.003,0.002,0.02,0.009,0.007
TMA-ZAIN-G-66,MBC,0.008,0.007,0.004,0.003,0.013,0.002,0.005,0.858,0.029,0.015,0.004,0.003,0.003,0.01,0.031,0.005
