Sample.Name,Pop,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16
TMA-ZAIN-G-333,UCBBG,0.044,0.744,0.015,0.004,0.024,0.003,0.01,0.036,0.029,0.024,0.008,0.003,0.002,0.013,0.031,0.009
TMA-ZAIN-G-334,UCBBG,0.358,0.013,0.012,0.017,0.032,0.008,0.255,0.005,0.212,0.031,0.008,0.01,0.012,0.007,0.013,0.008
TMA-ZAIN-G-335,UCBBG,0.884,0.007,0.004,0.003,0.005,0.002,0.003,0.005,0.006,0.016,0.003,0.002,0.003,0.007,0.005,0.043
TMA-ZAIN-G-336,UCBBG,0.037,0.004,0.005,0.006,0.004,0.002,0.003,0.004,0.003,0.04,0.003,0.002,0.002,0.003,0.003,0.879
TMA-ZAIN-G-337,UCBBG,0.003,0.003,0.005,0.007,0.003,0.006,0.008,0.003,0.003,0.003,0.005,0.935,0.007,0.002,0.003,0.003
TMA-ZAIN-G-338,UCBBG,0.003,0.003,0.003,0.004,0.004,0.003,0.007,0.004,0.004,0.004,0.004,0.943,0.005,0.003,0.004,0.003
TMA-ZAIN-G-339,UCBBG,0.004,0.006,0.005,0.009,0.007,0.006,0.046,0.004,0.006,0.006,0.01,0.869,0.008,0.004,0.006,0.004
TMA-ZAIN-G-340,UCBBG,0.004,0.004,0.004,0.006,0.004,0.012,0.006,0.003,0.005,0.004,0.01,0.92,0.005,0.004,0.006,0.003
TMA-ZAIN-G-341,UCBBG,0.003,0.003,0.004,0.005,0.003,0.01,0.005,0.003,0.003,0.003,0.005,0.941,0.004,0.003,0.003,0.003
TMA-ZAIN-G-342,UCBBG,0.002,0.002,0.003,0.005,0.002,0.007,0.003,0.002,0.002,0.002,0.003,0.954,0.006,0.002,0.002,0.002
TMA-ZAIN-G-343,UCBBG,0.002,0.003,0.002,0.005,0.003,0.004,0.007,0.002,0.003,0.003,0.003,0.95,0.005,0.003,0.003,0.002
TMA-ZAIN-G-344,UCBBG,0.003,0.005,0.002,0.003,0.003,0.005,0.004,0.003,0.004,0.004,0.004,0.945,0.005,0.004,0.003,0.003
TMA-ZAIN-G-345,UCBBG,0.004,0.003,0.003,0.007,0.004,0.004,0.032,0.003,0.004,0.003,0.004,0.911,0.008,0.004,0.004,0.003
NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TMA-ZAIN-G-347,GWL,0.003,0.004,0.002,0.006,0.003,0.011,0.004,0.002,0.003,0.003,0.004,0.944,0.005,0.003,0.002,0.003
TMA-ZAIN-G-348,GWL,0.005,0.004,0.003,0.007,0.003,0.005,0.004,0.002,0.004,0.003,0.005,0.937,0.007,0.003,0.004,0.004
TMA-ZAIN-G-349,GWL,0.002,0.002,0.004,0.004,0.002,0.003,0.005,0.003,0.003,0.003,0.004,0.95,0.007,0.002,0.003,0.003
TMA-ZAIN-G-350,GWL,0.014,0.002,0.004,0.017,0.003,0.005,0.004,0.002,0.003,0.042,0.004,0.882,0.007,0.002,0.003,0.004
TMA-ZAIN-G-351,GWL,0.003,0.003,0.003,0.005,0.003,0.005,0.004,0.003,0.003,0.003,0.004,0.95,0.006,0.002,0.003,0.003
TMA-ZAIN-G-352,GWL,0.003,0.003,0.005,0.007,0.004,0.009,0.007,0.003,0.004,0.004,0.008,0.925,0.007,0.003,0.004,0.004
TMA-ZAIN-G-353,GWL,0.004,0.003,0.004,0.008,0.007,0.011,0.004,0.004,0.005,0.006,0.004,0.914,0.011,0.005,0.005,0.005
TMA-ZAIN-G-354,GWL,0.005,0.01,0.003,0.035,0.006,0.012,0.011,0.003,0.009,0.009,0.013,0.86,0.009,0.005,0.004,0.005
TMA-ZAIN-G-355,GWL,0.003,0.003,0.004,0.005,0.003,0.004,0.005,0.003,0.003,0.003,0.005,0.944,0.007,0.002,0.003,0.003
TMA-ZAIN-G-356,GWL,0.004,0.004,0.003,0.004,0.004,0.004,0.018,0.004,0.005,0.005,0.005,0.921,0.004,0.004,0.006,0.003
TMA-ZAIN-G-357,GWL,0.006,0.009,0.004,0.014,0.003,0.014,0.005,0.003,0.006,0.004,0.007,0.897,0.009,0.006,0.004,0.008
TMA-ZAIN-G-358,GWL,0.005,0.004,0.002,0.007,0.002,0.004,0.002,0.002,0.004,0.003,0.005,0.942,0.005,0.004,0.004,0.004
TMA-ZAIN-G-359,GWL,0.006,0.007,0.002,0.005,0.003,0.007,0.004,0.003,0.007,0.005,0.005,0.924,0.005,0.007,0.005,0.005
NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TMA-ZAIN-G-360,HPLG,0.004,0.004,0.008,0.01,0.006,0.003,0.003,0.021,0.008,0.02,0.004,0.002,0.002,0.895,0.007,0.002
TMA-ZAIN-G-361,HPLG,0.104,0.018,0.006,0.007,0.026,0.006,0.014,0.041,0.043,0.246,0.01,0.004,0.003,0.129,0.052,0.292
TMA-ZAIN-G-362,HPLG,0.109,0.115,0.012,0.016,0.028,0.023,0.028,0.077,0.19,0.24,0.032,0.02,0.006,0.013,0.077,0.013
TMA-ZAIN-G-363,HPLG,0.007,0.009,0.018,0.042,0.054,0.008,0.085,0.237,0.02,0.102,0.02,0.004,0.053,0.32,0.019,0.004
TMA-ZAIN-G-364,HPLG,0.018,0.006,0.004,0.005,0.115,0.003,0.01,0.009,0.009,0.02,0.004,0.002,0.007,0.78,0.005,0.003
TMA-ZAIN-G-365,HPLG,0.021,0.704,0.006,0.004,0.014,0.006,0.005,0.011,0.029,0.109,0.007,0.003,0.003,0.044,0.027,0.009
TMA-ZAIN-G-366,HPLG,0.006,0.005,0.004,0.014,0.014,0.004,0.006,0.007,0.012,0.021,0.006,0.009,0.087,0.795,0.007,0.003
NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TMA-ZAIN-G-367,NBG,0.39,0.018,0.007,0.015,0.033,0.004,0.068,0.013,0.211,0.02,0.02,0.007,0.009,0.015,0.126,0.043
TMA-ZAIN-G-368,NBG,0.02,0.01,0.011,0.051,0.038,0.42,0.083,0.013,0.027,0.009,0.213,0.03,0.013,0.009,0.043,0.01
TMA-ZAIN-G-369,NBG,0.03,0.017,0.003,0.031,0.007,0.01,0.006,0.025,0.347,0.138,0.074,0.097,0.012,0.084,0.114,0.004
TMA-ZAIN-G-370,NBG,0.007,0.008,0.006,0.003,0.012,0.003,0.011,0.017,0.431,0.09,0.006,0.003,0.005,0.006,0.389,0.003
TMA-ZAIN-G-371,NBG,0.067,0.478,0.029,0.017,0.009,0.075,0.027,0.006,0.034,0.108,0.013,0.008,0.003,0.053,0.032,0.042
TMA-ZAIN-G-372,NBG,0.02,0.013,0.008,0.004,0.204,0.004,0.013,0.065,0.383,0.092,0.009,0.004,0.005,0.009,0.161,0.007
TMA-ZAIN-G-373,NBG,0.828,0.043,0.004,0.004,0.009,0.002,0.006,0.026,0.021,0.013,0.006,0.003,0.003,0.008,0.013,0.011
TMA-ZAIN-G-374,NBG,0.682,0.044,0.004,0.004,0.01,0.005,0.005,0.009,0.13,0.05,0.006,0.003,0.003,0.01,0.02,0.016
TMA-ZAIN-G-376,NBG,0.015,0.007,0.005,0.004,0.142,0.005,0.005,0.032,0.144,0.207,0.006,0.004,0.003,0.127,0.284,0.011
TMA-ZAIN-G-377,NBG,0.07,0.026,0.007,0.003,0.024,0.004,0.007,0.032,0.446,0.148,0.006,0.003,0.004,0.145,0.069,0.005
TMA-ZAIN-G-378,NBG,0.499,0.083,0.007,0.006,0.004,0.003,0.005,0.006,0.011,0.005,0.008,0.004,0.004,0.004,0.006,0.345
NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TMA-ZAIN-G-379,KWTFBG,0.021,0.486,0.072,0.043,0.008,0.182,0.011,0.005,0.033,0.018,0.028,0.019,0.003,0.018,0.013,0.039
TMA-ZAIN-G-380,KWTFBG,0.066,0.179,0.005,0.53,0.009,0.026,0.008,0.009,0.045,0.02,0.011,0.007,0.009,0.031,0.02,0.025
TMA-ZAIN-G-381,KWTFBG,0.136,0.006,0.003,0.004,0.027,0.004,0.005,0.004,0.011,0.089,0.005,0.003,0.003,0.681,0.015,0.004
TMA-ZAIN-G-382,KWTFBG,0.068,0.009,0.006,0.003,0.147,0.003,0.005,0.023,0.026,0.032,0.004,0.002,0.003,0.634,0.031,0.006
TMA-ZAIN-G-383,KWTFBG,0.009,0.004,0.003,0.002,0.009,0.003,0.003,0.006,0.006,0.005,0.002,0.002,0.002,0.934,0.005,0.005
TMA-ZAIN-G-384,KWTFBG,0.014,0.011,0.016,0.003,0.006,0.003,0.003,0.006,0.009,0.006,0.003,0.002,0.002,0.891,0.004,0.021
TMA-ZAIN-G-385,KWTFBG,0.053,0.007,0.006,0.003,0.272,0.002,0.011,0.082,0.072,0.362,0.005,0.003,0.004,0.008,0.105,0.005
TMA-ZAIN-G-386,KWTFBG,0.012,0.036,0.023,0.059,0.043,0.006,0.049,0.032,0.087,0.029,0.463,0.006,0.009,0.008,0.126,0.011
TMA-ZAIN-G-387,KWTFBG,0.02,0.006,0.007,0.326,0.006,0.331,0.026,0.003,0.012,0.118,0.022,0.05,0.057,0.004,0.005,0.007
NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZFB01,ZFB,0.004,0.004,0.004,0.003,0.004,0.928,0.003,0.003,0.005,0.006,0.003,0.009,0.009,0.006,0.006,0.003
ZFB02,ZFB,0.003,0.003,0.008,0.005,0.003,0.892,0.007,0.003,0.004,0.005,0.005,0.037,0.014,0.004,0.004,0.002
ZFB03,ZFB,0.006,0.004,0.004,0.008,0.004,0.921,0.006,0.003,0.005,0.005,0.006,0.006,0.003,0.006,0.005,0.009
ZFB04,ZFB,0.004,0.003,0.005,0.005,0.003,0.894,0.009,0.003,0.006,0.006,0.004,0.023,0.018,0.006,0.008,0.002
ZFB05,ZFB,0.007,0.003,0.007,0.038,0.003,0.69,0.06,0.01,0.004,0.009,0.022,0.062,0.067,0.002,0.003,0.012
ZFB06,ZFB,0.008,0.003,0.006,0.031,0.002,0.799,0.02,0.011,0.004,0.01,0.019,0.024,0.047,0.002,0.003,0.011
ZFB07,ZFB,0.008,0.006,0.004,0.021,0.006,0.875,0.008,0.004,0.011,0.008,0.005,0.008,0.009,0.01,0.01,0.006
ZFB08,ZFB,0.006,0.015,0.005,0.007,0.009,0.864,0.01,0.007,0.009,0.012,0.019,0.013,0.003,0.009,0.008,0.005
ZFB09,ZFB,0.003,0.003,0.003,0.004,0.003,0.948,0.003,0.003,0.003,0.004,0.004,0.006,0.003,0.004,0.003,0.003
ZFB10,ZFB,0.009,0.01,0.004,0.004,0.012,0.812,0.008,0.006,0.015,0.018,0.004,0.009,0.007,0.057,0.023,0.002
ZFB11,ZFB,0.004,0.004,0.007,0.005,0.015,0.844,0.012,0.003,0.011,0.009,0.003,0.008,0.05,0.014,0.009,0.003
ZFB12,ZFB,0.01,0.003,0.004,0.011,0.01,0.834,0.004,0.004,0.01,0.007,0.02,0.036,0.023,0.005,0.014,0.006
ZFB13,ZFB,0.007,0.01,0.003,0.009,0.015,0.852,0.014,0.007,0.014,0.013,0.012,0.014,0.003,0.013,0.01,0.004
ZFB14,ZFB,0.003,0.004,0.004,0.004,0.005,0.93,0.006,0.003,0.005,0.007,0.004,0.005,0.003,0.008,0.005,0.003
ZFB15,ZFB,0.003,0.003,0.003,0.004,0.003,0.933,0.004,0.002,0.003,0.003,0.004,0.014,0.01,0.003,0.004,0.003
ZFB16,ZFB,0.007,0.008,0.003,0.006,0.007,0.862,0.018,0.005,0.011,0.007,0.01,0.028,0.007,0.01,0.01,0.003
ZFB17,ZFB,0.009,0.008,0.009,0.007,0.004,0.816,0.039,0.008,0.015,0.011,0.02,0.01,0.021,0.008,0.011,0.003
ZFB18,ZFB,0.003,0.003,0.004,0.004,0.004,0.947,0.003,0.003,0.003,0.005,0.003,0.004,0.003,0.006,0.004,0.002
ZFB19,ZFB,0.016,0.016,0.003,0.014,0.013,0.755,0.007,0.007,0.034,0.021,0.014,0.007,0.004,0.05,0.035,0.004
ZFB20,ZFB,0.006,0.008,0.003,0.006,0.005,0.834,0.023,0.005,0.011,0.008,0.008,0.041,0.02,0.008,0.01,0.003
ZFB21,ZFB,0.003,0.003,0.003,0.008,0.003,0.933,0.005,0.002,0.003,0.003,0.003,0.015,0.006,0.003,0.003,0.004
ZFB22,ZFB,0.011,0.007,0.006,0.007,0.006,0.826,0.006,0.009,0.014,0.011,0.009,0.031,0.034,0.011,0.009,0.003
ZFB23,ZFB,0.005,0.003,0.006,0.007,0.014,0.824,0.015,0.003,0.008,0.007,0.003,0.009,0.069,0.012,0.01,0.004
ZFB24,ZFB,0.004,0.003,0.005,0.006,0.012,0.819,0.016,0.003,0.011,0.007,0.004,0.012,0.075,0.009,0.009,0.003
ZFB25,ZFB,0.009,0.007,0.003,0.004,0.011,0.828,0.004,0.004,0.018,0.017,0.003,0.004,0.008,0.056,0.022,0.003
ZFB26,ZFB,0.009,0.005,0.005,0.009,0.022,0.708,0.034,0.004,0.023,0.01,0.004,0.012,0.107,0.023,0.023,0.004
ZFB27,ZFB,0.004,0.004,0.004,0.004,0.008,0.71,0.004,0.003,0.007,0.006,0.003,0.008,0.22,0.009,0.005,0.003
ZFB28,ZFB,0.007,0.004,0.006,0.026,0.009,0.711,0.012,0.003,0.008,0.007,0.007,0.014,0.169,0.005,0.006,0.006
ZFB29,ZFB,0.003,0.002,0.008,0.008,0.009,0.871,0.029,0.002,0.005,0.004,0.004,0.018,0.027,0.005,0.004,0.002
ZFB30,ZFB,0.007,0.003,0.004,0.028,0.005,0.612,0.005,0.008,0.006,0.008,0.009,0.009,0.28,0.004,0.005,0.008
ZFB31,ZFB,0.007,0.006,0.003,0.004,0.009,0.87,0.004,0.004,0.013,0.015,0.003,0.005,0.009,0.031,0.013,0.003
ZFB32,ZFB,0.009,0.005,0.018,0.026,0.02,0.706,0.033,0.004,0.016,0.016,0.021,0.016,0.08,0.008,0.014,0.009
ZFB33,ZFB,0.003,0.003,0.003,0.005,0.004,0.934,0.004,0.002,0.004,0.004,0.003,0.012,0.008,0.004,0.005,0.003
ZFB34,ZFB,0.003,0.004,0.005,0.004,0.003,0.943,0.004,0.003,0.003,0.005,0.004,0.006,0.002,0.005,0.003,0.003
ZFB35,ZFB,0.005,0.005,0.004,0.005,0.005,0.901,0.01,0.003,0.009,0.007,0.004,0.013,0.007,0.007,0.01,0.005
NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZFBP101,ZFBP1,0.057,0.117,0.041,0.007,0.02,0.007,0.074,0.038,0.428,0.071,0.012,0.007,0.003,0.032,0.07,0.015
ZFBP102,ZFBP1,0.052,0.083,0.009,0.009,0.02,0.009,0.026,0.011,0.387,0.023,0.008,0.009,0.003,0.023,0.325,0.004
ZFBP103,ZFBP1,0.127,0.302,0.091,0.006,0.009,0.006,0.04,0.013,0.182,0.014,0.007,0.006,0.003,0.09,0.081,0.024
ZFBP104,ZFBP1,0.31,0.034,0.003,0.018,0.016,0.024,0.005,0.01,0.289,0.029,0.037,0.015,0.003,0.144,0.053,0.01
ZFBP105,ZFBP1,0.107,0.015,0.004,0.006,0.225,0.006,0.006,0.006,0.4,0.024,0.007,0.005,0.004,0.033,0.139,0.013
ZFBP106,ZFBP1,0.015,0.017,0.005,0.003,0.023,0.003,0.009,0.009,0.156,0.022,0.005,0.003,0.003,0.024,0.69,0.013
ZFBP107,ZFBP1,0.242,0.025,0.005,0.011,0.107,0.005,0.023,0.005,0.351,0.023,0.007,0.007,0.018,0.119,0.035,0.017
ZFBP108,ZFBP1,0.018,0.007,0.004,0.004,0.035,0.003,0.007,0.008,0.101,0.011,0.003,0.003,0.003,0.615,0.171,0.009
ZFBP109,ZFBP1,0.009,0.077,0.004,0.003,0.031,0.007,0.003,0.005,0.618,0.056,0.003,0.002,0.002,0.032,0.143,0.004
ZFBP110,ZFBP1,0.14,0.021,0.027,0.025,0.028,0.031,0.037,0.006,0.112,0.114,0.014,0.008,0.003,0.024,0.346,0.066
ZFBP111,ZFBP1,0.075,0.012,0.004,0.003,0.013,0.002,0.005,0.1,0.296,0.095,0.009,0.003,0.004,0.028,0.341,0.009
ZFBP112,ZFBP1,0.017,0.011,0.011,0.004,0.016,0.004,0.012,0.087,0.492,0.046,0.007,0.005,0.006,0.105,0.168,0.008
ZFBP113,ZFBP1,0.026,0.007,0.003,0.006,0.01,0.003,0.004,0.004,0.088,0.038,0.01,0.006,0.008,0.645,0.137,0.004
ZFBP114,ZFBP1,0.04,0.111,0.005,0.006,0.373,0.005,0.011,0.006,0.183,0.008,0.003,0.003,0.007,0.015,0.22,0.005
ZFBP115,ZFBP1,0.706,0.038,0.009,0.004,0.042,0.002,0.011,0.021,0.068,0.013,0.006,0.003,0.003,0.016,0.032,0.025
ZFBP116,ZFBP1,0.044,0.012,0.004,0.006,0.016,0.003,0.007,0.007,0.232,0.025,0.008,0.004,0.005,0.292,0.33,0.005
ZFBP117,ZFBP1,0.023,0.02,0.013,0.005,0.177,0.004,0.008,0.012,0.147,0.015,0.004,0.002,0.003,0.457,0.099,0.012
ZFBP118,ZFBP1,0.038,0.09,0.004,0.006,0.255,0.003,0.015,0.01,0.236,0.074,0.004,0.003,0.01,0.158,0.091,0.005
ZFBP119,ZFBP1,0.129,0.16,0.021,0.005,0.385,0.004,0.012,0.022,0.044,0.075,0.019,0.003,0.002,0.046,0.053,0.021
ZFBP120,ZFBP1,0.077,0.016,0.003,0.006,0.11,0.006,0.005,0.006,0.556,0.027,0.007,0.005,0.004,0.062,0.098,0.013
ZFBP121,ZFBP1,0.011,0.023,0.007,0.004,0.121,0.006,0.007,0.006,0.222,0.042,0.005,0.003,0.003,0.036,0.496,0.008
ZFBP122,ZFBP1,0.019,0.012,0.004,0.004,0.016,0.003,0.006,0.013,0.178,0.061,0.005,0.003,0.003,0.055,0.613,0.006
ZFBP123,ZFBP1,0.009,0.009,0.007,0.004,0.007,0.003,0.026,0.013,0.164,0.054,0.006,0.004,0.005,0.02,0.664,0.005
ZFBP124,ZFBP1,0.01,0.072,0.005,0.004,0.071,0.016,0.007,0.004,0.412,0.061,0.004,0.003,0.004,0.021,0.301,0.005
ZFBP125,ZFBP1,0.079,0.032,0.007,0.003,0.355,0.003,0.006,0.022,0.069,0.054,0.006,0.002,0.003,0.155,0.192,0.012
ZFBP126,ZFBP1,0.028,0.014,0.019,0.014,0.018,0.007,0.019,0.008,0.105,0.039,0.018,0.01,0.003,0.184,0.511,0.003
ZFBP127,ZFBP1,0.031,0.021,0.008,0.004,0.008,0.003,0.006,0.004,0.56,0.006,0.003,0.003,0.003,0.01,0.306,0.025
ZFBP128,ZFBP1,0.014,0.04,0.015,0.003,0.022,0.004,0.009,0.036,0.047,0.55,0.003,0.002,0.003,0.206,0.027,0.019
ZFBP129,ZFBP1,0.006,0.009,0.009,0.005,0.173,0.004,0.006,0.035,0.012,0.153,0.004,0.003,0.003,0.04,0.532,0.006
ZFBP130,ZFBP1,0.057,0.048,0.028,0.003,0.337,0.002,0.009,0.118,0.075,0.165,0.01,0.003,0.005,0.027,0.099,0.014
ZFBP131,ZFBP1,0.005,0.004,0.004,0.004,0.179,0.004,0.003,0.006,0.017,0.107,0.004,0.003,0.003,0.052,0.603,0.003
ZFBP132,ZFBP1,0.012,0.005,0.003,0.003,0.139,0.003,0.004,0.004,0.034,0.025,0.003,0.002,0.003,0.02,0.729,0.009
ZFBP133,ZFBP1,0.005,0.006,0.005,0.002,0.009,0.003,0.003,0.033,0.016,0.361,0.005,0.002,0.002,0.482,0.063,0.003
ZFBP134,ZFBP1,0.132,0.132,0.026,0.003,0.016,0.004,0.003,0.01,0.491,0.059,0.01,0.004,0.003,0.04,0.057,0.009
ZFBP135,ZFBP1,0.017,0.131,0.153,0.007,0.032,0.011,0.063,0.014,0.116,0.081,0.006,0.005,0.002,0.246,0.098,0.019
ZFBP136,ZFBP1,0.028,0.065,0.023,0.004,0.009,0.003,0.081,0.032,0.444,0.05,0.006,0.004,0.007,0.013,0.217,0.015
NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZFBP201,ZFBP2,0.008,0.004,0.005,0.004,0.008,0.005,0.005,0.005,0.038,0.059,0.005,0.004,0.006,0.021,0.816,0.006
ZFBP202,ZFBP2,0.047,0.017,0.004,0.006,0.064,0.007,0.005,0.015,0.305,0.186,0.005,0.003,0.003,0.183,0.137,0.014
ZFBP203,ZFBP2,0.013,0.007,0.004,0.02,0.02,0.006,0.008,0.017,0.104,0.086,0.019,0.02,0.042,0.03,0.6,0.005
ZFBP204,ZFBP2,0.092,0.03,0.01,0.005,0.07,0.004,0.025,0.023,0.448,0.068,0.008,0.004,0.005,0.022,0.168,0.019
ZFBP205,ZFBP2,0.034,0.006,0.006,0.004,0.092,0.003,0.01,0.013,0.123,0.073,0.006,0.003,0.005,0.041,0.579,0.003
ZFBP206,ZFBP2,0.006,0.007,0.008,0.003,0.007,0.004,0.019,0.023,0.095,0.332,0.007,0.004,0.005,0.02,0.457,0.005
ZFBP207,ZFBP2,0.146,0.01,0.016,0.006,0.521,0.006,0.013,0.008,0.019,0.024,0.009,0.004,0.008,0.01,0.065,0.136
ZFBP208,ZFBP2,0.006,0.005,0.004,0.004,0.006,0.003,0.01,0.007,0.14,0.049,0.007,0.005,0.008,0.011,0.73,0.003
ZFBP209,ZFBP2,0.006,0.009,0.011,0.002,0.021,0.003,0.003,0.107,0.253,0.18,0.005,0.002,0.002,0.078,0.312,0.003
ZFBP210,ZFBP2,0.008,0.004,0.004,0.004,0.009,0.004,0.006,0.009,0.059,0.088,0.008,0.004,0.006,0.007,0.774,0.006
ZFBP211,ZFBP2,0.009,0.021,0.004,0.005,0.445,0.007,0.008,0.005,0.164,0.079,0.005,0.004,0.003,0.024,0.207,0.009
ZFBP212,ZFBP2,0.085,0.011,0.003,0.004,0.043,0.006,0.003,0.006,0.361,0.043,0.004,0.003,0.003,0.092,0.274,0.06
ZFBP213,ZFBP2,0.007,0.009,0.008,0.005,0.014,0.006,0.027,0.01,0.057,0.382,0.008,0.005,0.004,0.044,0.404,0.01
ZFBP214,ZFBP2,0.008,0.007,0.016,0.006,0.01,0.005,0.01,0.024,0.017,0.725,0.013,0.003,0.003,0.011,0.128,0.014
ZFBP215,ZFBP2,0.007,0.009,0.005,0.003,0.02,0.004,0.005,0.008,0.032,0.04,0.004,0.003,0.003,0.106,0.746,0.005
ZFBP216,ZFBP2,0.046,0.012,0.004,0.007,0.051,0.004,0.006,0.005,0.334,0.051,0.013,0.006,0.005,0.013,0.437,0.005
ZFBP217,ZFBP2,0.016,0.006,0.005,0.004,0.02,0.004,0.003,0.042,0.04,0.6,0.009,0.002,0.003,0.015,0.219,0.012
ZFBP218,ZFBP2,0.019,0.012,0.004,0.003,0.261,0.005,0.003,0.022,0.223,0.038,0.006,0.003,0.003,0.12,0.275,0.003
ZFBP219,ZFBP2,0.016,0.005,0.003,0.006,0.01,0.003,0.004,0.005,0.091,0.041,0.009,0.005,0.007,0.514,0.277,0.004
ZFBP220,ZFBP2,0.034,0.033,0.023,0.004,0.028,0.003,0.008,0.049,0.326,0.023,0.006,0.003,0.003,0.045,0.398,0.016
ZFBP221,ZFBP2,0.248,0.033,0.004,0.004,0.147,0.008,0.003,0.009,0.3,0.06,0.007,0.003,0.004,0.049,0.108,0.013
ZFBP222,ZFBP2,0.005,0.005,0.007,0.004,0.024,0.004,0.005,0.008,0.064,0.128,0.007,0.004,0.005,0.086,0.641,0.003
ZFBP223,ZFBP2,0.061,0.01,0.008,0.007,0.056,0.009,0.009,0.009,0.155,0.042,0.006,0.004,0.005,0.019,0.378,0.223
ZFBP224,ZFBP2,0.008,0.009,0.005,0.005,0.008,0.005,0.013,0.005,0.134,0.141,0.006,0.004,0.004,0.067,0.579,0.005
ZFBP225,ZFBP2,0.23,0.014,0.014,0.005,0.028,0.003,0.009,0.216,0.251,0.033,0.011,0.005,0.009,0.04,0.113,0.021
ZFBP226,ZFBP2,0.007,0.005,0.003,0.004,0.02,0.003,0.004,0.005,0.164,0.009,0.004,0.004,0.004,0.014,0.749,0.004
ZFBP227,ZFBP2,0.064,0.017,0.005,0.031,0.02,0.015,0.009,0.006,0.269,0.014,0.121,0.015,0.004,0.017,0.385,0.008
ZFBP228,ZFBP2,0.066,0.056,0.013,0.004,0.14,0.005,0.006,0.007,0.458,0.015,0.005,0.003,0.002,0.086,0.082,0.052
ZFBP229,ZFBP2,0.055,0.014,0.007,0.004,0.226,0.003,0.004,0.038,0.087,0.03,0.009,0.003,0.003,0.162,0.348,0.007
ZFBP230,ZFBP2,0.044,0.046,0.023,0.004,0.055,0.003,0.007,0.038,0.545,0.048,0.009,0.003,0.003,0.031,0.13,0.01
ZFBP231,ZFBP2,0.031,0.028,0.005,0.007,0.473,0.007,0.021,0.006,0.244,0.056,0.01,0.005,0.005,0.043,0.052,0.007
ZFBP232,ZFBP2,0.009,0.009,0.004,0.003,0.398,0.003,0.006,0.008,0.113,0.071,0.004,0.003,0.003,0.019,0.345,0.004
ZFBP233,ZFBP2,0.008,0.014,0.003,0.004,0.01,0.004,0.006,0.016,0.763,0.097,0.007,0.003,0.003,0.021,0.037,0.004
NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZFCC01,ZFCC,0.003,0.004,0.927,0.004,0.003,0.008,0.008,0.004,0.004,0.005,0.005,0.007,0.004,0.004,0.004,0.005
ZFCC03,ZFCC,0.003,0.004,0.94,0.003,0.004,0.004,0.005,0.004,0.003,0.004,0.003,0.003,0.003,0.004,0.004,0.008
ZFCC04,ZFCC,0.004,0.004,0.92,0.005,0.003,0.006,0.017,0.006,0.004,0.005,0.005,0.005,0.004,0.004,0.004,0.006
ZFCC05,ZFCC,0.005,0.008,0.823,0.009,0.004,0.008,0.075,0.007,0.007,0.008,0.008,0.007,0.004,0.005,0.006,0.015
ZFCC08,ZFCC,0.007,0.032,0.825,0.003,0.015,0.004,0.012,0.027,0.011,0.021,0.009,0.003,0.002,0.012,0.011,0.005
ZFCC09,ZFCC,0.003,0.006,0.938,0.004,0.006,0.007,0.006,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.007
ZFCC10,ZFCC,0.002,0.005,0.931,0.004,0.004,0.011,0.009,0.004,0.004,0.005,0.004,0.004,0.003,0.004,0.004,0.004
ZFCC11,ZFCC,0.004,0.006,0.921,0.004,0.004,0.005,0.009,0.004,0.004,0.006,0.004,0.004,0.003,0.004,0.005,0.011
ZFCC12,ZFCC,0.008,0.011,0.768,0.011,0.004,0.014,0.034,0.005,0.009,0.006,0.01,0.088,0.004,0.007,0.01,0.01
ZFCC13,ZFCC,0.012,0.01,0.868,0.006,0.007,0.003,0.01,0.008,0.011,0.009,0.009,0.005,0.011,0.007,0.015,0.008
ZFCC14,ZFCC,0.005,0.004,0.839,0.007,0.01,0.015,0.037,0.009,0.008,0.016,0.004,0.005,0.007,0.017,0.01,0.006
ZFCC15,ZFCC,0.004,0.004,0.929,0.005,0.004,0.004,0.006,0.004,0.004,0.005,0.008,0.005,0.004,0.003,0.004,0.005
ZFCC16,ZFCC,0.003,0.004,0.929,0.004,0.003,0.005,0.017,0.004,0.003,0.004,0.005,0.005,0.003,0.003,0.003,0.004
ZFCC17,ZFCC,0.003,0.004,0.905,0.006,0.004,0.005,0.03,0.004,0.004,0.003,0.004,0.008,0.007,0.003,0.003,0.006
ZFCC18,ZFCC,0.003,0.005,0.928,0.004,0.004,0.005,0.009,0.005,0.004,0.006,0.004,0.004,0.004,0.004,0.004,0.008
