Ind,Pop,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18
TMA-ZAIN-G-134,MBC,0.01,0.023,0.021,0.007,0.016,0.012,0.025,0.008,0.009,0.609,0.096,0.074,0.015,0.015,0.003,0.046,0.009,0.003
TMA-ZAIN-G-135,MBC,0.006,0.016,0.077,0.004,0.012,0.004,0.021,0.007,0.005,0.664,0.014,0.104,0.024,0.008,0.003,0.024,0.004,0.003
TMA-ZAIN-G-136,MBC,0.011,0.01,0.009,0.003,0.004,0.003,0.007,0.01,0.008,0.859,0.006,0.005,0.04,0.007,0.003,0.008,0.003,0.004
TMA-ZAIN-G-137,MBC,0.008,0.017,0.014,0.005,0.015,0.008,0.005,0.038,0.045,0.529,0.011,0.004,0.021,0.018,0.003,0.252,0.003,0.004
TMA-ZAIN-G-138,MBC,0.013,0.017,0.013,0.008,0.006,0.004,0.02,0.011,0.009,0.222,0.007,0.005,0.627,0.018,0.004,0.005,0.007,0.005
TMA-ZAIN-G-139,MBC,0.021,0.008,0.104,0.003,0.01,0.003,0.003,0.02,0.037,0.654,0.012,0.013,0.077,0.016,0.003,0.008,0.003,0.004
TMA-ZAIN-G-140,MBC,0.013,0.024,0.074,0.003,0.026,0.003,0.006,0.013,0.023,0.651,0.009,0.008,0.098,0.03,0.003,0.008,0.003,0.005
TMA-ZAIN-G-141,MBC,0.206,0.01,0.014,0.003,0.004,0.01,0.005,0.044,0.251,0.319,0.019,0.007,0.071,0.019,0.004,0.008,0.004,0.003
TMA-ZAIN-G-142,MBC,0.6,0.017,0.032,0.003,0.006,0.007,0.009,0.04,0.046,0.136,0.012,0.022,0.029,0.018,0.007,0.005,0.005,0.005
TMA-ZAIN-G-143,MBC,0.429,0.011,0.013,0.003,0.004,0.007,0.006,0.041,0.249,0.092,0.014,0.006,0.083,0.021,0.003,0.011,0.003,0.003
TMA-ZAIN-G-144,MBC,0.06,0.009,0.057,0.003,0.004,0.009,0.006,0.095,0.087,0.514,0.017,0.008,0.068,0.04,0.004,0.012,0.004,0.004
TMA-ZAIN-G-145,MBC,0.01,0.005,0.047,0.005,0.015,0.017,0.01,0.022,0.219,0.467,0.039,0.009,0.09,0.025,0.004,0.006,0.007,0.003
TMA-ZAIN-G-146,MBC,0.041,0.031,0.035,0.002,0.013,0.006,0.005,0.073,0.05,0.037,0.013,0.006,0.305,0.171,0.003,0.205,0.003,0.003
TMA-ZAIN-G-147,MBC,0.821,0.009,0.004,0.002,0.003,0.003,0.003,0.069,0.027,0.026,0.004,0.004,0.006,0.005,0.003,0.004,0.003,0.003
TMA-ZAIN-G-148,MBC,0.63,0.011,0.006,0.003,0.004,0.004,0.004,0.139,0.027,0.125,0.008,0.004,0.009,0.008,0.003,0.009,0.003,0.002
TMA-ZAIN-G-149,MBC,0.612,0.009,0.022,0.003,0.02,0.003,0.004,0.088,0.02,0.133,0.018,0.046,0.005,0.004,0.003,0.004,0.003,0.002
