Ind,Pop,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18
TMA-ZAIN-G-329,FTBG,0.005,0.004,0.02,0.003,0.019,0.01,0.005,0.006,0.007,0.016,0.027,0.297,0.012,0.008,0.003,0.006,0.548,0.002
TMA-ZAIN-G-330,FTBG,0.008,0.006,0.245,0.003,0.011,0.007,0.007,0.012,0.006,0.013,0.024,0.602,0.005,0.008,0.003,0.034,0.003,0.003
TMA-ZAIN-G-331,FTBG,0.008,0.009,0.018,0.077,0.011,0.027,0.015,0.01,0.024,0.009,0.141,0.059,0.013,0.047,0.294,0.12,0.093,0.024
TMA-ZAIN-G-332,FTBG,0.018,0.154,0.058,0.006,0.014,0.012,0.059,0.131,0.014,0.282,0.047,0.032,0.023,0.053,0.004,0.083,0.007,0.004
NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TMA-ZAIN-G-333,UCBBG,0.042,0.022,0.642,0.003,0.013,0.009,0.01,0.039,0.018,0.023,0.039,0.013,0.016,0.058,0.004,0.043,0.004,0.003
TMA-ZAIN-G-334,UCBBG,0.008,0.024,0.012,0.022,0.016,0.008,0.215,0.215,0.013,0.213,0.176,0.011,0.007,0.024,0.004,0.005,0.019,0.009
TMA-ZAIN-G-335,UCBBG,0.005,0.005,0.007,0.002,0.005,0.004,0.003,0.043,0.005,0.007,0.791,0.066,0.008,0.036,0.002,0.006,0.003,0.003
TMA-ZAIN-G-336,UCBBG,0.004,0.003,0.004,0.002,0.005,0.003,0.004,0.023,0.003,0.004,0.035,0.873,0.003,0.023,0.003,0.004,0.005,0.002
TMA-ZAIN-G-337,UCBBG,0.004,0.004,0.004,0.89,0.006,0.009,0.017,0.004,0.005,0.004,0.003,0.003,0.003,0.005,0.009,0.003,0.011,0.015
TMA-ZAIN-G-338,UCBBG,0.005,0.005,0.004,0.914,0.003,0.006,0.01,0.006,0.006,0.005,0.004,0.003,0.004,0.005,0.004,0.006,0.005,0.004
TMA-ZAIN-G-339,UCBBG,0.009,0.009,0.01,0.744,0.006,0.026,0.096,0.008,0.011,0.01,0.005,0.005,0.006,0.011,0.018,0.005,0.012,0.009
TMA-ZAIN-G-340,UCBBG,0.01,0.005,0.005,0.668,0.005,0.045,0.015,0.007,0.009,0.007,0.005,0.003,0.005,0.007,0.115,0.004,0.02,0.063
TMA-ZAIN-G-341,UCBBG,0.005,0.003,0.004,0.841,0.006,0.01,0.011,0.004,0.005,0.004,0.003,0.004,0.003,0.004,0.052,0.003,0.009,0.029
TMA-ZAIN-G-342,UCBBG,0.002,0.002,0.002,0.932,0.003,0.003,0.004,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.007,0.002,0.007,0.019
TMA-ZAIN-G-343,UCBBG,0.004,0.003,0.003,0.927,0.002,0.004,0.016,0.003,0.003,0.003,0.003,0.002,0.003,0.003,0.005,0.003,0.006,0.007
TMA-ZAIN-G-344,UCBBG,0.004,0.004,0.008,0.907,0.002,0.006,0.005,0.007,0.004,0.007,0.004,0.004,0.006,0.004,0.008,0.004,0.005,0.011
TMA-ZAIN-G-345,UCBBG,0.005,0.005,0.004,0.858,0.003,0.005,0.062,0.004,0.004,0.005,0.004,0.003,0.005,0.004,0.006,0.004,0.008,0.009
NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TMA-ZAIN-G-347,GWL,0.003,0.003,0.005,0.881,0.002,0.005,0.005,0.004,0.003,0.005,0.003,0.003,0.005,0.003,0.018,0.002,0.008,0.041
TMA-ZAIN-G-348,GWL,0.005,0.004,0.006,0.892,0.004,0.01,0.005,0.004,0.005,0.006,0.006,0.006,0.005,0.004,0.016,0.003,0.014,0.005
TMA-ZAIN-G-349,GWL,0.003,0.003,0.003,0.937,0.004,0.005,0.006,0.003,0.003,0.003,0.003,0.003,0.002,0.003,0.005,0.003,0.005,0.005
TMA-ZAIN-G-350,GWL,0.003,0.003,0.003,0.873,0.005,0.005,0.004,0.025,0.003,0.003,0.013,0.004,0.003,0.022,0.008,0.003,0.012,0.008
TMA-ZAIN-G-351,GWL,0.003,0.003,0.003,0.931,0.003,0.006,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.009,0.003,0.005,0.007
TMA-ZAIN-G-352,GWL,0.006,0.005,0.005,0.83,0.008,0.021,0.012,0.006,0.007,0.005,0.004,0.005,0.004,0.007,0.047,0.004,0.011,0.013
TMA-ZAIN-G-353,GWL,0.005,0.006,0.003,0.907,0.004,0.005,0.004,0.003,0.004,0.004,0.003,0.004,0.004,0.005,0.012,0.003,0.009,0.016
TMA-ZAIN-G-354,GWL,0.006,0.008,0.017,0.725,0.004,0.028,0.018,0.011,0.006,0.016,0.006,0.008,0.007,0.012,0.022,0.005,0.071,0.03
TMA-ZAIN-G-355,GWL,0.003,0.004,0.004,0.918,0.005,0.009,0.005,0.003,0.004,0.003,0.003,0.004,0.003,0.004,0.011,0.004,0.006,0.005
TMA-ZAIN-G-356,GWL,0.009,0.007,0.007,0.831,0.004,0.01,0.053,0.009,0.011,0.008,0.004,0.003,0.007,0.008,0.007,0.007,0.005,0.008
TMA-ZAIN-G-357,GWL,0.007,0.004,0.018,0.743,0.004,0.015,0.007,0.006,0.006,0.012,0.008,0.013,0.008,0.006,0.092,0.003,0.03,0.018
TMA-ZAIN-G-358,GWL,0.008,0.003,0.007,0.883,0.002,0.011,0.003,0.004,0.006,0.008,0.01,0.005,0.008,0.003,0.019,0.002,0.012,0.004
TMA-ZAIN-G-359,GWL,0.01,0.004,0.017,0.843,0.003,0.008,0.004,0.01,0.008,0.018,0.009,0.007,0.015,0.006,0.018,0.004,0.008,0.009
NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TMA-ZAIN-G-360,HPLG,0.004,0.007,0.004,0.002,0.007,0.004,0.003,0.007,0.014,0.006,0.003,0.002,0.591,0.311,0.003,0.022,0.009,0.002
TMA-ZAIN-G-361,HPLG,0.022,0.025,0.013,0.003,0.006,0.012,0.012,0.015,0.076,0.036,0.095,0.248,0.094,0.288,0.011,0.034,0.006,0.003
TMA-ZAIN-G-362,HPLG,0.135,0.022,0.107,0.014,0.012,0.04,0.023,0.099,0.087,0.09,0.101,0.014,0.011,0.096,0.031,0.082,0.014,0.021
TMA-ZAIN-G-363,HPLG,0.006,0.047,0.007,0.014,0.016,0.018,0.094,0.009,0.034,0.057,0.006,0.004,0.176,0.254,0.014,0.194,0.047,0.004
TMA-ZAIN-G-364,HPLG,0.006,0.113,0.007,0.005,0.005,0.004,0.011,0.007,0.01,0.028,0.016,0.003,0.628,0.139,0.003,0.008,0.005,0.003
TMA-ZAIN-G-365,HPLG,0.038,0.014,0.576,0.003,0.006,0.007,0.006,0.023,0.022,0.057,0.025,0.011,0.068,0.116,0.006,0.012,0.005,0.007
TMA-ZAIN-G-366,HPLG,0.009,0.023,0.007,0.052,0.004,0.007,0.008,0.011,0.035,0.036,0.006,0.003,0.687,0.067,0.005,0.008,0.026,0.007
NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TMA-ZAIN-G-367,NBG,0.08,0.031,0.021,0.008,0.009,0.025,0.07,0.098,0.071,0.192,0.277,0.045,0.024,0.014,0.005,0.013,0.015,0.004
TMA-ZAIN-G-368,NBG,0.052,0.035,0.01,0.022,0.011,0.11,0.063,0.016,0.018,0.022,0.023,0.011,0.009,0.009,0.007,0.013,0.034,0.535
TMA-ZAIN-G-369,NBG,0.025,0.007,0.015,0.092,0.003,0.073,0.005,0.422,0.094,0.105,0.021,0.003,0.057,0.023,0.012,0.016,0.023,0.005
TMA-ZAIN-G-370,NBG,0.019,0.011,0.006,0.003,0.004,0.004,0.008,0.867,0.032,0.007,0.004,0.003,0.004,0.008,0.003,0.011,0.003,0.002
TMA-ZAIN-G-371,NBG,0.02,0.008,0.387,0.005,0.021,0.012,0.023,0.014,0.024,0.031,0.074,0.041,0.047,0.153,0.016,0.006,0.014,0.104
TMA-ZAIN-G-372,NBG,0.02,0.091,0.009,0.003,0.006,0.006,0.01,0.722,0.033,0.018,0.01,0.007,0.006,0.015,0.004,0.032,0.004,0.003
TMA-ZAIN-G-373,NBG,0.017,0.01,0.037,0.002,0.004,0.006,0.007,0.024,0.012,0.014,0.805,0.012,0.01,0.011,0.003,0.02,0.004,0.002
TMA-ZAIN-G-374,NBG,0.026,0.009,0.056,0.003,0.004,0.005,0.004,0.335,0.015,0.086,0.372,0.024,0.011,0.029,0.004,0.009,0.004,0.005
TMA-ZAIN-G-376,NBG,0.031,0.108,0.005,0.003,0.004,0.005,0.005,0.015,0.511,0.06,0.014,0.011,0.044,0.136,0.009,0.03,0.004,0.003
TMA-ZAIN-G-377,NBG,0.011,0.015,0.014,0.003,0.007,0.005,0.005,0.623,0.035,0.085,0.025,0.004,0.113,0.028,0.003,0.016,0.003,0.004
TMA-ZAIN-G-378,NBG,0.004,0.004,0.08,0.004,0.008,0.008,0.005,0.006,0.006,0.016,0.514,0.32,0.003,0.005,0.003,0.006,0.006,0.003
NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TMA-ZAIN-G-379,KWTFBG,0.015,0.009,0.433,0.007,0.061,0.019,0.01,0.017,0.008,0.039,0.025,0.035,0.02,0.024,0.206,0.005,0.021,0.048
TMA-ZAIN-G-380,KWTFBG,0.049,0.011,0.144,0.009,0.006,0.014,0.01,0.016,0.015,0.054,0.095,0.021,0.032,0.017,0.072,0.008,0.413,0.015
TMA-ZAIN-G-381,KWTFBG,0.011,0.025,0.006,0.003,0.003,0.004,0.005,0.015,0.056,0.012,0.134,0.005,0.491,0.213,0.005,0.004,0.004,0.003
TMA-ZAIN-G-382,KWTFBG,0.017,0.137,0.008,0.002,0.005,0.004,0.004,0.026,0.055,0.016,0.075,0.006,0.508,0.107,0.003,0.02,0.003,0.002
TMA-ZAIN-G-383,KWTFBG,0.004,0.009,0.004,0.002,0.003,0.002,0.003,0.004,0.007,0.007,0.009,0.005,0.908,0.017,0.003,0.007,0.002,0.002
TMA-ZAIN-G-384,KWTFBG,0.004,0.008,0.013,0.002,0.018,0.003,0.003,0.004,0.011,0.02,0.018,0.023,0.748,0.107,0.004,0.009,0.003,0.003
TMA-ZAIN-G-385,KWTFBG,0.016,0.057,0.005,0.003,0.004,0.004,0.005,0.733,0.015,0.007,0.013,0.005,0.007,0.088,0.002,0.031,0.003,0.002
TMA-ZAIN-G-386,KWTFBG,0.118,0.024,0.02,0.006,0.018,0.43,0.03,0.18,0.02,0.012,0.009,0.011,0.006,0.016,0.011,0.024,0.062,0.005
TMA-ZAIN-G-387,KWTFBG,0.005,0.006,0.007,0.083,0.007,0.021,0.026,0.108,0.004,0.017,0.013,0.006,0.004,0.054,0.252,0.003,0.228,0.156
NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZFB01,ZFB,0.004,0.004,0.003,0.007,0.004,0.004,0.003,0.004,0.004,0.004,0.003,0.003,0.004,0.005,0.009,0.003,0.004,0.93
ZFB02,ZFB,0.003,0.003,0.003,0.019,0.008,0.004,0.006,0.004,0.004,0.003,0.002,0.002,0.003,0.004,0.01,0.003,0.005,0.912
ZFB03,ZFB,0.01,0.004,0.009,0.005,0.005,0.01,0.006,0.005,0.009,0.01,0.012,0.019,0.012,0.007,0.019,0.002,0.014,0.841
ZFB04,ZFB,0.005,0.003,0.003,0.017,0.005,0.003,0.007,0.006,0.006,0.004,0.003,0.002,0.004,0.004,0.007,0.002,0.004,0.916
ZFB05,ZFB,0.003,0.003,0.003,0.055,0.007,0.016,0.049,0.005,0.004,0.005,0.007,0.012,0.002,0.007,0.013,0.01,0.025,0.775
ZFB06,ZFB,0.003,0.003,0.003,0.027,0.007,0.014,0.018,0.005,0.004,0.005,0.006,0.011,0.002,0.007,0.009,0.009,0.02,0.847
ZFB07,ZFB,0.011,0.006,0.006,0.009,0.004,0.008,0.009,0.008,0.008,0.009,0.006,0.005,0.01,0.006,0.079,0.005,0.04,0.772
ZFB08,ZFB,0.009,0.01,0.015,0.006,0.006,0.022,0.012,0.008,0.008,0.009,0.006,0.005,0.008,0.013,0.032,0.007,0.007,0.817
ZFB09,ZFB,0.003,0.003,0.003,0.005,0.004,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.004,0.003,0.009,0.003,0.004,0.938
ZFB10,ZFB,0.016,0.008,0.008,0.006,0.003,0.005,0.007,0.009,0.016,0.009,0.006,0.002,0.027,0.012,0.004,0.005,0.004,0.853
ZFB11,ZFB,0.006,0.005,0.003,0.009,0.005,0.003,0.005,0.005,0.005,0.006,0.003,0.002,0.007,0.006,0.004,0.003,0.003,0.92
ZFB12,ZFB,0.009,0.007,0.003,0.027,0.004,0.017,0.004,0.004,0.01,0.008,0.007,0.005,0.004,0.005,0.005,0.003,0.012,0.865
ZFB13,ZFB,0.012,0.012,0.01,0.006,0.004,0.011,0.015,0.01,0.01,0.012,0.006,0.004,0.012,0.014,0.009,0.007,0.008,0.838
ZFB14,ZFB,0.005,0.004,0.003,0.004,0.004,0.004,0.006,0.004,0.004,0.005,0.003,0.003,0.006,0.006,0.007,0.003,0.004,0.923
ZFB15,ZFB,0.004,0.002,0.003,0.011,0.003,0.004,0.003,0.003,0.003,0.003,0.003,0.002,0.003,0.003,0.008,0.002,0.004,0.937
ZFB16,ZFB,0.01,0.006,0.007,0.014,0.003,0.008,0.014,0.008,0.008,0.008,0.006,0.003,0.007,0.005,0.007,0.005,0.006,0.875
ZFB17,ZFB,0.006,0.003,0.007,0.013,0.009,0.018,0.025,0.019,0.011,0.009,0.007,0.003,0.006,0.006,0.007,0.008,0.006,0.837
ZFB18,ZFB,0.003,0.003,0.003,0.003,0.004,0.003,0.003,0.002,0.003,0.003,0.002,0.003,0.005,0.005,0.005,0.002,0.003,0.944
ZFB19,ZFB,0.043,0.008,0.016,0.005,0.003,0.029,0.005,0.025,0.025,0.032,0.016,0.005,0.052,0.016,0.023,0.007,0.031,0.657
ZFB20,ZFB,0.008,0.005,0.006,0.03,0.002,0.007,0.016,0.009,0.008,0.008,0.005,0.003,0.008,0.005,0.006,0.004,0.005,0.864
ZFB21,ZFB,0.003,0.003,0.003,0.008,0.003,0.004,0.005,0.003,0.003,0.003,0.003,0.004,0.003,0.003,0.009,0.002,0.007,0.932
ZFB22,ZFB,0.006,0.004,0.006,0.036,0.006,0.009,0.005,0.012,0.008,0.009,0.007,0.002,0.007,0.007,0.006,0.007,0.006,0.857
ZFB23,ZFB,0.006,0.006,0.003,0.01,0.004,0.003,0.007,0.004,0.005,0.006,0.004,0.003,0.007,0.004,0.003,0.003,0.005,0.917
ZFB24,ZFB,0.008,0.005,0.003,0.018,0.004,0.003,0.008,0.005,0.005,0.006,0.003,0.003,0.005,0.005,0.005,0.003,0.004,0.907
ZFB25,ZFB,0.015,0.006,0.005,0.004,0.003,0.003,0.004,0.009,0.01,0.01,0.006,0.003,0.021,0.009,0.004,0.003,0.004,0.879
ZFB26,ZFB,0.021,0.01,0.004,0.022,0.004,0.003,0.015,0.009,0.01,0.016,0.006,0.003,0.013,0.006,0.005,0.003,0.006,0.844
ZFB27,ZFB,0.005,0.005,0.003,0.032,0.004,0.003,0.004,0.005,0.005,0.007,0.004,0.002,0.007,0.004,0.005,0.003,0.005,0.899
ZFB28,ZFB,0.005,0.01,0.004,0.06,0.007,0.013,0.013,0.005,0.008,0.01,0.007,0.005,0.005,0.006,0.005,0.003,0.031,0.802
ZFB29,ZFB,0.004,0.004,0.002,0.01,0.005,0.003,0.01,0.002,0.003,0.003,0.002,0.002,0.004,0.004,0.005,0.002,0.005,0.93
ZFB30,ZFB,0.006,0.006,0.003,0.063,0.004,0.011,0.006,0.005,0.005,0.009,0.009,0.01,0.004,0.008,0.018,0.013,0.067,0.753
ZFB31,ZFB,0.009,0.007,0.005,0.006,0.004,0.003,0.004,0.009,0.009,0.01,0.005,0.003,0.017,0.011,0.006,0.004,0.005,0.883
ZFB32,ZFB,0.008,0.015,0.005,0.036,0.018,0.024,0.026,0.009,0.016,0.02,0.01,0.007,0.006,0.01,0.008,0.004,0.027,0.751
ZFB33,ZFB,0.004,0.003,0.003,0.007,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.003,0.003,0.003,0.006,0.002,0.004,0.941
ZFB34,ZFB,0.003,0.003,0.004,0.004,0.006,0.004,0.004,0.003,0.003,0.004,0.003,0.004,0.004,0.005,0.016,0.003,0.005,0.92
ZFB35,ZFB,0.009,0.004,0.005,0.008,0.005,0.005,0.009,0.006,0.007,0.006,0.004,0.004,0.006,0.006,0.016,0.003,0.005,0.889
NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZFBP101,ZFBP1,0.053,0.014,0.07,0.005,0.04,0.012,0.071,0.213,0.047,0.269,0.031,0.017,0.026,0.068,0.005,0.042,0.007,0.008
ZFBP102,ZFBP1,0.422,0.012,0.072,0.006,0.008,0.008,0.029,0.084,0.088,0.148,0.036,0.004,0.018,0.026,0.006,0.012,0.008,0.014
ZFBP103,ZFBP1,0.084,0.009,0.196,0.005,0.113,0.007,0.039,0.034,0.052,0.173,0.105,0.029,0.105,0.02,0.004,0.012,0.006,0.007
ZFBP104,ZFBP1,0.061,0.014,0.021,0.008,0.003,0.033,0.006,0.199,0.023,0.146,0.228,0.009,0.17,0.012,0.026,0.009,0.016,0.016
ZFBP105,ZFBP1,0.103,0.196,0.013,0.004,0.004,0.007,0.007,0.113,0.073,0.273,0.092,0.014,0.037,0.041,0.006,0.007,0.006,0.005
ZFBP106,ZFBP1,0.806,0.01,0.012,0.003,0.005,0.004,0.007,0.039,0.033,0.013,0.01,0.009,0.019,0.012,0.003,0.008,0.003,0.003
ZFBP107,ZFBP1,0.033,0.065,0.015,0.008,0.004,0.006,0.02,0.02,0.022,0.562,0.12,0.013,0.069,0.017,0.004,0.005,0.009,0.005
ZFBP108,ZFBP1,0.183,0.035,0.006,0.003,0.003,0.003,0.005,0.014,0.151,0.039,0.014,0.008,0.5,0.018,0.004,0.007,0.003,0.003
ZFBP109,ZFBP1,0.084,0.03,0.058,0.002,0.004,0.003,0.003,0.451,0.019,0.236,0.009,0.004,0.06,0.015,0.011,0.004,0.003,0.003
ZFBP110,ZFBP1,0.121,0.026,0.019,0.005,0.022,0.013,0.031,0.116,0.214,0.058,0.105,0.07,0.026,0.095,0.011,0.006,0.023,0.039
ZFBP111,ZFBP1,0.273,0.011,0.012,0.003,0.004,0.009,0.005,0.115,0.174,0.128,0.054,0.01,0.024,0.069,0.003,0.1,0.003,0.002
ZFBP112,ZFBP1,0.016,0.013,0.01,0.005,0.01,0.007,0.009,0.026,0.302,0.413,0.011,0.007,0.058,0.034,0.006,0.065,0.004,0.003
ZFBP113,ZFBP1,0.032,0.009,0.007,0.006,0.003,0.01,0.004,0.022,0.322,0.071,0.024,0.004,0.429,0.041,0.004,0.005,0.005,0.003
ZFBP114,ZFBP1,0.555,0.201,0.064,0.005,0.006,0.003,0.012,0.011,0.017,0.069,0.017,0.003,0.009,0.005,0.01,0.004,0.006,0.003
ZFBP115,ZFBP1,0.049,0.047,0.042,0.003,0.012,0.007,0.011,0.026,0.031,0.128,0.55,0.026,0.02,0.016,0.003,0.022,0.004,0.002
ZFBP116,ZFBP1,0.229,0.011,0.011,0.005,0.004,0.01,0.007,0.044,0.214,0.112,0.041,0.006,0.262,0.026,0.003,0.007,0.006,0.002
ZFBP117,ZFBP1,0.072,0.156,0.013,0.003,0.01,0.005,0.007,0.022,0.098,0.082,0.019,0.011,0.419,0.062,0.003,0.011,0.005,0.003
ZFBP118,ZFBP1,0.25,0.134,0.052,0.005,0.004,0.004,0.012,0.055,0.034,0.229,0.023,0.004,0.144,0.03,0.003,0.009,0.006,0.003
ZFBP119,ZFBP1,0.063,0.284,0.1,0.003,0.02,0.018,0.013,0.067,0.035,0.04,0.102,0.018,0.034,0.173,0.005,0.019,0.005,0.003
ZFBP120,ZFBP1,0.061,0.084,0.013,0.004,0.004,0.007,0.004,0.033,0.097,0.55,0.043,0.013,0.05,0.016,0.006,0.006,0.005,0.005
ZFBP121,ZFBP1,0.405,0.123,0.023,0.003,0.008,0.005,0.007,0.039,0.102,0.075,0.01,0.007,0.053,0.116,0.007,0.006,0.004,0.007
ZFBP122,ZFBP1,0.434,0.014,0.013,0.003,0.004,0.006,0.006,0.098,0.286,0.035,0.013,0.006,0.032,0.028,0.003,0.012,0.003,0.003
ZFBP123,ZFBP1,0.059,0.008,0.01,0.004,0.008,0.006,0.027,0.135,0.646,0.018,0.009,0.006,0.019,0.019,0.005,0.015,0.004,0.003
ZFBP124,ZFBP1,0.185,0.074,0.06,0.004,0.005,0.004,0.01,0.423,0.09,0.048,0.009,0.005,0.027,0.015,0.025,0.006,0.004,0.007
ZFBP125,ZFBP1,0.121,0.205,0.022,0.003,0.007,0.005,0.006,0.18,0.034,0.036,0.055,0.011,0.249,0.033,0.003,0.025,0.003,0.003
ZFBP126,ZFBP1,0.083,0.014,0.01,0.007,0.017,0.015,0.021,0.023,0.547,0.025,0.015,0.003,0.152,0.032,0.005,0.007,0.014,0.009
ZFBP127,ZFBP1,0.683,0.006,0.021,0.003,0.009,0.003,0.004,0.095,0.021,0.076,0.024,0.029,0.008,0.005,0.003,0.004,0.004,0.002
ZFBP128,ZFBP1,0.017,0.024,0.04,0.003,0.017,0.004,0.008,0.1,0.039,0.061,0.011,0.019,0.421,0.188,0.004,0.039,0.003,0.003
ZFBP129,ZFBP1,0.369,0.14,0.009,0.002,0.011,0.005,0.006,0.018,0.079,0.009,0.005,0.006,0.085,0.208,0.008,0.035,0.004,0.004
ZFBP130,ZFBP1,0.056,0.213,0.035,0.004,0.032,0.009,0.008,0.243,0.038,0.081,0.036,0.011,0.058,0.069,0.002,0.099,0.004,0.002
ZFBP131,ZFBP1,0.122,0.19,0.005,0.003,0.004,0.005,0.004,0.019,0.483,0.013,0.005,0.003,0.073,0.054,0.005,0.006,0.003,0.003
ZFBP132,ZFBP1,0.673,0.114,0.006,0.002,0.005,0.004,0.003,0.025,0.065,0.013,0.013,0.008,0.035,0.018,0.003,0.004,0.003,0.004
ZFBP133,ZFBP1,0.012,0.008,0.006,0.002,0.005,0.004,0.003,0.009,0.395,0.01,0.004,0.003,0.136,0.376,0.003,0.019,0.002,0.002
ZFBP134,ZFBP1,0.016,0.011,0.084,0.003,0.017,0.009,0.003,0.063,0.089,0.593,0.042,0.007,0.019,0.026,0.003,0.009,0.003,0.003
ZFBP135,ZFBP1,0.038,0.027,0.069,0.004,0.121,0.006,0.06,0.026,0.054,0.093,0.018,0.027,0.193,0.228,0.006,0.013,0.006,0.012
ZFBP136,ZFBP1,0.04,0.006,0.062,0.004,0.023,0.005,0.055,0.599,0.036,0.071,0.017,0.024,0.01,0.011,0.003,0.027,0.004,0.003
NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZFBP201,ZFBP2,0.026,0.006,0.004,0.004,0.004,0.004,0.005,0.008,0.885,0.008,0.006,0.007,0.011,0.008,0.004,0.003,0.004,0.004
ZFBP202,ZFBP2,0.038,0.064,0.015,0.003,0.004,0.005,0.005,0.13,0.267,0.118,0.045,0.013,0.174,0.084,0.01,0.014,0.005,0.005
ZFBP203,ZFBP2,0.047,0.018,0.007,0.032,0.004,0.019,0.007,0.043,0.697,0.019,0.012,0.005,0.016,0.016,0.007,0.021,0.023,0.007
ZFBP204,ZFBP2,0.044,0.042,0.023,0.004,0.008,0.008,0.023,0.594,0.044,0.067,0.052,0.024,0.019,0.017,0.005,0.018,0.005,0.004
ZFBP205,ZFBP2,0.022,0.099,0.005,0.004,0.006,0.005,0.01,0.063,0.685,0.013,0.029,0.003,0.014,0.023,0.003,0.011,0.003,0.002
ZFBP206,ZFBP2,0.013,0.005,0.006,0.004,0.006,0.007,0.015,0.087,0.771,0.007,0.005,0.005,0.012,0.033,0.005,0.013,0.003,0.003
ZFBP207,ZFBP2,0.022,0.504,0.009,0.004,0.016,0.008,0.011,0.072,0.061,0.012,0.125,0.109,0.009,0.014,0.005,0.009,0.006,0.005
ZFBP208,ZFBP2,0.013,0.006,0.005,0.005,0.004,0.006,0.008,0.032,0.875,0.009,0.006,0.003,0.006,0.006,0.004,0.005,0.004,0.003
ZFBP209,ZFBP2,0.137,0.017,0.007,0.002,0.01,0.004,0.003,0.103,0.265,0.043,0.006,0.003,0.062,0.259,0.003,0.071,0.002,0.003
ZFBP210,ZFBP2,0.02,0.007,0.004,0.004,0.003,0.006,0.004,0.034,0.865,0.008,0.006,0.007,0.006,0.009,0.004,0.007,0.004,0.003
ZFBP211,ZFBP2,0.481,0.252,0.015,0.003,0.004,0.005,0.008,0.039,0.028,0.08,0.006,0.01,0.026,0.022,0.008,0.004,0.004,0.006
ZFBP212,ZFBP2,0.345,0.031,0.009,0.003,0.003,0.004,0.003,0.081,0.164,0.15,0.051,0.048,0.077,0.01,0.005,0.007,0.003,0.006
ZFBP213,ZFBP2,0.033,0.01,0.008,0.005,0.007,0.008,0.026,0.013,0.654,0.016,0.007,0.009,0.023,0.153,0.009,0.01,0.005,0.004
ZFBP214,ZFBP2,0.008,0.009,0.009,0.004,0.019,0.017,0.013,0.048,0.524,0.008,0.01,0.018,0.009,0.271,0.007,0.017,0.006,0.004
ZFBP215,ZFBP2,0.253,0.025,0.01,0.003,0.006,0.004,0.005,0.025,0.408,0.011,0.007,0.006,0.129,0.086,0.005,0.01,0.003,0.003
ZFBP216,ZFBP2,0.126,0.039,0.012,0.005,0.004,0.015,0.005,0.081,0.494,0.123,0.028,0.005,0.013,0.028,0.005,0.005,0.007,0.004
ZFBP217,ZFBP2,0.036,0.016,0.006,0.003,0.005,0.01,0.004,0.018,0.523,0.018,0.016,0.018,0.009,0.269,0.004,0.039,0.004,0.004
ZFBP218,ZFBP2,0.025,0.229,0.01,0.003,0.004,0.006,0.003,0.033,0.496,0.066,0.018,0.003,0.051,0.02,0.011,0.017,0.003,0.002
ZFBP219,ZFBP2,0.052,0.008,0.005,0.004,0.003,0.006,0.004,0.012,0.495,0.077,0.012,0.003,0.275,0.031,0.003,0.005,0.004,0.002
ZFBP220,ZFBP2,0.177,0.028,0.027,0.003,0.025,0.007,0.007,0.023,0.225,0.322,0.021,0.016,0.043,0.019,0.003,0.05,0.003,0.003
ZFBP221,ZFBP2,0.033,0.141,0.022,0.003,0.004,0.006,0.003,0.199,0.16,0.199,0.139,0.01,0.04,0.015,0.01,0.009,0.003,0.004
ZFBP222,ZFBP2,0.013,0.011,0.005,0.004,0.005,0.005,0.005,0.007,0.846,0.013,0.004,0.003,0.024,0.039,0.004,0.006,0.003,0.004
ZFBP223,ZFBP2,0.104,0.053,0.01,0.004,0.01,0.006,0.009,0.093,0.344,0.043,0.047,0.209,0.024,0.013,0.006,0.01,0.006,0.008
ZFBP224,ZFBP2,0.016,0.006,0.008,0.004,0.004,0.006,0.01,0.011,0.846,0.025,0.007,0.005,0.017,0.017,0.006,0.004,0.005,0.003
ZFBP225,ZFBP2,0.034,0.017,0.011,0.006,0.011,0.01,0.009,0.028,0.183,0.291,0.119,0.021,0.031,0.017,0.003,0.202,0.005,0.003
ZFBP226,ZFBP2,0.753,0.017,0.004,0.005,0.003,0.006,0.004,0.008,0.115,0.045,0.007,0.004,0.008,0.006,0.003,0.004,0.004,0.003
ZFBP227,ZFBP2,0.361,0.017,0.017,0.011,0.005,0.118,0.009,0.026,0.148,0.145,0.041,0.008,0.019,0.012,0.02,0.006,0.029,0.008
