Ind,Population,C1,C2,C3,C4,,
QAc-G-0305,CBG,0.018,0.054,0.81,0.119,,
QAc-G-0306,CBG,0.003,0.003,0.99,0.005,,
QAc-G-0307,CBG,0.063,0.018,0.019,0.9,,
QAc-G-0308,CBG,0.011,0.007,0.013,0.969,,
QAc-G-0309,CBG,0.006,0.004,0.005,0.985,,
QAc-G-0310,CBG,0.005,0.003,0.005,0.987,,
QAc-G-0311,CBG,0.003,0.002,0.003,0.992,,
QAc-G-0312,CBG,0.23,0.165,0.008,0.597,,
QAc-G-0313,CBG,0.871,0.048,0.059,0.022,,
QAc-G-0314,CBG,0.961,0.026,0.003,0.009,,
QAc-G-0315,CBG,0.297,0.649,0.045,0.008,,
QAc-G-0316,CBG,0.822,0.102,0.013,0.063,,
NA,NA,0,0,0,0,,
QAc-G-0032,DBG,0.011,0.974,0.008,0.007,,
QAc-G-0033,DBG,0.978,0.009,0.006,0.007,,
QAc-G-0034,DBG,0.945,0.016,0.006,0.033,,
QAc-G-0035,DBG,0.974,0.009,0.01,0.007,,
QAc-G-0036,DBG,0.971,0.007,0.014,0.008,,
QAc-G-0037,DBG,0.941,0.007,0.028,0.023,,
QAc-G-0038,DBG,0.989,0.004,0.004,0.002,,
QAc-G-0039,DBG,0.949,0.008,0.007,0.036,,
QAc-G-0040,DBG,0.969,0.007,0.016,0.008,,
QAc-G-0041,DBG,0.987,0.005,0.004,0.004,,
QAc-G-0042,DBG,0.974,0.012,0.011,0.004,,
QAc-G-0043,DBG,0.974,0.004,0.01,0.012,,
QAc-G-0044,DBG,0.943,0.04,0.013,0.004,,
QAc-G-0045,DBG,0.958,0.011,0.009,0.021,,
QAc-G-0046,DBG,0.97,0.005,0.003,0.021,,
QAc-G-0047,DBG,0.939,0.012,0.007,0.042,,
QAc-G-0048,DBG,0.987,0.005,0.005,0.003,,
QAc-G-0049,DBG,0.003,0.003,0.005,0.989,,
QAc-G-0050,DBG,0.043,0.627,0.067,0.263,,
QAc-G-0051,DBG,0.003,0.003,0.004,0.99,,
QAc-G-0052,DBG,0.011,0.012,0.004,0.973,,
QAc-G-0053,DBG,0.007,0.003,0.009,0.981,,
QAc-G-0054,DBG,0.378,0.087,0.005,0.53,,
QAc-G-0055,DBG,0.19,0.139,0.006,0.666,,
QAc-G-0056,DBG,0.485,0.43,0.017,0.067,,
QAc-G-0057,DBG,0.004,0.003,0.004,0.989,,
QAc-G-0058,DBG,0.004,0.004,0.004,0.989,,
QAc-G-0059,DBG,0.178,0.074,0.003,0.744,,
QAc-G-0060,DBG,0.011,0.01,0.012,0.967,,
NA,NA,0,0,0,0,,
QAc-G-0276,FGT,0.023,0.005,0.95,0.022,,
QAc-G-0279,FGT,0.004,0.003,0.987,0.007,,
QAc-G-0280,FGT,0.006,0.004,0.986,0.004,,
QAc-G-0281,FGT,0.004,0.004,0.007,0.984,,
NA,NA,0,0,0,0,,
QAc-G-0018,HBG,0.94,0.024,0.008,0.027,,
QAc-G-0019,HBG,0.959,0.021,0.016,0.004,,
QAc-G-0020,HBG,0.976,0.012,0.004,0.008,,
QAc-G-0021,HBG,0.967,0.012,0.004,0.017,,
QAc-G-0022,HBG,0.967,0.019,0.006,0.009,,
QAc-G-0023,HBG,0.004,0.003,0.004,0.989,,
QAc-G-0024,HBG,0.006,0.004,0.003,0.987,,
QAc-G-0016,HBG,0.078,0.538,0.02,0.364,,
QAc-G-0017,HBG,0.008,0.984,0.006,0.003,,
NA,NA,0,0,0,0,,
QAc-G-0250,Meis,0.083,0.275,0.609,0.033,,
NA,NA,0,0,0,0,,
QAc-G-0003,MBG,0.005,0.004,0.985,0.005,,
QAc-G-0004,MBG,0.046,0.938,0.005,0.011,,
QAc-G-0005,MBG,0.006,0.985,0.004,0.005,,
QAc-G-0006,MBG,0.052,0.936,0.007,0.005,,
NA,NA,0,0,0,0,,
QAc-G-0283,Moore,0.937,0.042,0.015,0.006,,
NA,NA,0,0,0,0,,
QAc-G-0265,MA,0.494,0.025,0.026,0.455,,
QAc-G-0266,MA,0.003,0.002,0.005,0.989,,
QAc-G-0267,MA,0.902,0.033,0.058,0.008,,
QAc-G-0268,MA,0.019,0.333,0.638,0.011,,
QAc-G-0269,MA,0.004,0.003,0.988,0.005,,
QAc-G-0270,MA,0.979,0.008,0.007,0.005,,
QAc-G-0271,MA,0.84,0.149,0.006,0.005,,
QAc-G-0272,MA,0.94,0.01,0.041,0.009,,
QAc-G-0273,MA,0.005,0.006,0.005,0.984,,
QAc-G-0274,MA,0.01,0.982,0.004,0.004,,
NA,NA,0,0,0,0,,
QAc-G-0251,Peckerwood,0.926,0.064,0.005,0.005,,
QAc-G-0252,Peckerwood,0.974,0.014,0.007,0.005,,
QAc-G-0253,Peckerwood,0.005,0.003,0.005,0.987,,
QAc-G-0254,Peckerwood,0.003,0.003,0.003,0.991,,
QAc-G-0255,Peckerwood,0.013,0.977,0.005,0.006,,
QAc-G-0256,Peckerwood,0.007,0.975,0.012,0.006,,
QAc-G-0257,Peckerwood,0.008,0.983,0.004,0.005,,
QAc-G-0258,Peckerwood,0.006,0.988,0.003,0.003,,
QAc-G-0259,Peckerwood,0.696,0.297,0.004,0.004,,
QAc-G-0260,Peckerwood,0.127,0.794,0.059,0.02,,
QAc-G-0261,Peckerwood,0.011,0.978,0.005,0.006,,
QAc-G-0262,Peckerwood,0.01,0.971,0.01,0.008,,
NA,NA,0,0,0,0,,
QAc-G-0010,TMA,0.038,0.006,0.935,0.021,,
QAc-G-0011,TMA,0.983,0.009,0.004,0.004,,
QAc-G-0015,TMA,0.036,0.069,0.007,0.888,,
QAc-G-0106,TMA,0.005,0.99,0.003,0.003,,
QAc-G-0107,TMA,0.009,0.971,0.009,0.011,,
QAc-G-0108,TMA,0.01,0.981,0.006,0.003,,
QAc-G-0109,TMA,0.013,0.974,0.005,0.008,,
QAc-G-0110,TMA,0.173,0.698,0.119,0.01,,
QAc-G-0111,TMA,0.015,0.965,0.011,0.008,,
QAc-G-0112,TMA,0.007,0.959,0.025,0.01,,
QAc-G-0113,TMA,0.006,0.974,0.008,0.011,,
QAc-G-0114,TMA,0.072,0.871,0.03,0.027,,
QAc-G-0115,TMA,0.006,0.984,0.006,0.004,,
QAc-G-0116,TMA,0.008,0.975,0.01,0.008,,
QAc-G-0117,TMA,0.101,0.872,0.01,0.016,,
QAc-G-0118,TMA,0.007,0.986,0.004,0.003,,
QAc-G-0119,TMA,0.011,0.981,0.002,0.006,,
QAc-G-0120,TMA,0.042,0.942,0.007,0.008,,
QAc-G-0121,TMA,0.006,0.986,0.004,0.004,,
QAc-G-0122,TMA,0.01,0.96,0.025,0.005,,
QAc-G-0123,TMA,0.012,0.981,0.002,0.004,,
QAc-G-0124,TMA,0.021,0.968,0.005,0.007,,
QAc-G-0125,TMA,0.085,0.845,0.029,0.041,,
QAc-G-0126,TMA,0.014,0.956,0.006,0.023,,
QAc-G-0127,TMA,0.01,0.98,0.004,0.005,,
QAc-G-0128,TMA,0.008,0.976,0.01,0.006,,
QAc-G-0129,TMA,0.008,0.984,0.004,0.003,,
QAc-G-0130,TMA,0.007,0.986,0.004,0.003,,
QAc-G-0131,TMA,0.01,0.979,0.005,0.006,,
QAc-G-0132,TMA,0.006,0.981,0.007,0.005,,
QAc-G-0133,TMA,0.025,0.962,0.007,0.005,,
QAc-G-0134,TMA,0.009,0.98,0.005,0.006,,
QAc-G-0135,TMA,0.023,0.952,0.01,0.015,,
QAc-G-0136,TMA,0.013,0.964,0.014,0.008,,
QAc-G-0137,TMA,0.011,0.98,0.005,0.004,,
QAc-G-0138,TMA,0.009,0.974,0.006,0.011,,
QAc-G-0139,TMA,0.009,0.984,0.004,0.003,,
QAc-G-0140,TMA,0.008,0.979,0.007,0.006,,
QAc-G-0141,TMA,0.262,0.656,0.026,0.056,,
QAc-G-0142,TMA,0.012,0.981,0.004,0.003,,
QAc-G-0143,TMA,0.204,0.749,0.028,0.019,,
QAc-G-0144,TMA,0.017,0.962,0.009,0.012,,
QAc-G-0145,TMA,0.004,0.003,0.989,0.004,,
QAc-G-0146,TMA,0.017,0.972,0.006,0.005,,
QAc-G-0147,TMA,0.074,0.911,0.009,0.007,,
QAc-G-0148,TMA,0.015,0.968,0.008,0.008,,
QAc-G-0149,TMA,0.009,0.982,0.005,0.004,,
QAc-G-0150,TMA,0.004,0.003,0.987,0.005,,
QAc-G-0151,TMA,0.013,0.977,0.006,0.004,,
QAc-G-0152,TMA,0.055,0.928,0.005,0.011,,
QAc-G-0153,TMA,0.016,0.971,0.01,0.003,,
QAc-G-0154,TMA,0.011,0.979,0.007,0.004,,
QAc-G-0155,TMA,0.024,0.967,0.005,0.004,,
QAc-G-0158,TMA,0.005,0.984,0.005,0.005,,
QAc-G-0159,TMA,0.01,0.974,0.01,0.006,,
QAc-G-0160,TMA,0.003,0.003,0.991,0.003,,
QAc-G-0161,TMA,0.003,0.003,0.991,0.003,,
QAc-G-0162,TMA,0.319,0.01,0.665,0.006,,
QAc-G-0163,TMA,0.017,0.012,0.968,0.003,,
QAc-G-0164,TMA,0.007,0.003,0.977,0.012,,
QAc-G-0165,TMA,0.006,0.006,0.984,0.004,,
QAc-G-0166,TMA,0.005,0.003,0.988,0.004,,
QAc-G-0167,TMA,0.006,0.004,0.986,0.005,,
QAc-G-0168,TMA,0.003,0.003,0.99,0.004,,
QAc-G-0169,TMA,0.057,0.385,0.551,0.006,,
QAc-G-0170,TMA,0.006,0.005,0.985,0.005,,
QAc-G-0171,TMA,0.005,0.003,0.988,0.004,,
QAc-G-0172,TMA,0.027,0.93,0.034,0.009,,
QAc-G-0173,TMA,0.003,0.003,0.988,0.006,,
QAc-G-0174,TMA,0.049,0.066,0.877,0.008,,
QAc-G-0175,TMA,0.004,0.003,0.989,0.004,,
QAc-G-0176,TMA,0.129,0.008,0.852,0.011,,
QAc-G-0177,TMA,0.004,0.003,0.989,0.004,,
QAc-G-0178,TMA,0.015,0.007,0.948,0.031,,
QAc-G-0179,TMA,0.004,0.003,0.99,0.004,,
QAc-G-0180,TMA,0.004,0.003,0.99,0.003,,
QAc-G-0181,TMA,0.007,0.004,0.986,0.003,,
QAc-G-0182,TMA,0.035,0.047,0.915,0.004,,
QAc-G-0183,TMA,0.004,0.005,0.985,0.006,,
QAc-G-0184,TMA,0.004,0.003,0.989,0.003,,
QAc-G-0185,TMA,0.012,0.009,0.973,0.006,,
QAc-G-0186,TMA,0.008,0.003,0.986,0.003,,
QAc-G-0187,TMA,0.018,0.005,0.95,0.027,,
QAc-G-0188,TMA,0.047,0.663,0.285,0.004,,
QAc-G-0189,TMA,0.003,0.003,0.99,0.005,,
QAc-G-0190,TMA,0.005,0.004,0.986,0.005,,
QAc-G-0191,TMA,0.004,0.004,0.987,0.005,,
QAc-G-0192,TMA,0.003,0.003,0.99,0.004,,
QAc-G-0193,TMA,0.005,0.004,0.987,0.004,,
QAc-G-0194,TMA,0.007,0.004,0.983,0.006,,
QAc-G-0195,TMA,0.012,0.005,0.898,0.086,,
QAc-G-0196,TMA,0.004,0.003,0.987,0.006,,
QAc-G-0197,TMA,0.003,0.003,0.991,0.003,,
QAc-G-0198,TMA,0.004,0.004,0.989,0.003,,
QAc-G-0199,TMA,0.058,0.008,0.915,0.019,,
QAc-G-0200,TMA,0.008,0.003,0.985,0.004,,
QAc-G-0201,TMA,0.004,0.003,0.99,0.004,,
QAc-G-0202,TMA,0.004,0.004,0.981,0.01,,
QAc-G-0203,TMA,0.004,0.006,0.975,0.015,,
QAc-G-0204,TMA,0.005,0.003,0.986,0.005,,
QAc-G-0205,TMA,0.003,0.003,0.004,0.991,,
QAc-G-0206,TMA,0.052,0.052,0.004,0.892,,
QAc-G-0207,TMA,0.009,0.005,0.007,0.98,,
QAc-G-0208,TMA,0.003,0.003,0.004,0.989,,
QAc-G-0209,TMA,0.004,0.003,0.007,0.987,,
QAc-G-0210,TMA,0.003,0.003,0.003,0.99,,
QAc-G-0211,TMA,0.003,0.004,0.003,0.99,,
QAc-G-0212,TMA,0.003,0.003,0.004,0.99,,
QAc-G-0213,TMA,0.006,0.003,0.005,0.987,,
QAc-G-0214,TMA,0.003,0.003,0.005,0.99,,
QAc-G-0215,TMA,0.004,0.004,0.004,0.989,,
QAc-G-0216,TMA,0.075,0.448,0.114,0.363,,
QAc-G-0217,TMA,0.007,0.01,0.006,0.977,,
QAc-G-0218,TMA,0.008,0.003,0.005,0.983,,
QAc-G-0219,TMA,0.015,0.031,0.009,0.945,,
QAc-G-0220,TMA,0.008,0.012,0.003,0.977,,
QAc-G-0221,TMA,0.025,0.012,0.011,0.953,,
QAc-G-0222,TMA,0.004,0.003,0.005,0.988,,
QAc-G-0223,TMA,0.006,0.004,0.003,0.986,,
QAc-G-0224,TMA,0.004,0.003,0.005,0.987,,
QAc-G-0226,TMA,0.004,0.003,0.003,0.989,,
QAc-G-0227,TMA,0.957,0.027,0.01,0.006,,
QAc-G-0228,TMA,0.975,0.006,0.007,0.011,,
QAc-G-0229,TMA,0.975,0.01,0.008,0.007,,
QAc-G-0230,TMA,0.964,0.007,0.009,0.02,,
QAc-G-0231,TMA,0.003,0.004,0.006,0.986,,
QAc-G-0232,TMA,0.986,0.008,0.003,0.004,,
QAc-G-0233,TMA,0.979,0.005,0.005,0.011,,
QAc-G-0234,TMA,0.971,0.006,0.016,0.006,,
QAc-G-0235,TMA,0.021,0.948,0.013,0.018,,
QAc-G-0236,TMA,0.973,0.012,0.008,0.007,,
QAc-G-0237,TMA,0.957,0.015,0.015,0.013,,
QAc-G-0238,TMA,0.97,0.006,0.009,0.014,,
QAc-G-0239,TMA,0.982,0.006,0.006,0.007,,
QAc-G-0240,TMA,0.98,0.012,0.004,0.003,,
QAc-G-0241,TMA,0.971,0.013,0.011,0.005,,
QAc-G-0242,TMA,0.977,0.009,0.005,0.008,,
QAc-G-0243,TMA,0.969,0.015,0.004,0.012,,
QAc-G-0244,TMA,0.962,0.019,0.01,0.009,,
QAc-G-0245,TMA,0.973,0.014,0.008,0.004,,
QAc-G-0246,TMA,0.971,0.01,0.012,0.007,,
QAc-G-0247,TMA,0.986,0.005,0.003,0.006,,
QAc-G-0248,TMA,0.985,0.008,0.004,0.004,,
NA,NA,0,0,0,0,,
QAc-G-0249,TTA,0.96,0.007,0.023,0.011,,
NA,NA,0,0,0,0,,
QAc-G-0025,USNA,0.004,0.003,0.004,0.989,,
QAc-G-0028,USNA,0.973,0.004,0.009,0.014,,
NA,NA,0,0,0,0,,
QAc-G-0275,UWBG,0.005,0.003,0.011,0.981,,
NA,NA,0,0,0,0,,
QAc-G-0263,ZBGP,0.278,0.1,0.519,0.102,,
NA,NA,0,0,0,0,,
QAc-W-0001,Porter,0.955,0.036,0.003,0.006,,
QAc-W-0002,Porter,0.967,0.01,0.018,0.005,,
QAc-W-0003,Porter,0.939,0.018,0.018,0.025,,
QAc-W-0004,Porter,0.975,0.005,0.008,0.013,,
QAc-W-0005,Porter,0.979,0.007,0.01,0.005,,
QAc-W-0006,Porter,0.979,0.008,0.006,0.006,,
QAc-W-0007,Porter,0.985,0.005,0.004,0.006,,
QAc-W-0008,Porter,0.986,0.007,0.004,0.003,,
QAc-W-0009,Porter,0.935,0.043,0.014,0.008,,
QAc-W-0010,Porter,0.969,0.017,0.008,0.007,,
QAc-W-0011,Porter,0.895,0.029,0.066,0.01,,
QAc-W-0012,Porter,0.976,0.008,0.01,0.006,,
QAc-W-0013,Porter,0.707,0.09,0.012,0.19,,
QAc-W-0014,Porter,0.987,0.005,0.004,0.004,,
QAc-W-0015,Porter,0.93,0.009,0.043,0.018,,
QAc-W-0016,Porter,0.975,0.009,0.008,0.009,,
QAc-W-0017,Porter,0.904,0.035,0.035,0.026,,
QAc-W-0018,Porter,0.925,0.047,0.003,0.025,,
QAc-W-0019,Porter,0.979,0.007,0.008,0.007,,
QAc-W-0020,Porter,0.953,0.038,0.005,0.004,,
QAc-W-0021,Porter,0.76,0.056,0.013,0.171,,
QAc-W-0022,Porter,0.966,0.009,0.01,0.014,,
QAc-W-0023,Porter,0.753,0.21,0.004,0.033,,
QAc-W-0024,Porter,0.847,0.012,0.036,0.106,,
QAc-W-0025,Porter,0.984,0.005,0.005,0.005,,
QAc-W-0026,Porter,0.886,0.044,0.042,0.029,,
QAc-W-0027,Porter,0.98,0.006,0.009,0.004,,
QAc-W-0028,Porter,0.982,0.007,0.007,0.004,,
QAc-W-0029,Porter,0.964,0.022,0.004,0.009,,
QAc-W-0030,Porter,0.966,0.015,0.014,0.005,,
QAc-W-0031,Porter,0.904,0.006,0.005,0.085,,
QAc-W-0032,Porter,0.987,0.006,0.003,0.004,,
QAc-W-0033,Porter,0.964,0.019,0.005,0.012,,
QAc-W-0034,Porter,0.978,0.013,0.005,0.005,,
QAc-W-0035,Porter,0.968,0.007,0.016,0.009,,
QAc-W-0036,Porter,0.95,0.041,0.004,0.004,,
QAc-W-0037,Porter,0.945,0.013,0.025,0.016,,
QAc-W-0038,Porter,0.952,0.022,0.021,0.005,,
QAc-W-0039,Porter,0.929,0.018,0.037,0.016,,
QAc-W-0040,Porter,0.975,0.009,0.01,0.007,,
QAc-W-0041,Porter,0.871,0.029,0.022,0.078,,
NA,NA,0,0,0,0,,
QAc-W-0042,Magazine,0.009,0.955,0.022,0.013,,
QAc-W-0043,Magazine,0.018,0.925,0.045,0.012,,
QAc-W-0044,Magazine,0.065,0.898,0.031,0.006,,
QAc-W-0045,Magazine,0.007,0.977,0.01,0.006,,
QAc-W-0046,Magazine,0.012,0.947,0.024,0.017,,
QAc-W-0047,Magazine,0.025,0.951,0.02,0.004,,
QAc-W-0048,Magazine,0.009,0.981,0.004,0.005,,
QAc-W-0049,Magazine,0.006,0.982,0.005,0.007,,
QAc-W-0050,Magazine,0.012,0.956,0.011,0.021,,
QAc-W-0051,Magazine,0.011,0.958,0.017,0.015,,
QAc-W-0052,Magazine,0.009,0.983,0.005,0.004,,
QAc-W-0053,Magazine,0.01,0.983,0.004,0.004,,
QAc-W-0054,Magazine,0.05,0.605,0.338,0.007,,
QAc-W-0055,Magazine,0.048,0.285,0.594,0.072,,
QAc-W-0056,Magazine,0.513,0.395,0.022,0.07,,
QAc-W-0057,Magazine,0.02,0.861,0.038,0.08,,
QAc-W-0058,Magazine,0.006,0.741,0.016,0.237,,
QAc-W-0059,Magazine,0.006,0.985,0.005,0.003,,
QAc-W-0060,Magazine,0.13,0.113,0.751,0.005,,
QAc-W-0061,Magazine,0.066,0.036,0.879,0.018,,
QAc-W-0062,Magazine,0.129,0.063,0.77,0.038,,
QAc-W-0063,Magazine,0.199,0.258,0.504,0.039,,
QAc-W-0064,Magazine,0.267,0.021,0.692,0.021,,C1 = Porter
QAc-W-0065,Magazine,0.302,0.074,0.611,0.012,,C2 = Magazine
QAc-W-0066,Magazine,0.003,0.003,0.988,0.006,,C3 = Sugar Loaf
QAc-W-0067,Magazine,0.003,0.003,0.99,0.004,,C4 = Pryor
QAc-W-0068,Magazine,0.004,0.002,0.991,0.003,,
QAc-W-0069,Magazine,0.004,0.003,0.99,0.004,,
QAc-W-0070,Magazine,0.003,0.003,0.991,0.003,,
QAc-W-0071,Magazine,0.007,0.005,0.982,0.006,,
QAc-W-0072,Magazine,0.64,0.031,0.322,0.007,,
QAc-W-0073,Magazine,0.095,0.473,0.416,0.017,,
QAc-W-0074,Magazine,0.042,0.01,0.934,0.014,,
QAc-W-0075,Magazine,0.013,0.009,0.97,0.007,,
QAc-W-0076,Magazine,0.13,0.015,0.826,0.029,,
QAc-W-0077,Magazine,0.042,0.082,0.872,0.004,,
NA,NA,0,0,0,0,,
QAc-W-0078,Pryor,0.309,0.028,0.041,0.621,,
QAc-W-0079,Pryor,0.015,0.008,0.028,0.949,,
QAc-W-0080,Pryor,0.028,0.008,0.005,0.959,,
QAc-W-0081,Pryor,0.006,0.006,0.004,0.984,,
QAc-W-0082,Pryor,0.008,0.377,0.004,0.61,,
QAc-W-0083,Pryor,0.036,0.019,0.04,0.905,,
QAc-W-0084,Pryor,0.005,0.004,0.004,0.987,,
QAc-W-0085,Pryor,0.004,0.003,0.005,0.988,,
QAc-W-0086,Pryor,0.008,0.004,0.006,0.982,,
QAc-W-0087,Pryor,0.009,0.007,0.007,0.977,,
QAc-W-0088,Pryor,0.008,0.03,0.004,0.958,,
QAc-W-0089,Pryor,0.006,0.004,0.007,0.983,,
QAc-W-0090,Pryor,0.006,0.004,0.007,0.983,,
QAc-W-0091,Pryor,0.009,0.018,0.007,0.966,,
QAc-W-0092,Pryor,0.118,0.189,0.008,0.685,,
QAc-W-0093,Pryor,0.129,0.052,0.004,0.815,,
QAc-W-0094,Pryor,0.092,0.287,0.006,0.615,,
QAc-W-0095,Pryor,0.017,0.027,0.006,0.95,,
QAc-W-0096,Pryor,0.064,0.161,0.022,0.752,,
QAc-W-0097,Pryor,0.059,0.117,0.012,0.812,,
QAc-W-0098,Pryor,0.006,0.007,0.003,0.984,,
QAc-W-0099,Pryor,0.082,0.055,0.005,0.858,,
QAc-W-0100,Pryor,0.007,0.005,0.004,0.985,,
QAc-W-0101,Pryor,0.008,0.005,0.036,0.951,,
QAc-W-0104,Pryor,0.021,0.02,0.005,0.954,,
QAc-W-0105,Pryor,0.007,0.005,0.006,0.983,,
QAc-W-0106,Pryor,0.017,0.016,0.006,0.961,,
QAc-W-0107,Pryor,0.004,0.004,0.006,0.985,,
QAc-W-0108,Pryor,0.004,0.003,0.006,0.987,,
QAc-W-0109,Pryor,0.009,0.011,0.022,0.959,,
QAc-W-0110,Pryor,0.773,0.007,0.014,0.206,,
QAc-W-0111,Pryor,0.008,0.005,0.005,0.982,,
QAc-W-0112,Pryor,0.022,0.013,0.004,0.961,,
NA,NA,0,0,0,0,,
QAc-W-0113,Sugar_Loaf,0.98,0.008,0.005,0.007,,
QAc-W-0114,Sugar_Loaf,0.901,0.046,0.007,0.047,,
QAc-W-0115,Sugar_Loaf,0.981,0.005,0.008,0.006,,
QAc-W-0116,Sugar_Loaf,0.975,0.015,0.003,0.008,,
QAc-W-0117,Sugar_Loaf,0.983,0.009,0.005,0.003,,
QAc-W-0118,Sugar_Loaf,0.908,0.01,0.049,0.034,,
QAc-W-0119,Sugar_Loaf,0.962,0.01,0.021,0.007,,
QAc-W-0120,Sugar_Loaf,0.947,0.011,0.037,0.006,,
QAc-W-0121,Sugar_Loaf,0.91,0.018,0.068,0.004,,
QAc-W-0122,Sugar_Loaf,0.964,0.02,0.005,0.012,,
QAc-W-0123,Sugar_Loaf,0.951,0.019,0.007,0.022,,
QAc-W-0124,Sugar_Loaf,0.938,0.005,0.035,0.022,,
QAc-W-0125,Sugar_Loaf,0.937,0.016,0.018,0.029,,
QAc-W-0126,Sugar_Loaf,0.909,0.032,0.008,0.052,,
QAc-W-0127,Sugar_Loaf,0.961,0.024,0.006,0.008,,
QAc-W-0128,Sugar_Loaf,0.948,0.016,0.01,0.027,,
QAc-W-0129,Sugar_Loaf,0.973,0.013,0.007,0.007,,
QAc-W-0130,Sugar_Loaf,0.98,0.008,0.004,0.007,,
QAc-W-0131,Sugar_Loaf,0.761,0.208,0.01,0.021,,
QAc-W-0132,Sugar_Loaf,0.943,0.008,0.027,0.022,,
QAc-W-0133,Sugar_Loaf,0.592,0.073,0.227,0.108,,
QAc-W-0134,Sugar_Loaf,0.969,0.017,0.005,0.009,,
QAc-W-0135,Sugar_Loaf,0.976,0.005,0.014,0.006,,
QAc-W-0136,Sugar_Loaf,0.973,0.017,0.004,0.006,,
QAc-W-0137,Sugar_Loaf,0.984,0.008,0.006,0.003,,
QAc-W-0138,Sugar_Loaf,0.985,0.007,0.005,0.003,,
QAc-W-0139,Sugar_Loaf,0.95,0.009,0.023,0.018,,
QAc-W-0140,Sugar_Loaf,0.98,0.012,0.005,0.003,,
QAc-W-0141,Sugar_Loaf,0.974,0.01,0.009,0.006,,
QAc-W-0142,Sugar_Loaf,0.962,0.009,0.023,0.007,,
QAc-W-0143,Sugar_Loaf,0.968,0.013,0.006,0.013,,
QAc-W-0144,Sugar_Loaf,0.844,0.144,0.003,0.009,,
QAc-W-0145,Sugar_Loaf,0.981,0.009,0.004,0.005,,
QAc-W-0146,Sugar_Loaf,0.983,0.005,0.004,0.009,,
QAc-W-0147,Sugar_Loaf,0.979,0.005,0.005,0.012,,
QAc-W-0148,Sugar_Loaf,0.982,0.007,0.007,0.003,,
QAc-W-0149,Sugar_Loaf,0.851,0.121,0.004,0.023,,
QAc-W-0150,Sugar_Loaf,0.973,0.008,0.006,0.014,,
QAc-W-0151,Sugar_Loaf,0.979,0.006,0.01,0.006,,
QAc-W-0152,Sugar_Loaf,0.972,0.012,0.011,0.005,,
