Ind,Botanic_Garden,First_Pop,First_Per,Wild_Source,Second_Pop,Second_Per,Third_Pop,Third_Per,Fourth_Pop,Fourth_Per
QAc-G-0276,/FGT,Magazine,94.261,Magazine,Pryor,5.714,Porter,0.021,Sugar_Loaf,0.004
QAc-G-0279,/FGT,Magazine,99.984,Porter,Pryor,0.013,Porter,0.002,Sugar_Loaf,0
QAc-G-0280,/FGT,Magazine,99.994,Porter,Pryor,0.004,Porter,0.001,Sugar_Loaf,0.001
QAc-G-0281,/FGT,Magazine,75.307,Pryor,Pryor,24.153,Porter,0.498,Sugar_Loaf,0.043
QAc-G-0283,/MFBG,Porter,40.973,Pryor,Magazine,30.995,Sugar_Loaf,21.81,Pryor,6.222
QAc-G-0285,/CBG,Magazine,92.512,NA,Porter,6.954,Pryor,0.52,Sugar_Loaf,0.015
QAc-G-0286,/CBG,Pryor,81.244,NA,Magazine,18.606,Porter,0.15,Sugar_Loaf,0
QAc-G-0287,/CBG,Magazine,55.261,NA,Pryor,43.488,Porter,1.251,Sugar_Loaf,0
QAc-G-0288,/CBG,Magazine,99.944,NA,Pryor,0.051,Porter,0.005,Sugar_Loaf,0
QAc-G-0289,/CBG,Magazine,71.093,NA,Pryor,27.886,Porter,1.021,Sugar_Loaf,0
QAc-G-0290,/CBG,Magazine,72.119,NA,Porter,23.378,Pryor,4.503,Sugar_Loaf,0
QAc-G-0291,/CBG,Magazine,69.891,NA,Pryor,27.965,Porter,2.144,Sugar_Loaf,0
QAc-G-0292,/CBG,Magazine,99.777,NA,Porter,0.117,Pryor,0.105,Sugar_Loaf,0
QAc-G-0293,/CBG,Magazine,98.571,NA,Pryor,1.414,Porter,0.01,Sugar_Loaf,0.005
QAc-G-0294,/CBG,Magazine,56.932,NA,Porter,41.498,Sugar_Loaf,1.57,Pryor,0
QAc-G-0295,/CBG,Magazine,99.987,NA,Porter,0.011,Pryor,0.001,Sugar_Loaf,0
QAc-G-0296,/CBG,Magazine,72.873,NA,Pryor,25.504,Porter,1.275,Sugar_Loaf,0.349
