Ind,Pop,C1,C2,C3,C4,C5,C6
QAc-W-0057,Magazine,0.007,0.009,0.008,0.027,0.062,0.887
QAc-W-0058,Magazine,0.004,0.003,0.012,0.018,0.007,0.955
QAc-W-0059,Magazine,0.004,0.004,0.003,0.979,0.005,0.005
QAc-W-0060,Magazine,0.005,0.009,0.004,0.007,0.969,0.006
QAc-W-0061,Magazine,0.069,0.078,0.012,0.025,0.78,0.035
QAc-W-0062,Magazine,0.003,0.007,0.006,0.004,0.975,0.004
QAc-W-0063,Magazine,0.019,0.018,0.108,0.006,0.83,0.02
QAc-W-0064,Magazine,0.008,0.008,0.008,0.004,0.963,0.01
QAc-W-0065,Magazine,0.015,0.025,0.011,0.006,0.797,0.146
QAc-W-0066,Magazine,0.006,0.003,0.019,0.006,0.961,0.004
QAc-W-0067,Magazine,0.004,0.025,0.012,0.006,0.946,0.006
QAc-W-0068,Magazine,0.006,0.004,0.007,0.006,0.97,0.006
QAc-W-0069,Magazine,0.006,0.004,0.008,0.005,0.973,0.004
QAc-W-0070,Magazine,0.003,0.003,0.004,0.003,0.982,0.005
QAc-W-0071,Magazine,0.005,0.005,0.006,0.006,0.974,0.005
QAc-W-0072,Magazine,0.018,0.062,0.007,0.005,0.849,0.06
QAc-W-0073,Magazine,0.026,0.019,0.017,0.02,0.873,0.044
QAc-W-0074,Magazine,0.009,0.008,0.008,0.004,0.966,0.006
QAc-W-0075,Magazine,0.003,0.004,0.006,0.003,0.979,0.004
QAc-W-0076,Magazine,0.004,0.027,0.005,0.004,0.953,0.007
QAc-W-0077,Magazine,0.013,0.007,0.004,0.015,0.933,0.029
NA,NA,0,0,0,0,0,0
QAc-W-0078,Pryor,0.055,0.037,0.854,0.008,0.014,0.031
QAc-W-0079,Pryor,0.006,0.006,0.969,0.005,0.007,0.007
QAc-W-0080,Pryor,0.034,0.005,0.945,0.004,0.005,0.007
QAc-W-0081,Pryor,0.005,0.004,0.974,0.007,0.005,0.005
QAc-W-0082,Pryor,0.004,0.004,0.442,0.005,0.005,0.54
QAc-W-0083,Pryor,0.008,0.01,0.947,0.005,0.02,0.009
QAc-W-0084,Pryor,0.006,0.003,0.98,0.003,0.004,0.004
QAc-W-0085,Pryor,0.004,0.01,0.971,0.005,0.005,0.005
QAc-W-0086,Pryor,0.006,0.007,0.971,0.005,0.004,0.006
QAc-W-0087,Pryor,0.005,0.007,0.977,0.004,0.003,0.004
QAc-W-0088,Pryor,0.005,0.005,0.972,0.006,0.003,0.01
QAc-W-0089,Pryor,0.006,0.004,0.967,0.006,0.005,0.013
QAc-W-0090,Pryor,0.006,0.004,0.974,0.006,0.003,0.007
QAc-W-0091,Pryor,0.005,0.006,0.977,0.004,0.003,0.005
QAc-W-0092,Pryor,0.12,0.016,0.797,0.049,0.005,0.014
QAc-W-0093,Pryor,0.056,0.034,0.764,0.009,0.007,0.13
QAc-W-0094,Pryor,0.074,0.012,0.86,0.01,0.01,0.034
QAc-W-0095,Pryor,0.015,0.005,0.955,0.007,0.008,0.01
QAc-W-0096,Pryor,0.043,0.014,0.869,0.012,0.037,0.025
QAc-W-0097,Pryor,0.084,0.008,0.693,0.041,0.008,0.165
QAc-W-0098,Pryor,0.006,0.005,0.97,0.004,0.004,0.011
QAc-W-0099,Pryor,0.007,0.065,0.882,0.027,0.005,0.013
QAc-W-0100,Pryor,0.004,0.004,0.98,0.003,0.004,0.006
QAc-W-0101,Pryor,0.007,0.006,0.972,0.004,0.006,0.005
QAc-W-0104,Pryor,0.006,0.013,0.954,0.011,0.005,0.011
QAc-W-0105,Pryor,0.004,0.003,0.98,0.004,0.005,0.004
QAc-W-0106,Pryor,0.008,0.006,0.969,0.006,0.004,0.007
QAc-W-0107,Pryor,0.007,0.008,0.942,0.011,0.021,0.012
QAc-W-0108,Pryor,0.005,0.007,0.951,0.009,0.019,0.009
QAc-W-0109,Pryor,0.008,0.005,0.935,0.014,0.019,0.018
QAc-W-0110,Pryor,0.73,0.009,0.243,0.006,0.006,0.005
QAc-W-0111,Pryor,0.005,0.005,0.972,0.006,0.007,0.005
QAc-W-0112,Pryor,0.009,0.009,0.956,0.003,0.004,0.019
NA,NA,0,0,0,0,0,0
QAc-W-0113,Sugar_Loaf,0.011,0.962,0.006,0.007,0.005,0.009
QAc-W-0114,Sugar_Loaf,0.009,0.939,0.022,0.017,0.006,0.007
QAc-W-0115,Sugar_Loaf,0.011,0.964,0.008,0.003,0.008,0.006
QAc-W-0116,Sugar_Loaf,0.011,0.954,0.006,0.016,0.003,0.009
QAc-W-0117,Sugar_Loaf,0.005,0.978,0.003,0.005,0.004,0.005
QAc-W-0118,Sugar_Loaf,0.006,0.932,0.017,0.005,0.03,0.01
QAc-W-0119,Sugar_Loaf,0.007,0.951,0.006,0.006,0.007,0.022
QAc-W-0120,Sugar_Loaf,0.012,0.955,0.009,0.006,0.011,0.008
QAc-W-0121,Sugar_Loaf,0.006,0.941,0.004,0.019,0.017,0.013
QAc-W-0122,Sugar_Loaf,0.015,0.952,0.006,0.011,0.004,0.013
QAc-W-0123,Sugar_Loaf,0.007,0.94,0.012,0.006,0.02,0.016
QAc-W-0124,Sugar_Loaf,0.039,0.705,0.086,0.005,0.153,0.012
QAc-W-0125,Sugar_Loaf,0.009,0.957,0.015,0.005,0.007,0.008
QAc-W-0126,Sugar_Loaf,0.012,0.908,0.031,0.018,0.011,0.02
QAc-W-0127,Sugar_Loaf,0.008,0.965,0.005,0.009,0.005,0.008
QAc-W-0128,Sugar_Loaf,0.025,0.901,0.052,0.009,0.007,0.006
QAc-W-0129,Sugar_Loaf,0.068,0.889,0.006,0.005,0.014,0.019
QAc-W-0130,Sugar_Loaf,0.034,0.941,0.007,0.008,0.005,0.006
QAc-W-0131,Sugar_Loaf,0.007,0.91,0.008,0.005,0.006,0.063
QAc-W-0132,Sugar_Loaf,0.013,0.887,0.014,0.006,0.05,0.03
QAc-W-0133,Sugar_Loaf,0.011,0.537,0.178,0.019,0.037,0.216
QAc-W-0134,Sugar_Loaf,0.004,0.974,0.005,0.006,0.006,0.005
QAc-W-0135,Sugar_Loaf,0.055,0.896,0.006,0.009,0.027,0.007
QAc-W-0136,Sugar_Loaf,0.005,0.981,0.004,0.003,0.004,0.004
QAc-W-0137,Sugar_Loaf,0.004,0.98,0.003,0.004,0.005,0.004
QAc-W-0138,Sugar_Loaf,0.005,0.979,0.003,0.003,0.004,0.005
QAc-W-0139,Sugar_Loaf,0.057,0.631,0.1,0.006,0.078,0.128
QAc-W-0140,Sugar_Loaf,0.018,0.855,0.006,0.089,0.005,0.026
QAc-W-0141,Sugar_Loaf,0.062,0.655,0.012,0.013,0.018,0.24
QAc-W-0142,Sugar_Loaf,0.004,0.968,0.004,0.006,0.009,0.008
QAc-W-0143,Sugar_Loaf,0.009,0.948,0.008,0.015,0.005,0.014
QAc-W-0144,Sugar_Loaf,0.007,0.883,0.006,0.078,0.006,0.02
QAc-W-0145,Sugar_Loaf,0.004,0.975,0.003,0.004,0.005,0.009
QAc-W-0146,Sugar_Loaf,0.009,0.969,0.005,0.005,0.004,0.007
QAc-W-0147,Sugar_Loaf,0.005,0.979,0.004,0.003,0.005,0.004
QAc-W-0148,Sugar_Loaf,0.007,0.973,0.003,0.005,0.006,0.006
QAc-W-0149,Sugar_Loaf,0.015,0.881,0.011,0.064,0.005,0.024
QAc-W-0150,Sugar_Loaf,0.058,0.89,0.016,0.01,0.008,0.019
QAc-W-0151,Sugar_Loaf,0.013,0.957,0.008,0.005,0.006,0.01
QAc-W-0152,Sugar_Loaf,0.005,0.968,0.004,0.008,0.008,0.006
QAc-W-0153,Sugar_Loaf,0.019,0.161,0.076,0.014,0.051,0.679
QAc-W-0154,Sugar_Loaf,0.075,0.891,0.006,0.003,0.005,0.02
QAc-W-0155,Sugar_Loaf,0.006,0.974,0.003,0.004,0.005,0.007
QAc-W-0156,Sugar_Loaf,0.081,0.838,0.056,0.005,0.003,0.017
QAc-W-0157,Sugar_Loaf,0.008,0.939,0.004,0.015,0.018,0.016
QAc-W-0158,Sugar_Loaf,0.049,0.877,0.05,0.005,0.01,0.009
QAc-W-0159,Sugar_Loaf,0.012,0.967,0.005,0.006,0.003,0.006
QAc-W-0160,Sugar_Loaf,0.018,0.958,0.005,0.005,0.005,0.009
QAc-W-0161,Sugar_Loaf,0.052,0.903,0.007,0.022,0.004,0.012
QAc-W-0162,Sugar_Loaf,0.004,0.826,0.005,0.019,0.13,0.016
QAc-W-0163,Sugar_Loaf,0.006,0.922,0.004,0.015,0.006,0.046
QAc-W-0164,Sugar_Loaf,0.006,0.962,0.005,0.007,0.01,0.01
QAc-W-0165,Sugar_Loaf,0.005,0.935,0.003,0.003,0.029,0.024
QAc-W-0166,Sugar_Loaf,0.043,0.92,0.005,0.006,0.009,0.016
