Ind,Pop,C1,C2,C3,C4
QAc-W-0084,Pryor,0.986,0.007,0.004,0.004
QAc-W-0085,Pryor,0.979,0.005,0.006,0.011
QAc-W-0086,Pryor,0.981,0.006,0.005,0.007
QAc-W-0087,Pryor,0.984,0.006,0.004,0.006
QAc-W-0088,Pryor,0.983,0.005,0.007,0.005
QAc-W-0089,Pryor,0.98,0.007,0.008,0.005
QAc-W-0090,Pryor,0.983,0.007,0.005,0.004
QAc-W-0091,Pryor,0.983,0.006,0.004,0.006
QAc-W-0092,Pryor,0.821,0.138,0.023,0.018
QAc-W-0093,Pryor,0.874,0.07,0.013,0.043
QAc-W-0094,Pryor,0.893,0.081,0.014,0.012
QAc-W-0095,Pryor,0.965,0.019,0.009,0.007
QAc-W-0096,Pryor,0.904,0.042,0.039,0.015
QAc-W-0097,Pryor,0.812,0.141,0.036,0.01
QAc-W-0098,Pryor,0.983,0.007,0.005,0.005
QAc-W-0099,Pryor,0.9,0.011,0.014,0.075
QAc-W-0100,Pryor,0.987,0.005,0.004,0.005
QAc-W-0101,Pryor,0.982,0.007,0.005,0.007
QAc-W-0104,Pryor,0.967,0.007,0.009,0.017
QAc-W-0105,Pryor,0.986,0.005,0.005,0.004
QAc-W-0106,Pryor,0.98,0.008,0.006,0.006
QAc-W-0107,Pryor,0.963,0.009,0.02,0.008
QAc-W-0108,Pryor,0.967,0.007,0.017,0.009
QAc-W-0109,Pryor,0.954,0.011,0.028,0.007
QAc-W-0110,Pryor,0.267,0.717,0.006,0.01
QAc-W-0111,Pryor,0.982,0.005,0.008,0.006
QAc-W-0112,Pryor,0.976,0.01,0.005,0.009
NA,NA,0,0,0,0
QAc-W-0113,Sugar_Loaf,0.007,0.012,0.008,0.973
QAc-W-0114,Sugar_Loaf,0.022,0.011,0.01,0.957
QAc-W-0115,Sugar_Loaf,0.009,0.012,0.005,0.974
QAc-W-0116,Sugar_Loaf,0.008,0.013,0.007,0.971
QAc-W-0117,Sugar_Loaf,0.004,0.007,0.005,0.985
QAc-W-0118,Sugar_Loaf,0.019,0.007,0.016,0.958
QAc-W-0119,Sugar_Loaf,0.007,0.007,0.012,0.974
QAc-W-0120,Sugar_Loaf,0.01,0.011,0.011,0.968
QAc-W-0121,Sugar_Loaf,0.004,0.007,0.024,0.965
QAc-W-0122,Sugar_Loaf,0.007,0.019,0.009,0.965
QAc-W-0123,Sugar_Loaf,0.015,0.008,0.02,0.956
QAc-W-0124,Sugar_Loaf,0.093,0.057,0.024,0.826
QAc-W-0125,Sugar_Loaf,0.018,0.01,0.008,0.964
QAc-W-0126,Sugar_Loaf,0.032,0.01,0.019,0.938
QAc-W-0127,Sugar_Loaf,0.006,0.01,0.007,0.977
QAc-W-0128,Sugar_Loaf,0.054,0.025,0.009,0.911
QAc-W-0129,Sugar_Loaf,0.007,0.071,0.012,0.91
QAc-W-0130,Sugar_Loaf,0.008,0.032,0.005,0.955
QAc-W-0131,Sugar_Loaf,0.01,0.008,0.009,0.972
QAc-W-0132,Sugar_Loaf,0.016,0.019,0.029,0.937
QAc-W-0133,Sugar_Loaf,0.222,0.012,0.082,0.684
QAc-W-0134,Sugar_Loaf,0.005,0.005,0.006,0.984
QAc-W-0135,Sugar_Loaf,0.006,0.061,0.013,0.92
QAc-W-0136,Sugar_Loaf,0.004,0.005,0.004,0.986
QAc-W-0137,Sugar_Loaf,0.004,0.004,0.005,0.987
QAc-W-0138,Sugar_Loaf,0.004,0.006,0.004,0.985
QAc-W-0139,Sugar_Loaf,0.137,0.077,0.052,0.735
QAc-W-0140,Sugar_Loaf,0.012,0.031,0.022,0.934
QAc-W-0141,Sugar_Loaf,0.014,0.076,0.044,0.867
QAc-W-0142,Sugar_Loaf,0.005,0.005,0.008,0.982
QAc-W-0143,Sugar_Loaf,0.009,0.009,0.01,0.971
QAc-W-0144,Sugar_Loaf,0.007,0.01,0.023,0.96
QAc-W-0145,Sugar_Loaf,0.004,0.005,0.006,0.986
QAc-W-0146,Sugar_Loaf,0.007,0.01,0.006,0.976
QAc-W-0147,Sugar_Loaf,0.005,0.006,0.005,0.984
QAc-W-0148,Sugar_Loaf,0.004,0.008,0.007,0.981
QAc-W-0149,Sugar_Loaf,0.013,0.017,0.024,0.947
QAc-W-0150,Sugar_Loaf,0.018,0.063,0.011,0.908
QAc-W-0151,Sugar_Loaf,0.009,0.014,0.007,0.97
QAc-W-0152,Sugar_Loaf,0.004,0.005,0.01,0.98
QAc-W-0153,Sugar_Loaf,0.307,0.067,0.22,0.406
QAc-W-0154,Sugar_Loaf,0.007,0.089,0.006,0.898
QAc-W-0155,Sugar_Loaf,0.004,0.007,0.007,0.982
QAc-W-0156,Sugar_Loaf,0.055,0.086,0.006,0.853
QAc-W-0157,Sugar_Loaf,0.004,0.008,0.017,0.971
QAc-W-0158,Sugar_Loaf,0.053,0.048,0.008,0.891
QAc-W-0159,Sugar_Loaf,0.006,0.015,0.006,0.973
QAc-W-0160,Sugar_Loaf,0.006,0.022,0.006,0.965
QAc-W-0161,Sugar_Loaf,0.008,0.05,0.008,0.934
QAc-W-0162,Sugar_Loaf,0.007,0.005,0.141,0.847
QAc-W-0163,Sugar_Loaf,0.005,0.006,0.022,0.968
QAc-W-0164,Sugar_Loaf,0.006,0.007,0.013,0.974
QAc-W-0165,Sugar_Loaf,0.005,0.007,0.016,0.973
QAc-W-0166,Sugar_Loaf,0.006,0.044,0.009,0.941
