Ind,Population,C1,C2,C3
QAc-W-0043,Magazine,0.071,0.916,0.013
QAc-W-0044,Magazine,0.034,0.961,0.005
QAc-W-0045,Magazine,0.011,0.982,0.007
QAc-W-0046,Magazine,0.03,0.952,0.018
QAc-W-0047,Magazine,0.025,0.971,0.004
QAc-W-0048,Magazine,0.004,0.985,0.011
QAc-W-0049,Magazine,0.004,0.982,0.013
QAc-W-0050,Magazine,0.012,0.96,0.028
QAc-W-0051,Magazine,0.032,0.957,0.011
QAc-W-0052,Magazine,0.006,0.99,0.004
QAc-W-0053,Magazine,0.004,0.992,0.003
QAc-W-0054,Magazine,0.21,0.783,0.006
QAc-W-0055,Magazine,0.597,0.341,0.063
QAc-W-0056,Magazine,0.017,0.937,0.047
QAc-W-0057,Magazine,0.052,0.853,0.095
QAc-W-0058,Magazine,0.025,0.722,0.253
QAc-W-0059,Magazine,0.007,0.988,0.004
QAc-W-0060,Magazine,0.793,0.2,0.007
QAc-W-0061,Magazine,0.9,0.075,0.025
QAc-W-0062,Magazine,0.824,0.119,0.057
QAc-W-0063,Magazine,0.424,0.536,0.04
QAc-W-0064,Magazine,0.754,0.22,0.026
QAc-W-0065,Magazine,0.629,0.355,0.016
QAc-W-0066,Magazine,0.991,0.003,0.006
QAc-W-0067,Magazine,0.992,0.003,0.004
QAc-W-0068,Magazine,0.993,0.003,0.004
QAc-W-0069,Magazine,0.992,0.004,0.005
QAc-W-0070,Magazine,0.993,0.003,0.004
QAc-W-0071,Magazine,0.988,0.006,0.006
QAc-W-0072,Magazine,0.175,0.816,0.009
QAc-W-0073,Magazine,0.376,0.607,0.017
QAc-W-0074,Magazine,0.954,0.031,0.015
QAc-W-0075,Magazine,0.979,0.013,0.008
QAc-W-0076,Magazine,0.856,0.101,0.043
QAc-W-0077,Magazine,0.945,0.051,0.004
NA,NA,0,0,0
QAc-W-0078,Pryor,0.056,0.299,0.645
QAc-W-0079,Pryor,0.034,0.013,0.953
QAc-W-0080,Pryor,0.005,0.02,0.975
QAc-W-0081,Pryor,0.005,0.007,0.988
QAc-W-0082,Pryor,0.014,0.407,0.579
QAc-W-0083,Pryor,0.047,0.034,0.919
QAc-W-0084,Pryor,0.005,0.005,0.99
QAc-W-0085,Pryor,0.005,0.004,0.991
QAc-W-0086,Pryor,0.007,0.007,0.986
QAc-W-0087,Pryor,0.008,0.008,0.984
QAc-W-0088,Pryor,0.004,0.024,0.971
QAc-W-0089,Pryor,0.007,0.005,0.987
QAc-W-0090,Pryor,0.008,0.006,0.987
QAc-W-0091,Pryor,0.008,0.015,0.977
QAc-W-0092,Pryor,0.009,0.341,0.649
QAc-W-0093,Pryor,0.004,0.213,0.783
QAc-W-0094,Pryor,0.007,0.287,0.706
QAc-W-0095,Pryor,0.007,0.021,0.971
QAc-W-0096,Pryor,0.036,0.166,0.798
QAc-W-0097,Pryor,0.013,0.198,0.789
QAc-W-0098,Pryor,0.004,0.007,0.989
QAc-W-0099,Pryor,0.006,0.106,0.888
QAc-W-0100,Pryor,0.004,0.007,0.989
QAc-W-0101,Pryor,0.031,0.007,0.962
QAc-W-0104,Pryor,0.007,0.027,0.966
QAc-W-0105,Pryor,0.006,0.007,0.987
QAc-W-0106,Pryor,0.006,0.019,0.976
QAc-W-0107,Pryor,0.007,0.005,0.988
QAc-W-0108,Pryor,0.007,0.004,0.989
QAc-W-0109,Pryor,0.024,0.011,0.965
QAc-W-0110,Pryor,0.018,0.622,0.359
QAc-W-0111,Pryor,0.007,0.008,0.985
QAc-W-0112,Pryor,0.005,0.018,0.977
NA,NA,0,0,0
QAc-W-0113,Sugar_Loaf,0.005,0.981,0.014
QAc-W-0114,Sugar_Loaf,0.009,0.942,0.049
QAc-W-0115,Sugar_Loaf,0.011,0.98,0.009
QAc-W-0116,Sugar_Loaf,0.003,0.989,0.008
QAc-W-0117,Sugar_Loaf,0.006,0.99,0.004
QAc-W-0118,Sugar_Loaf,0.068,0.863,0.069
QAc-W-0119,Sugar_Loaf,0.03,0.96,0.01
QAc-W-0120,Sugar_Loaf,0.04,0.954,0.006
QAc-W-0121,Sugar_Loaf,0.083,0.913,0.005
QAc-W-0122,Sugar_Loaf,0.006,0.983,0.011
QAc-W-0123,Sugar_Loaf,0.01,0.964,0.026
QAc-W-0124,Sugar_Loaf,0.112,0.827,0.061
QAc-W-0125,Sugar_Loaf,0.033,0.933,0.033
QAc-W-0126,Sugar_Loaf,0.013,0.933,0.055
QAc-W-0127,Sugar_Loaf,0.007,0.987,0.006
QAc-W-0128,Sugar_Loaf,0.015,0.94,0.045
QAc-W-0129,Sugar_Loaf,0.007,0.984,0.01
QAc-W-0130,Sugar_Loaf,0.007,0.98,0.013
QAc-W-0131,Sugar_Loaf,0.01,0.974,0.016
QAc-W-0132,Sugar_Loaf,0.039,0.921,0.04
QAc-W-0133,Sugar_Loaf,0.179,0.767,0.054
QAc-W-0134,Sugar_Loaf,0.009,0.979,0.012
QAc-W-0135,Sugar_Loaf,0.028,0.964,0.008
QAc-W-0136,Sugar_Loaf,0.007,0.988,0.005
QAc-W-0137,Sugar_Loaf,0.01,0.987,0.004
QAc-W-0138,Sugar_Loaf,0.008,0.988,0.004
QAc-W-0139,Sugar_Loaf,0.038,0.923,0.04
QAc-W-0140,Sugar_Loaf,0.008,0.988,0.004
QAc-W-0141,Sugar_Loaf,0.018,0.973,0.009
QAc-W-0142,Sugar_Loaf,0.036,0.957,0.007
QAc-W-0143,Sugar_Loaf,0.009,0.964,0.027
QAc-W-0144,Sugar_Loaf,0.004,0.985,0.011
QAc-W-0145,Sugar_Loaf,0.005,0.988,0.007
QAc-W-0146,Sugar_Loaf,0.006,0.976,0.018
QAc-W-0147,Sugar_Loaf,0.009,0.972,0.019
QAc-W-0148,Sugar_Loaf,0.013,0.983,0.004
QAc-W-0149,Sugar_Loaf,0.005,0.976,0.018
QAc-W-0150,Sugar_Loaf,0.008,0.961,0.031
QAc-W-0151,Sugar_Loaf,0.017,0.976,0.007
QAc-W-0152,Sugar_Loaf,0.015,0.975,0.009
QAc-W-0153,Sugar_Loaf,0.013,0.935,0.052
QAc-W-0154,Sugar_Loaf,0.007,0.987,0.006
QAc-W-0155,Sugar_Loaf,0.006,0.987,0.007
QAc-W-0156,Sugar_Loaf,0.004,0.881,0.114
QAc-W-0157,Sugar_Loaf,0.021,0.975,0.004
QAc-W-0158,Sugar_Loaf,0.03,0.926,0.044
QAc-W-0159,Sugar_Loaf,0.007,0.989,0.005
QAc-W-0160,Sugar_Loaf,0.007,0.984,0.009
QAc-W-0161,Sugar_Loaf,0.005,0.991,0.003
QAc-W-0162,Sugar_Loaf,0.012,0.981,0.007
QAc-W-0163,Sugar_Loaf,0.009,0.985,0.006
QAc-W-0164,Sugar_Loaf,0.016,0.975,0.009
QAc-W-0165,Sugar_Loaf,0.043,0.953,0.004
QAc-W-0166,Sugar_Loaf,0.01,0.983,0.007
NA,NA,0,0,0
QAc-W-0167,Kessler,0.007,0.917,0.075
QAc-W-0168,Kessler,0.072,0.915,0.013
QAc-W-0169,Kessler,0.012,0.985,0.004
QAc-W-0170,Kessler,0.006,0.984,0.01
QAc-W-0171,Kessler,0.007,0.938,0.056
QAc-W-0172,Kessler,0.003,0.989,0.008
QAc-W-0173,Kessler,0.005,0.988,0.007
QAc-W-0174,Kessler,0.018,0.974,0.008
